name,codice,pricecap,price,country
apple,aapl,2142999999999,134,usa
saudi aramco,2222.sr,1878000000000,8,s. arabia
microsoft,msft,1783000000000,239,usa
alphabet google,goog,1195000000000,92,usa
amazon,amzn,1000000000000,98,usa
berkshire hathaway,brk-b,700570000000,317,usa
visa,v,472350000000,223,usa
exxon mobil,xom,465980000000,113,usa
tencent,tcehy,458310000000,47,china
unitedhealth,unh,457420000000,489,usa
johnson & johnson,jnj,453420000000,173,usa
tsmc,tsm,450140000000,86,taiwan
lvmh,mc.pa,427450000000,853,france
nvidia,nvda,421120000000,168,usa
jpmorgan chase,jpm,419470000000,143,usa
walmart,wmt,391810000000,145,usa
tesla,tsla,386500000000,122,usa
mastercard,ma,361040000000,375,usa
meta platforfacebook,meta,359180000000,136,usa
kweichow moutai,600519.ss,358620000000,285,china
procter & gamble,pg,357540000000,150,usa
eli lilly,lly,343600000000,361,usa
chevron,cvx,343330000000,177,usa
nestle,nesn.sw,339240000000,123,switzerland
home depot,hd,337560000000,331,usa
samsung,005930.ks,331690000000,49,s. korea
alibaba,baba,310680000000,117,china
novo nordisk,nvo,306650000000,136,denmark
merck,mrk,284590000000,112,usa
bank of america,bac,281720000000,35,usa
abbvie,abbv,271630000000,153,usa
pfizer,pfe,268589999999,47,usa
asml,asml,265940000000,659,netherlands
coca-cola,ko,265649999999,61,usa
roche,rog.sw,259529999999,315,switzerland
international holding company,ihc.ae,242290000000,110,uae
broadcom,avgo,241950000000,579,usa
pepsico,pep,241420000000,175,usa
oracle,orcl,240500000000,89,usa
thermo fisher scientific,tmo,228970000000,583,usa
astrazeneca,azn,222250000000,71,uk
icbc,1398.hk,221130000000,0,china
l'oreal,or.pa,219770000000,410,france
costco,cost,215310000000,485,usa
shell,shel,208240000000,59,uk
reliance industries,reliance.ns,203520000000,30,india
cisco,csco,200800000000,48,usa
nike,nke,199780000000,128,usa
danaher,dhr,199180000000,273,usa
abbott laboratories,abt,197910000000,113,usa
mcdonald,mcd,196940000000,268,usa
novartis,nvs,195870000000,91,switzerland
toyota,tm,191420000000,140,japan
t-mobile us,tmus,186220000000,149,usa
hermes,rms.pa,184590000000,1,france
walt disney,dis,181260000000,99,usa
accenture,acn,177810000000,282,ireland
verizon,vz,175800000000,41,usa
bhp group,bhp,175310000000,69,australia
wells fargo,wfc,168490000000,44,usa
comcast,cmcsa,168310000000,38,usa
nextera energy,nee,168270000000,84,usa
linde,lin,164560000000,334,uk
china construction bank,601939.ss,164360000000,0,china
prosus,prx.as,163460000000,81,netherlands
catl,300750.sz,162800000000,66,china
texas instruments,txn,162460000000,179,usa
adobe,adbe,160100000000,344,usa
totalenergies,tte,160030000000,64,france
philip morris,pm,157650000000,101,usa
united parcel service,ups,157540000000,182,usa
morgan stanley,ms,154910000000,91,usa
charles schwab,schw,154900000000,82,usa
china mobile,0941.hk,154540000000,7,china
bristol-myers squibb,bmy,154160000000,72,usa
cm bank,3968.hk,152130000000,6,china
conocophillips,cop,151360000000,121,usa
dior,cdi.pa,151160000000,837,france
tata consultancy services,tcs.ns,150140000000,41,india
agricultural bank of china,601288.ss,149590000000,0,china
salesforce,crm,149500000000,149,usa
netflix,nflx,148110000000,332,usa
honeywell,hon,145630000000,216,usa
raytheon technologies,rtx,145060000000,98,usa
amgen,amgn,144980000000,271,usa
hsbc,hsbc,144370000000,36,uk
ping an insurance,601318.ss,143440000000,7,china
at&t,t,139330000000,19,usa
royal bank of canada,ry,138660000000,100,canada
sap,sap,136850000000,117,germany
qualcomm,qcom,134780000000,120,usa
caterpillar,cat,134500000000,258,usa
petrochina,601857.ss,133870000000,0,china
bank of china,601988.ss,133020000000,0,china
aia,1299.hk,131919999999,11,hong kong
meituan,3690.hk,131240000000,21,china
union pacific corporation,unp,131090000000,213,usa
china life insurance,601628.ss,130759999999,5,china
ibm,ibm,130759999999,145,usa
deere & company,de,130630000000,439,usa
unilever,ul,130240000000,51,uk
lowe's companies,low,128289999999,212,usa
boeing,ba,127610000000,214,usa
goldman sachs,gs,126640000000,374,usa
commonwealth bank,cba.ax,126290000000,74,australia
rio tinto,rio,125690000000,77,uk
hdfc bank,hdb,125510000000,67,india
anheuser-busch inbev,bud,124310000000,60,belgium
intel,intc,124260000000,30,usa
sanofi,sny,123570000000,49,france
starbucks,sbux,123070000000,107,usa
siemens,sie.de,122910000000,155,germany
pinduoduo,pdd,122640000000,97,china
toronto dominion bank,td,120800000000,66,canada
s&p global,spgi,119810000000,366,usa
wuliangye yibin,000858.sz,119630000000,30,china
cvs health,cvs,118150000000,89,usa
lockheed martin,lmt,117880000000,449,usa
american express,axp,116380000000,155,usa
elevance health,elv,115350000000,483,usa
amd,amd,114470000000,71,usa
jingdong mall,jd,113480000000,63,china
blackrock,blk,112910000000,753,usa
prologis,pld,112520000000,121,usa
deutsche telekom,dte.de,110820000000,22,germany
intuit,intu,110460000000,393,usa
american tower,amt,108390000000,232,usa
gilead sciences,gild,108200000000,86,usa
taqa,taqa.ae,107750000000,0,uae
bp,bp,107460000000,35,uk
medtronic,mdt,107190000000,80,ireland
byd,002594.sz,106160000000,40,china
sony,sony,105950000000,85,japan
diageo,deo,103840000000,183,uk
keyence,6861.t,103070000000,425,japan
automatic data processing,adp,101780000000,245,usa
porsche,p911.de,101310000000,111,germany
ntt nippon telegraph & telephone,nppxf,100550000000,29,japan
mitsubishi ufj financial,mufg,99040000000,7,japan
airbus,air.pa,98710000000,125,netherlands
stryker corporation,syk,98320000000,259,usa
equinor,eqnr,98030000000,31,norway
citigroup,c,96680000000,49,usa
csl,csl.ax,96400000000,199,australia
cigna,ci,96060000000,314,usa
allianz,alv.de,95920000000,237,germany
estee lauder,el,95340000000,267,usa
chubb,cb,94290000000,227,switzerland
tjx companies,tjx,94200000000,81,usa
merck kgaa,mrk.de,94030000000,216,germany
inditex,idexy,93010000000,14,spain
applied materials,amat,92830000000,109,usa
mondelez,mdlz,91570000000,67,usa
intuitive surgical,isrg,91490000000,258,usa
lg energy solution,373220.ks,90870000000,388,s. korea
paypal,pypl,90600000000,79,usa
schneider electric,su.pa,89680000000,160,france
booking holdings bookingcom,bkng,89260000000,2,usa
general electric,ge,87630000000,80,usa
glencore,glcnf,87420000000,6,switzerland
marsh & mclennan companies,mmc,86380000000,173,usa
analog devices,adi,86060000000,168,usa
british american tobacco,bti,85850000000,38,uk
vale,vale,85430000000,18,brazil
essilorluxottica,el.pa,85340000000,188,france
enbridge,enb,84620000000,41,canada
compagnie financiere richemont,cfr.sw,84480000000,148,switzerland
canadian national railway,cni,83840000000,123,canada
servicenow,now,83800000000,414,usa
al rajhi bank,1120.sr,83110000000,20,s. arabia
schlumberger,slb,82640000000,58,usa
air liquide,ai.pa,82560000000,156,france
altria group,mo,81750000000,45,usa
china shenhua energy,601088.ss,81090000000,4,china
duke energy,duk,80840000000,104,usa
bnp paribas,bnp.pa,80180000000,65,france
volkswagen,vow3.de,80000000000,136,germany
regeneron pharmaceuticals,regn,78640000000,722,usa
progressive,pgr,78180000000,133,usa
mercedes-benz,mbg.de,77970000000,72,germany
infosys,infy,77580000000,18,india
vertex pharmaceuticals,vrtx,77240000000,300,usa
sinopec,600028.ss,76560000000,0,china
southern company,so,76550000000,70,usa
eog resources,eog,76040000000,129,usa
sabic,2010.sr,76000000000,25,s. arabia
target,tgt,75760000000,164,usa
icici bank,ibn,75590000000,21,india
hindustan unilever,hindunilvr.ns,75100000000,31,india
zoetis,zts,75000000000,160,usa
kering,ker.pa,74480000000,609,france
moderna,mrna,73760000000,192,usa
canadian pacific railway,cp,73660000000,79,canada
hca healthcare,hca,73180000000,258,usa
becton dickinson,bdx,72720000000,255,usa
