name,master_cap,country,industry,sector
shell plc,207680000000,united kingdom,oil & gas integrated,energy
astrazeneca plc,201750000000,united kingdom,drug manufacturersgeneral,healthcare
linde plc,166070000000,united kingdom,specialty chemicals,basic materials
hsbc holdings plc,140150000000,united kingdom,banks,financials
rio tinto group,125840000000,united kingdom,other industrial metals & mining,basic materials
unilever plc,117840000000,united kingdom,household & personal products,consumer staples
diageo plc,115580000000,united kingdom,beverageswineries & distilleries,consumer staples
glaxosmithkline plc,109980000000,united kingdom,drug manufacturersgeneral,healthcare
british american tobacco plc,101440000000,united kingdom,tobacco,consumer staples
bp plc,96240000000,united kingdom,oil & gas integrated,energy
aon plc,73330000000,united kingdom,insurance brokers,financials
anglo american plc,71480000000,united kingdom,other industrial metals & mining,basic materials
reckitt benckiser group plc,"(march 13, 2021)",united kingdom,household & personal products,consumer staples
relx plc,58530000000,united kingdom,publishing,communication services
ihs markit ltd,"(jan. 1, 2022)",united kingdom,consulting services,industrials
national grid plc,55880000000,united kingdom,utilitiesdiversified,utilities
london stock exchange group plc,53330000000,united kingdom,financial data & stock exchanges,financials
general accident plc,51430000000,united kingdom,insuranceproperty & casualty,financials
vodafone group plc,45740000000,united kingdom,telecom services,communication services
lloyds banking group plc,43700000000,united kingdom,banks,financials
prudential plc,39000000000,united kingdom,insurancelife,financials
compass group plc,37730000000,united kingdom,restaurants,consumer discretionary
natwest group plc,32720000000,united kingdom,banks,financials
barclays plc,32189999999,united kingdom,banks,financials
ferguson plc,30520000000,united kingdom,industrial distribution,industrials
bae systeplc,30510000000,united kingdom,aerospace & defense,industrials
willis towers watson plc,"(jan. 1, 2022)",united kingdom,insurance brokers,financials
ashtead group plc,28280000000,united kingdom,rental & leasing services,industrials
tesco plc,28110000000,united kingdom,grocery stores,consumer staples
bt group plc,24090000000,united kingdom,telecom services,communication services
sse plc,23730000000,united kingdom,utilitiesdiversified,utilities
coca-cola europacific partners plc,22530000000,united kingdom,beveragesnon-alcoholic,consumer staples
cnh industrial nv,21930000000,united kingdom,farm & heavy construction machinery,industrials
legal & general group plc,21340000000,united kingdom,insurancelife,financials
segro plc,21080000000,united kingdom,reitindustrial,real estate
standard chartered plc,20780000000,united kingdom,banks,financials
imperial brands plc,20140000000,united kingdom,tobacco,consumer staples
aviva plc,19820000000,united kingdom,insurancediversified,financials
croda international plc,"(jan. 1, 2022)",united kingdom,specialty chemicals,basic materials
scottish mortgage investment trust plc,18780000000,united kingdom,asset management,financials
antofagasta plc,"(jan. 1, 2022)",united kingdom,copper,basic materials
3i group plc,17600000000,united kingdom,asset management,financials
associated british foods plc,17490000000,united kingdom,packaged foods,consumer staples
wpp plc,15760000000,united kingdom,advertising agencies,communication services
smith & nephew plc,14090000000,united kingdom,medical devices,healthcare
liberty global plc,13610000000,united kingdom,entertainment,communication services
bunzl plc,13070000000,united kingdom,food distribution,consumer staples
rentokil initial plc,12780000000,united kingdom,specialty business services,industrials
intercontinental hotels group plc,12200000000,united kingdom,lodging,consumer discretionary
