name,rank,market_cap,country,share_price,change_1_day,change_1_year,categories
apple,1,2351000000000,usa,147,-0.34%,-9.74%,"tech, software, dow jones, tech hardware, electronics"
bristol-myers squibb,57,172490000000,usa,81,0.31%,46.42%,"pharmaceuticals, biotech"
wells fargo,56,175050000000,usa,45,-1.98%,-6.07%,"banks, financial services"
nike,55,175540000000,usa,112,1.29%,-34.00%,"sports goods, footwear, dow jones, clothing"
walt disney,54,177080000000,usa,99,0.85%,-32.45%,"entertainment, dow jones"
abbott laboratories,53,188460000000,usa,108,0.15%,-15.80%,medical devices
accenture,52,189250000000,ireland,300,-0.89%,-17.84%,professional services
t-mobile us,51,189620000000,usa,152,0.40%,38.10%,telecommunication
novartis,50,194410000000,switzerland,89,0.19%,12.56%,"pharmaceuticals, biotech"
toyota,48,199920000000,japan,146,-0.77%,-20.00%,"automakers, manufacturing"
danaher,49,199620000000,usa,274,-0.11%,-13.23%,conglomerate
mcdonald,47,200240000000,usa,273,0.00%,9.89%,"restaurant chains, dow jones, food"
icbc,46,201960000000,china,0,-2.30%,-10.91%,"banks, financial services"
l'oreal,44,204920000000,france,379,0.66%,-15.71%,"consumer goods, cac 40, cosmetics and beauty"
cisco,45,204170000000,usa,49,-0.54%,-11.49%,"tech, electronics, networking hardware, dow jones, telecommunications equipment, tech hardware"
shell,43,206970000000,uk,57,-0.57%,31.57%,"oil&gas, energy"
costco,41,218880000000,usa,494,-1.85%,-5.90%,"retail, supermarket chains"
astrazeneca,42,213830000000,uk,68,0.19%,24.97%,"pharmaceuticals, biotech"
thermo fisher scientific,39,220800000000,usa,563,-0.28%,-10.29%,"scientific & technical instruments, diagnostics and testing, biotech"
broadcom,40,219020000000,usa,540,-1.81%,-2.11%,"semiconductors, tech"
reliance industries,37,226230000000,india,33,-0.04%,1.03%,conglomerate
oracle,38,224720000000,usa,83,-0.90%,-7.38%,"tech, software"
asml,35,247880000000,netherlands,605,-0.91%,-23.27%,"semiconductors, tech, tech hardware"
alibaba,36,240690000000,china,90,4.79%,-26.18%,"e-commerce, tech, internet, retail"
merck,31,278990000000,usa,110,0.22%,48.92%,"pharmaceuticals, dow jones, biotech"
coca-cola,32,278280000000,usa,64,0.88%,21.25%,"beverages, dow jones"
roche,33,270730000000,switzerland,329,-0.56%,-16.63%,"pharmaceuticals, biotech"
novo nordisk,30,285740000000,denmark,126,0.61%,19.00%,"pharmaceuticals, biotech"
abbvie,28,289420000000,usa,163,1.26%,40.04%,"biotech, pharmaceuticals"
pfizer,29,285770000000,usa,50,-0.33%,-4.02%,"pharmaceuticals, biotech"
kweichow moutai,26,292410000000,china,232,0.19%,-23.36%,"alcoholic beverages, beverages"
bank of america,27,289440000000,usa,36,-1.29%,-19.63%,"banks, financial services"
nestle,23,331820000000,switzerland,120,-0.63%,-5.70%,food
meta platforfacebook,24,327430000000,usa,123,2.53%,-60.21%,"tech, internet"
samsung,25,312570000000,south korea,46,-3.51%,-27.73%,"tech, electronics, tech hardware, manufacturing, semiconductors"
home depot,22,334280000000,usa,327,0.28%,-19.56%,"retail, dow jones"
chevron,20,350040000000,usa,181,-0.80%,57.23%,"oil&gas, dow jones, energy"
mastercard,21,346180000000,usa,360,-0.21%,12.45%,financial services
procter & gamble,18,356900000000,usa,150,0.91%,2.27%,"dow jones, consumer goods"
eli lilly,19,356080000000,usa,374,1.20%,51.19%,"pharmaceuticals, biotech"
tencent,16,378340000000,china,39,3.69%,-34.20%,"tech, internet, video games, esports"
lvmh,17,376990000000,france,753,-0.79%,-3.08%,"luxury goods, cac 40, clothing"
