name,rank,marketcap,country,share_price,change1d,change1y,categories
apple,1,2194000000000.0,usa,137.0,1.50%,-18.74%,tech software dow-jones tech-hardware electronics 
unilever,99,129090000000.0,united-kingdom,50.0,-0.21%,-6.09%,food consumer-goods 
aia,97,130120000000.0,hong-kong,11.0,1.34%,3.93%,insurance 
lowe's companies,100,128960000000.0,usa,213.0,1.79%,-12.38%,retail 
rwe,601,30020000000.0,germany,44.0,-1.16%,6.40%,electricity dax energy 
axa,201,71320000000.0,france,30.0,0.91%,-5.59%,insurance cac-40 
meituan,98,129660000000.0,china,20.0,-0.73%,-24.72%,internet tech e-commerce 
deere & company,96,131340000000.0,usa,442.0,0.87%,16.45%,machinery-manufacturing manufacturing 
shin-etsu chemical,300,53110000000.0,japan,131.0,2.08%,-22.90%,chemicals 
bank of china,94,133020000000.0,china,0.0,-0.31%,-2.04%,banks financial-services 
dynatrace,1401,10960000000.0,usa,38.0,1.46%,-27.43%,software tech 
union pacific corporation,95,132050000000.0,usa,214.0,0.23%,-12.78%,railways transportation infrastructure 
general motors,299,53140000000.0,usa,37.0,2.17%,-38.78%,automakers manufacturing 
novocure,1501,10060000000.0,,95.0,3.93%,38.72%,biotech 
ocbc bank,401,43120000000.0,singapore,9.0,0.00%,5.26%,banks 
skandinaviska enskilda banken,701,25240000000.0,sweden,11.0,-2.90%,-14.98%,
wpp,1301,12160000000.0,united-kingdom,56.0,0.07%,-30.43%,advertising 
centrais electricas brasileiras,901,18930000000.0,brazil,8.0,0.98%,43.13%,utility-companies electricity energy 
link reit,1001,17040000000.0,hong-kong,8.0,-0.40%,-6.97%,investment real-estate reit 
match group,1199,13380000000.0,usa,47.0,1.33%,-60.45%,internet online-dating tech 
spring airlines,1601,8990000000.0,china,9.0,-0.47%,6.86%,airlines travel transportation 
axon enterprise,1200,13370000000.0,usa,188.0,1.91%,37.06%,
jde peet's,1101,14940000000.0,netherlands,29.0,-0.22%,-1.26%,beverages 
advanced drainage systems,1801,7610000000.0,usa,91.0,1.69%,-23.06%,
antofagasta,801,21690000000.0,united-kingdom,22.0,3.42%,12.02%,conglomerate mining 
uwm holdings,2001,6610000000.0,usa,4.0,2.49%,-27.97%,financial-services 
nippon yusen,1299,12180000000.0,japan,24.0,1.21%,-71.66%,transportation container-shipping maritime-transportation 
qantas airways,1701,8310000000.0,australia,4.0,0.46%,23.45%,airlines travel transportation 
seagate technology,1300,12170000000.0,ireland,58.0,3.48%,-46.00%,tech electronics tech-hardware 
endeavor group,2091,6230000000.0,usa,21.0,-0.60%,-33.03%,media-press entertainment 
viper energy partners,2301,5410000000.0,usa,32.0,0.61%,23.89%,
mapletree commercial trust,1901,7080000000.0,singapore,1.0,-0.56%,-0.74%,real-estate investment reit 
convatec group,2097,6200000000.0,united-kingdom,3.0,-0.40%,24.28%,medical-devices 
firstservice,2101,6190000000.0,canada,140.0,0.95%,-15.33%,
unimicron,2098,6200000000.0,taiwan,4.0,-0.78%,-47.89%,electronics tech tech-hardware 
soitec,2201,5760000000.0,france,166.0,1.36%,-29.36%,semiconductors tech tech-hardware 
engie brasil,2092,6220000000.0,brazil,7.0,0.31%,9.94%,electricity utility-companies energy 
nutanix,2099,6190000000.0,usa,26.0,1.20%,-7.23%,software tech 
turkcell,2601,4440000000.0,turkey,4.0,4.36%,34.02%,telecommunication 
samvardhana motherson,2096,6200000000.0,india,0.0,0.27%,,automotive-suppliers 
bosch india,2100,6190000000.0,india,210.0,0.38%,-11.71%,
mirvac group,2095,6210000000.0,australia,1.0,-0.88%,-22.28%,real-estate investment reit 
mdu resources,2093,6220000000.0,usa,30.0,-0.20%,0.43%,
hanover insurance group,2501,4710000000.0,usa,132.0,-0.50%,-4.63%,
nippon prologis reit,2094,6210000000.0,japan,2.0,1.42%,-26.04%,real-estate investment 
blackline,2700,4150000000.0,usa,69.0,-0.81%,-21.77%,
escorts limited,3001,3390000000.0,india,25.0,-0.65%,2.63%,specialty-vehicles manufacturing agriculture 
denali therapeutics,2695,4170000000.0,usa,30.0,2.09%,-11.80%,
first international bank of israel,2691,4179999999.0,israel,41.0,-0.35%,-5.55%,banks financial-services 
fomento de construcciones y contratas,2696,4170000000.0,spain,9.0,-0.22%,-22.84%,construction 
fabrinet,2401,5060000000.0,,138.0,0.40%,17.16%,electronics 
howard hughes corporation,2693,4170000000.0,usa,83.0,1.00%,-17.72%,real-estate 
agl energy,2901,3600000000.0,australia,5.0,0.39%,0.00%,energy electricity utility-companies 
affirm,2697,4160000000.0,usa,14.0,6.77%,-79.25%,financial-services 
olaplex,2694,4170000000.0,usa,6.0,0.16%,-71.85%,consumer-goods 
bank mega,2690,4179999999.0,indonesia,0.0,-0.46%,-45.45%,banks financial-services 
