name,market_capitalization_usd,price,country
apple,2062000000000,130.0,usa
saudi aramco,1848000000000,8.0,s. arabia
microsoft,1676000000000,225.0,usa
alphabet google,1137000000000,88.0,usa
amazon,878160000000,86.0,usa
berkshire hathaway,702840000000,319.0,usa
johnson & johnson,471260000000,180.0,usa
visa,461110000000,218.0,usa
unitedhealth,457830000000,490.0,usa
exxon mobil,455190000000,111.0,usa
tencent,436090000000,46.0,china
tsmc,404870000000,78.0,taiwan
jpmorgan chase,404600000000,138.0,usa
lvmh,400240000000,788.0,france
walmart,395830000000,147.0,usa
nvidia,370280000000,149.0,usa
procter & gamble,364740000000,154.0,usa
tesla,357010000000,113.0,usa
mastercard,353500000000,368.0,usa
eli lilly,344850000000,363.0,usa
chevron,341400000000,177.0,usa
meta platforfacebook,340930000000,130.0,usa
kweichow moutai,329340000000,262.0,china
nestle,326280000000,119.0,switzerland
home depot,323620000000,318.0,usa
novo nordisk,311970000000,139.0,denmark
samsung,311550000000,46.0,s. korea
abbvie,294540000000,167.0,usa
merck,291160000000,115.0,usa
pfizer,285820000000,51.0,usa
alibaba,284340000000,107.0,china
bank of america,276050000000,34.0,usa
coca-cola,274170000000,63.0,usa
roche,258320000000,314.0,switzerland
pepsico,249500000000,181.0,usa
broadcom,245890000000,588.0,usa
asml,240640000000,596.0,netherlands
oracle,230960000000,86.0,usa
astrazeneca,219450000000,71.0,uk
icbc,214970000000,1.0,china
costco,214260000000,483.0,usa
thermo fisher scientific,209820000000,535.0,usa
reliance industries,207930000000,31.0,india
shell,206370000000,57.0,uk
l'oreal,203250000000,378.0,france
novartis,199600000000,92.0,switzerland
cisco,198500000000,48.0,usa
mcdonald,197360000000,269.0,usa
abbott laboratories,195850000000,112.0,usa
nike,194830000000,125.0,usa
toyota,191820000000,139.0,japan
t-mobile us,184840000000,149.0,usa
danaher,183800000000,252.0,usa
verizon,177190000000,42.0,usa
hermes,175670000000,1676.0,france
walt disney,171270000000,94.0,usa
accenture,169660000000,269.0,ireland
bhp group,167110000000,66.0,australia
nextera energy,166220000000,84.0,usa
comcast,163810000000,38.0,usa
wells fargo,163080000000,43.0,usa
china construction bank,161340000000,1.0,china
philip morris,160430000000,103.0,usa
texas instruments,158970000000,175.0,usa
charles schwab,157810000000,85.0,usa
linde,155720000000,316.0,uk
bristol-myers squibb,155200000000,73.0,usa
united parcel service,154770000000,179.0,usa
adobe,154690000000,333.0,usa
prosus,153640000000,77.0,netherlands
totalenergies,153350000000,62.0,france
raytheon technologies,150620000000,102.0,usa
catl,150080000000,61.0,china
china mobile,149060000000,7.0,china
morgan stanley,147980000000,88.0,usa
conocophillips,147320000000,118.0,usa
amgen,146840000000,275.0,usa
agricultural bank of china,146200000000,0.0,china
meituan,144720000000,23.0,china
tata consultancy services,142350000000,39.0,india
cm bank,142160000000,6.0,china
dior,142000000000,782.0,france
honeywell,141360000000,210.0,usa
salesforce,140500000000,141.0,usa
netflix,140420000000,316.0,usa
at&t,139190000000,20.0,usa
