name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
avis budget group inc,18120000000,car,united states,industrials,rental & leasing services,"parsippany,nj,unitedstates", 2006 ," 16,000",joseph a ferraro
telefonica brasil sa,20190000000,viv,brazil,communication services,telecom services,"saopaulo,sp,brazil", 1998," 34,000",christian mauad gebara
east japan railway company,22780000000,9020,japan,industrials,railroads,"tokyo,japan",," 71,973",yuji fukasawa
twilio inc,26090000000,twlo,united states,communication services,internet content & information,"sanfrancisco,ca,unitedstates", 2008," 7,867",jeffrey lawson
delta electronics inc,24050000000,2308,taiwan,technology,electronic components,"taipei,taiwan",,,ping cheng
power corporation of canada,21480000000,pow,canada,financials,insurancelife,"montraal,qc,canada", 1925," 30,000",robert jeffrey orr
expedia group inc,27910000000,expe,united states,consumer discretionary,travel services,"seattle,wa,unitedstates"," october 22, 1996"," 14,800",peter maxwell kern
croda international plc,19220000000,crda,united kingdom,basic materials,specialty chemicals,"goole,unitedkingdom", 1925," 4,000",
coupang inc,30530000000,cpng,south korea,consumer discretionary,internet retail,"seoul,southkorea",," 68,000",bom suk kim
mplx lp,35270000000,mplx,united states,energy,oil & gas midstream,"findlay,oh,unitedstates", 1988," 1,139",michael j hennigan
natwest group plc,32720000000,nwg,united kingdom,financials,banks,"edinburgh,unitedkingdom", 25 march 1968," 58,735",alison marie rose-slade ba
dupont de nemours inc,39720000000,dd,united states,basic materials,chemicals,"wilmington,de,unitedstates"," september 1, 2017"," 28,000",edward d breen
hp inc,43900000000,hpq,united states,technology,computer hardware,"paloalto,ca,unitedstates"," january 1, 1939"," 51,000",enrique j lores
honda motor co ltd,49110000000,7267,japan,consumer discretionary,auto manufacturers,"tokyo,japan"," hamamatsu, japan october 1946, incorporated 24 september 1948"," 211,374",toshihiro mibe
macquarie group limited,55990000000,mqg,australia,financials,capital markets,"sydney,nsw,australia", 1969," 17,209",shemara r wikramanayake bcom llb llb bcom unsw
general motors company,62690000000,gm,united states,consumer discretionary,auto manufacturers,"detroit,mi,unitedstates"," september 16, 1908"," 157,000",mary t barra
edwards lifesciences corporation,73380000000,ew,united states,healthcare,medical devices,"irvine,ca,unitedstates", 1958," 15,700",michael a mussallem
zurich insurance group ag,73580000000,zurn,switzerland,financials,insurancediversified,"zurich,switzerland",," 55,000",mario greco
atlassian corporation plc,73720000000,team,australia,technology,softwareapplication,"sydney,nsw,australia", 2002," 7,388",michael cannon-brookes
the tjx companies inc,73990000000,tjx,united states,consumer discretionary,apparel retail,"framingham,ma,unitedstates", 1987," 270,000",ernie l herrman
intercontinental exchange inc,74170000000,ice,united states,financials,financial data & stock exchanges,"atlanta,ga,unitedstates"," may 11, 2000"," 8,858",jeffrey c sprecher
canadian natural resources limited,74780000000,cnq,canada,energy,oil & gas e&p,"calgary,ab,canada",," 9,735",
truist financial corporation,74790000000,tfc,united states,financials,banks,"charlotte,nc,unitedstates", 1872," 50,283",william henry rogers jr
regeneron pharmaceuticals inc,74910000000,regn,united states,healthcare,biotechnology,"tarrytown,ny,unitedstates", 1988," 10,368",leonard s schleifer md phd
gilead sciences inc,76150000000,gild,united states,healthcare,drug manufacturersgeneral,"fostercity,ca,unitedstates"," june 22, 1987"," 14,400",daniel p o'day
becton dickinson and company,76980000000,bdx,united states,healthcare,medical instruments & supplies,"franklinlakes,nj,unitedstates"," east rutherford, new jersey 1897"," 75,000",thomas e polen jr
the pnc financial services group inc,77100000000,pnc,united states,financials,banks,"pittsburgh,pa,unitedstates"," april 10, 1845"," 57,668",william s demchak
lam research corporation,77600000000,lrcx,united states,technology,semiconductor equipment & materials,"fremont,ca,unitedstates", 1980," 16,300",timothy m archer
the southern company,78380000000,so,united states,utilities,utilitiesregulated electric,"atlanta,ga,unitedstates", 1945," 27,027",thomas a fanning
china petroleum & chemical corporation,78390000000,600028,china,energy,oil & gas integrated,"beijing,china"," beijing, china 25 february 2000"," 384,065",
china yangtze power co ltd,78420000000,600900,china,utilities,utilitiesindependent power producers,"beijing,china",," 3,985",
kering sa,78660000000,ker,france,consumer discretionary,luxury goods,"paris,france",," 42,811",franaois-henri pinault
bank of montreal,79220000000,bmo,canada,financials,banks,"montreal,qc,canada", montreal bank 23 june 1817," 43,863",william darryl white
tokyo electron ltd,79620000000,8035,japan,technology,semiconductor equipment & materials,"tokyo,japan",," 14,479",toshiki kawai
us bancorp,80160000000,usb,united states,financials,banks,"minneapolis,mn,unitedstates"," july 13, 1863"," 68,796",andrew j cecere
essilorluxottica sa,80490000000,el,france,healthcare,medical instruments & supplies,"paris,france",," 144,888",francesco milleri
crown castle international corp reit,80920000000,cci,united states,real estate,reitspecialty,"houston,tx,unitedstates", 1994," 5,000",jay a brown
national australia bank limited,81030000000,nab,australia,financials,banks,"docklands,vic,australia", 1982," 32,741",ross maxwell mcewan bbs cbe
hca healthcare inc,82600000000,hca,united states,healthcare,medical care facilities,"nashville,tn,unitedstates", 1968," 204,000",samuel n hazen
air liquide sa,83240000000,ai,france,basic materials,chemicals,"paris,france",," 66,400",benoit potier
shopify inc,83800000000,shop,canada,technology,softwareapplication,"ottawa,on,canada", 2006," 10,000",tobias la14tke
cigna corporation,84670000000,ci,united states,healthcare,healthcare plans,"bloomfield,ct,unitedstates", 1982," 72,226",david michael cordani
mitsubishi ufj financial group inc,85030000000,8306,japan,financials,banks,"tokyo,japan"," october 1, 2005"," 132,700",hironori kamezawa
micron technology inc,86490000000,mu,united states,technology,semiconductors,"boise,id,unitedstates"," october 5, 1978"," 43,000",sanjay mehrotra
marsh & mclennan companies inc,87160000000,mmc,united states,financials,insurance brokers,"newyork,ny,unitedstates", 1905," 83,000",daniel s glaser
cme group inc,87170000000,cme,united states,financials,financial data & stock exchanges,"chicago,il,unitedstates", 1848," 3,480",terrence a duffy
glencore plc,87310000000,glen,switzerland,basic materials,other industrial metals & mining,"baar,switzerland", 1974," 81,284",gary nagle
brookfield asset management inc,87460000000,bam.a,canada,financials,asset management,"toronto,on,canada", 1899," 150,000",james bruce flatt
the blackstone group inc,87640000000,bx,united states,financials,asset management,"newyork,ny,unitedstates", 1985," 3,795",stephen allen schwarzman ba mba
bank of nova scotia,87760000000,bns,canada,financials,banks,"halifax,ns,canada"," march 30, 1832"," 89,782",brian johnston porter amp bcom
duke energy corporation,88760000000,duk,united states,utilities,utilitiesregulated electric,"charlotte,nc,unitedstates", 1904," 27,605",lynn j good
3m company,88770000000,mmm,united states,industrials,specialty industrial machinery,"st.paul,mn,unitedstates"," june 13, 1902"," 95,000",michael f roman
csl limited,89690000000,csl,australia,healthcare,biotechnology,"parkville,vic,australia", 1916," 25,000",paul r perreault ba
zoetis inc,89820000000,zts,united states,healthcare,drug manufacturersspecialty & generic,"parsippany,nj,unitedstates", 1952 ," 12,100",kristin c peck
vulcan international corp,90340000000,vulc,united states,basic materials,chemicals,"wilmington,de,unitedstates",, 68,
jdcom inc,90460000000,9618,china,consumer discretionary,internet retail,"beijing,china", 6 june 2009," 310,000",qiangdong liu
mondelez international inc,90670000000,mdlz,united states,consumer staples,confectioners,"chicago,il,unitedstates"," december 10, 1923"," 79,000",dirk van de put
merck kommanditgesellschaft auf aktien,90740000000,mrk,germany,healthcare,drug manufacturersspecialty & generic,"darmstadt,germany",," 60,334",belen garijo lopez md
deutsche telekom ag,93010000000,dte,germany,communication services,telecom services,"bonn,germany",," 216,528",timotheus hottges
schneider electric se,94340000000,su,france,industrials,specialty industrial machinery,"rueil-malmaison,france",," 166,025",jean-pascal tricoire
enbridge inc,94940000000,enb,canada,energy,oil & gas midstream,"calgary,ab,canada"," april 30, 1949 as interprovincial pipe line company"," 10,900",al monaco
canadian national railway company,94960000000,cnr,canada,industrials,railroads,"montreal,qc,canada", 6 june 1919," 22,604",tracy a robinson
booking holdings inc,95020000000,bkng,united states,consumer discretionary,travel services,"norwalk,ct,unitedstates", 1996," 20,097",glenn d fogel
china shenhua energy company ltd,95340000000,601088,china,energy,thermal coal,"beijing,china",," 77,029",
bp plc,96240000000,bp.,united kingdom,energy,oil & gas integrated,"london,unitedkingdom", 14 april 1909 as the anglo-persian oil company," 60,000",
automatic data processing inc,96980000000,adp,united states,industrials,staffing & employment services,"roseland,nj,unitedstates", 1949," 56,000",carlos a rodriguez
metlife inc,62690000000,met,united states,financials,insurancelife,"newyork,ny,unitedstates"," march 24, 1868"," 49,000",michel abbas khalaf
dassault systemes se,62750000000,dsy,france,technology,softwareapplication,"velizy-villacoublay,france",," 20,496",bernard s charles
pacificorp,62870000000,ppwlm,united states,utilities,utilitiesdiversified,"portland,or,unitedstates",," 4,800",william j fehrman
boston scientific corporation,63080000000,bsx,united states,healthcare,medical devices,, 1979," 41,000",michael f mahoney
fedex corporation,63250000000,fdx,united states,industrials,integrated freight & logistics,"memphis,tn,unitedstates"," may 5, 1971"," 384,000",frederick w smith
shin-etsu chemical co ltd,63430000000,4063,japan,basic materials,chemicals,"tokyo,japan",," 24,629",
ap moller - maersk a-s,64400000000,maersk.b,denmark,industrials,marine shipping,"copenhagen,denmark",," 95,000",soren skou
sk hynix inc,64599999999,000660,south korea,technology,semiconductors,"icheon-si,southkorea",," 29,047",
oriental land co ltd,64660000000,4661,japan,consumer discretionary,leisure,"urayasu,japan",," 8,782",toshio kagami
snowflake inc,65040000000,snow,united states,technology,softwareapplication,"sanmateo,ca,unitedstates"," july 23, 2012"," 2,495",frank slootman
exelon corporation,65530000000,exc,united states,utilities,utilitiesdiversified,"chicago,il,unitedstates"," october 20, 2000"," 31,518",christopher mark crane
colgate-palmolive company,65640000000,cl,united states,consumer staples,household & personal products,"newyork,ny,unitedstates", 1806," 33,800",noel r wallace
ford motor company,65739999999,f,united states,consumer discretionary,auto manufacturers,"dearborn,mi,unitedstates"," june 16, 1903"," 183,000",james d farley jr
newmont corporation,65890000000,nem,united states,basic materials,gold,"denver,co,unitedstates", 1921," 14,400",thomas ronald palmer
equinix inc reit,66349999999,eqix,united states,real estate,reitspecialty,"redwoodcity,ca,unitedstates", 1998," 10,944",charles j meyers
icici bank limited,66620000000,ibn,india,financials,banks,"mumbai,india", 5 january 1994," 98,750",sandeep bakhshi be
dbs group holdings ltd,66739999999,d05,singapore,financials,banks,"singapore,singapore",," 33,000",piyush gupta
industrial bank co ltd,66870000000,601166,china,financials,banks,"fuzhou,china",," 59,630",
waste management inc,66950000000,wm,united states,industrials,waste management,"houston,tx,unitedstates"," january 1, 1968"," 48,500",james c fish jr
abb ltd,67190000000,abbn,switzerland,industrials,electrical equipment & parts,"zurich,switzerland", 1988," 104,400",
westpac banking corporation,67200000000,wbc,australia,financials,banks,"sydney,nsw,australia",," 40,143",peter francis king fca bec fca
the progressive corporation,67310000000,pgr,united states,financials,insuranceproperty & casualty,"mayfield,oh,unitedstates"," march 10, 1937"," 49,077",susan patricia griffith
illinois tool works inc,67489999999,itw,united states,industrials,specialty industrial machinery,"glenview,il,unitedstates", 1912," 45,000",e scott santi
vertex pharmaceuticals incorporated,67489999999,vrtx,united states,healthcare,biotechnology,"boston,ma,unitedstates", 1989," 3,900",reshma kewalramani fasn md
the sherwin-williacompany,67540000000,shw,united states,basic materials,specialty chemicals,"cleveland,oh,unitedstates"," cleveland, ohio, u.s. 1866"," 61,000",john g morikis
bayer ag,68090000000,bayn,germany,healthcare,drug manufacturersgeneral,"leverkusen,germany",," 95,950",werner baumann
recruit holdings co ltd,68110000000,6098,japan,industrials,staffing & employment services,"tokyo,japan",," 46,800",hisayuki idekoba
iberdrola sa,68230000000,ibe,spain,utilities,utilitiesdiversified,"bilbao,spain",," 38,702",jose ignacio sanchez galan
fiserv inc,68680000000,fisv,united states,technology,information technology services,"brookfield,wi,unitedstates", 1984," 44,000",frank j bisignano
sberbank of russia pjsc,68690000000,sber,russia,financials,banks,"moscow,russia",," 287,866",herman oskarovich gref
ubs group ag,68930000000,ubsg,switzerland,financials,banks,"zurich,switzerland", 29 june 1998," 71,385",ralph a j g hamers
public storage,69310000000,psa,united states,real estate,reitindustrial,"glendale,ca,unitedstates", 1972," 5,800",joseph d russell jr
america movil sab de cv,69450000000,amxa,mexico,communication services,telecom services,"mexicocity,df,mexico", 1986," 181,205",daniel hajj aboumrad
bnp paribas sa,69900000000,bnp,france,financials,banks,"paris,france",," 190,000",jean-laurent bonnafe
enel spa,70150000000,enel,italy,utilities,utilitiesdiversified,"rome,rm,italy",," 66,279",francesco starace
dominion energy inc,70200000000,d,united states,utilities,utilitiesdiversified,"richmond,va,unitedstates"," virginia, u.s. 1983"," 17,100",robert m blue
axa sa,70200000000,cs,france,financials,insurancediversified,"paris,france",," 106,128",thomas buberl
general dynamics corporation,70550000000,gd,united states,industrials,aerospace & defense,," february 7, 1899"," 103,100",phebe n novakovic
moderna inc,70810000000,mrna,united states,healthcare,biotechnology,"cambridge,ma,unitedstates", september 2010," 2,700",stephane bancel
anglo american plc,71480000000,aal,united kingdom,basic materials,other industrial metals & mining,"london,unitedkingdom", 1917," 106,000",mark cutifani be beng mining fellow ausimm cengfimmm dba
siemens healthineers ag,71500000000,shl,germany,healthcare,diagnostics & research,"erlangen,germany",," 66,800",bernhard montag
eog resources inc,71900000000,eog,united states,energy,oil & gas e&p,"houston,tx,unitedstates", 1999," 2,800",ezra y yacob
pt bank central asia tbk,71910000000,bbca,indonesia,financials,banks,"jakarta,indonesia",," 25,370",
wal-mart de mexico sab de cv,71960000000,walmex,mexico,consumer staples,discount stores,"mexicocity,df,mexico",," 231,259",guilherme de souza macedo loureiro
freeport-mcmoran inc,72160000000,fcx,united states,basic materials,copper,"phoenix,az,unitedstates", 1912," 24,700",richard c adkerson
norfolk southern corporation,72310000000,nsc,united states,industrials,railroads,"norfolk,va,unitedstates"," july 23, 1980 in norfolk, virginia, united states"," 18,100",james a squires
kddi corp,73120000000,9433,japan,communication services,telecom services,"tokyo,japan",," 47,320",
northrop grumman corporation,73250000000,noc,united states,industrials,aerospace & defense,"fallschurch,va,unitedstates", 1994," 88,000",kathy j warden
aon plc,73330000000,aon,united kingdom,financials,insurance brokers,"london,unitedkingdom", 1982," 50,000",gregory clarence case
bayerische motoren werke ag,56170000000,bmwb,germany,consumer discretionary,auto manufacturers,"munich,germany",," 118,909",oliver zipse
bank of communications co ltd,56380000000,601328,china,financials,banks,"shanghai,china",," 90,238",
kla corporation,56480000000,klac,united states,technology,semiconductor equipment & materials,"milpitas,ca,unitedstates", 1997," 11,300",richard p wallace
humana inc,56550000000,hum,united states,healthcare,healthcare plans,"louisville,ky,unitedstates"," august 18, 1961"," 95,500",bruce dale broussard
tc energy corporation,56770000000,trp,canada,energy,oil & gas midstream,"calgary,ab,canada",," 7,017",francois lionel poirier
the saudi national bank,56890000000,1180,saudi arabia,financials,banks,"riyadh,saudiarabia",," 16,113",saeed bin mohammed a al-ghamdi
ihs markit ltd,56940000000,info,united kingdom,industrials,consulting services,"london,unitedkingdom", 1959," 16,000",
pinduoduo inc,57090000000,pdd,china,consumer discretionary,internet retail,"shanghai,china",," 7,986",lei chen
marriott international inc,57180000000,mar,united states,consumer discretionary,lodging,"bethesda,md,unitedstates"," march 5, 1927"," 120,000",anthony g capuano jr
canadian imperial bank of commerce,57200000000,cm,canada,financials,banks,"toronto,on,canada"," june 1, 1961"," 46,030",victor g dodig
mitsubishi corp,57230000000,8058,japan,industrials,conglomerates,"tokyo,japan",,,takehiko kakiuchi
foshan haitian flavouring and food company ltd,57400000000,603288,china,consumer staples,packaged foods,"foshan,china",," 6,058",
enterprise products partners lp,57430000000,epd,united states,energy,oil & gas midstream,"houston,tx,unitedstates", 1968," 7,000",a james teague
itau unibanco holding sa,57450000000,itub,brazil,financials,banks,"saopaulo,sp,brazil",," 99,600",milton maluhy filho
marvell technology inc,57620000000,9mw,united states,technology,semiconductors,"wilmington,de,unitedstates",," 6,695",matthew j murphy
