name,market_cap,stock,sector,industry,country
apple inc,2825000000000.0,aapl,technology,consumer electronics,united states
microsoft corporation,2328000000000.0,msft,technology,softwareinfrastructure,united states
saudi arabian oil company,2297000000000.0,2222,energy,oil & gas integrated,saudi arabia
alphabet inc,1825000000000.0,goog,communication services,internet content & information,united states
amazoncom inc,1642000000000.0,amzn,consumer discretionary,internet retail,united states
tesla inc,1016000000000.0,tsla,consumer discretionary,auto manufacturers,united states
berkshire hathaway inc,798470000000.0,brk.a,financials,financial conglomerates,united states
nvidia corporation,660380000000.0,nvda,technology,semiconductors,united states
meta platforinc,617500000000.0,meta,communication services,internet content & information,united states
taiwan semiconductor manufacturing company limited,527890000000.0,2330,technology,semiconductors,taiwan
unitedhealth group incorporated,488520000000.0,unh,healthcare,healthcare plans,united states
visa inc,486770000000.0,v,financials,credit services,united states
johnson & johnson,475930000000.0,jnj,healthcare,drug manufacturersgeneral,united states
tencent holdings ltd,441170000000.0,0700,communication services,internet content & information,china
walmart inc,429050000000.0,wmt,consumer staples,discount stores,united states
jpmorgan chase & co,410840000000.0,jpm,financials,banks,united states
the procter & gamble company,384600000000.0,pg,consumer staples,household & personal products,united states
samsung electronics co ltd,378350000000.0,005930,technology,consumer electronics,south korea
lvmh moet hennessy - louis vuitton se,359260000000.0,mc,consumer discretionary,luxury goods,france
mastercard incorporated,358600000000.0,ma,financials,credit services,united states
bank of america corporation,350840000000.0,bac,financials,banks,united states
roche holding ag,349500000000.0,rog,healthcare,drug manufacturersgeneral,switzerland
exxon mobil corporation,348720000000.0,xom,energy,oil & gas integrated,united states
kweichow moutai co ltd,348220000000.0,600519,consumer staples,beverageswineries & distilleries,china
the home depot inc,321470000000.0,hd,consumer discretionary,home improvement retail,united states
chevron corporation,315130000000.0,cvx,energy,oil & gas integrated,united states
pfizer inc,300790000000.0,pfe,healthcare,drug manufacturersgeneral,united states
abbvie inc,294270000000.0,abbv,healthcare,drug manufacturersgeneral,united states
alibaba group holding limited,290400000000.0,9988,consumer discretionary,internet retail,china
asml holding nv,274350000000.0,asml,technology,semiconductor equipment & materials,netherlands
the coca-cola company,273200000000.0,ko,consumer staples,beveragesnon-alcoholic,united states
eli lilly and company,273010000000.0,lly,healthcare,drug manufacturersgeneral,united states
broadcom inc,265269999999.0,avgo,technology,semiconductors,united states
costco wholesale corporation,258149999999.0,cost,consumer staples,discount stores,united states
novo nordisk a/s,257240000000.0,novo.b,healthcare,biotechnology,denmark
industrial & commercial bank of china ltd,250370000000.0,601398,financials,banks,china
the walt disney company,247880000000.0,dis,communication services,entertainment,united states
