name,code,rank,ceo,country,sector,industry,headquarters,employees,founded,marketcap,revenue,net_income,link
apple,aapl,1,timothy d cook,united states,technology,consumer electronics,"cupertino, ca, united states","100,000","april 1, 1976",2825000000000,365820000000,94680000000,"https://www.apple.com, https://www.facebook.com/apple/, https://twitter.com/apple, https://www.linkedin.com/company/apple, https://en.wikipedia.org/wiki/apple inc."
exxonmobil,xom,23,darren w woods,united states,energy,oil & gas integrated,"irving, tx, united states","63,000","november 30, 1999",348720000000,276692000000,23040000000,"https://corporate.exxonmobil.com, https://en.wikipedia.org/wiki/exxon mobil corp."
roche,rog,22,severin schwan phd,switzerland,healthcare,drug manufacturersgeneral,"basel, switzerland","100,920",,349500000000,,,https://www.roche.com
home depot,hd,25,edward p decker,united states,consumer discretionary,home improvement retail,"atlanta, ga, united states","490,600","february 6, 1978",321470000000,110200000000,11240000000,"https://www.homedepot.com, https://en.wikipedia.org/wiki/home depot"
pfizer,pfe,27,albert bourla dvm dvm phd,united states,healthcare,drug manufacturersgeneral,"new york, ny, united states","79,000",1849,300790000000,41908000000,9616000000,"https://www.pfizer.com, https://www.facebook.com/pfizer, https://twitter.com/pfizer, https://www.linkedin.com/company/pfizer, https://en.wikipedia.org/wiki/pfizer"
kweichow moutai,600519,24,,china,consumer staples,beverageswineries & distilleries,"renhuai, china","29,031",,348220000000,,,https://www.moutaichina.com
bank of america,bac,21,brian thomas moynihan,united states,financials,banks,"charlotte, nc, united states","208,000",1998,350840000000,89110000000,30560000000,"https://www.bankofamerica.com, https://www.facebook.com/bankofamerica, https://twitter.com/bofa help, https://www.linkedin.com/company/bank-of-america, https://en.wikipedia.org/wiki/bank of america"
chevron,cvx,26,michael k wirth,united states,energy,oil & gas integrated,"san ramon, ca, united states","42,595","september 10, 1879",315130000000,162470000000,15630000000,"https://www.chevron.com, https://www.facebook.com/chevron, https://twitter.com/chevron, https://www.linkedin.com/company/chevron, https://en.wikipedia.org/wiki/chevron corp."
mastercard,ma,20,michael miebach,united states,financials,credit services,"purchase, ny, united states","24,000",1966,358600000000,18880000000,8690000000,"https://www.mastercard.com, https://en.wikipedia.org/wiki/mastercard"
lvmh,mc,19,bernard arnault,france,consumer discretionary,luxury goods,"paris, france","148,343",,359260000000,,,"https://www.lvmh.com, https://twitter.com/lvmh"
samsung,005930,18,jong-hee han,south korea,technology,consumer electronics,"suwon-si, south korea",,,378350000000,,,"https://www.samsung.com, https://www.facebook.com/samsungelectronics/, https://twitter.com/samsung, https://www.linkedin.com/company/samsung-electronics/"
procter & gamble,pg,17,jon r moeller,united states,consumer staples,household & personal products,"cincinnati, oh, united states","101,000","october 31, 1837",384600000000,76120000000,14310000000,"https://www.pginvestor.com, https://en.wikipedia.org/wiki/procter %26 gamble"
jpmorgan,jpm,16,james dimon,united states,financials,banks,"new york, ny, united states","271,025","december 1, 2000",410840000000,121650000000,48300000000,"https://www.jpmorganchase.com, https://en.wikipedia.org/wiki/jpmorgan chase"
walmart,wmt,15,c douglas mcmillon,united states,consumer staples,discount stores,"bentonville, ar, united states","2,300,000","july 2, 1962",429050000000,572800000000,13670000000,"https://www.stock.walmart.com, https://en.wikipedia.org/wiki/walmart"
tencent,0700,14,huateng pony ma,china,communication services,internet content & information,"shenzhen, china","112,771",,441170000000,,,https://www.tencent.com
johnson & johnson,jnj,13,joaquin duato,united states,healthcare,drug manufacturersgeneral,"new brunswick, nj, united states","141,700",january 1886,475930000000,82584000000,14714000000,"https://www.jnj.com, https://twitter.com/jnjnews, https://en.wikipedia.org/wiki/johnson %26 johnson"
danaher,dhr,50,rainer m blair,united states,healthcare,diagnostics & research,"washington, dc, united states","78,000",1969,208030000000,29453000000,2490000000,"https://www.danaher.com, https://en.wikipedia.org/wiki/danaher corp."
merck,mrk,49,robert m davis jd,united states,healthcare,drug manufacturersgeneral,"kenilworth, nj, united states","67,000",1891,210380000000,47994000000,7067000000,"https://www.merck.com, https://en.wikipedia.org/wiki/merck %26 co"
bhp,bhp,48,mike p henry bsc bsc chem,australia,basic materials,other industrial metals & mining,"melbourne, vic, australia","40,110",1885,211250000000,60817000000,13451000000,"https://www.bhp.com, https://www.facebook.com/bhp/, https://www.twitter.com/bhp, https://www.linkedin.com/company/bhp, https://en.wikipedia.org/wiki/bhp"
nike,nke,47,john j donahoe ii,united states,consumer discretionary,footwear & accessories,"beaverton, or, united states","73,300","january 25, 1964",213600000000,37400000000,2540000000,"https://www.nike.com, https://www.facebook.com/nike, https://twitter.com/nike, https://www.linkedin.com/company/nike, https://en.wikipedia.org/wiki/nike, inc."
abbott,abt,46,robert b ford,united states,healthcare,medical devices,"north chicago, il, united states","113,000",1888,215020000000,34608000000,4495000000,"https://www.abbott.com, https://www.facebook.com/abbott/, https://www.twitter.com/abbottglobal, https://www.linkedin.com/company/abbott-/, https://en.wikipedia.org/wiki/abbott laboratories"
verizon,vz,45,hans e vestberg,united states,communication services,telecom services,"new york, ny, united states","118,400","october 7, 1983",216680000000,"us$133.613  billion (fiscal year ended december 31, 2021)","us$22.618  billion (fiscal year ended december 31, 2021)","https://www.verizon.com, https://www.facebook.com/verizon, https://twitter.com/verizon, https://www.linkedin.com/company/verizon, https://en.wikipedia.org/wiki/verizon communications"
comcast,cmcsa,44,brian l roberts,united states,communication services,entertainment,"philadelphia, pa, united states","189,000","june 28, 1963",218900000000,103560000000,10530000000,"https://corporate.comcast.com, https://en.wikipedia.org/wiki/comcast"
accenture,acn,43,julie t spellman sweet,ireland,technology,information technology services,"dublin, ireland","699,000",1989,219030000000,50530000000,5910000000,"https://www.accenture.com, https://www.facebook.com/accenture, https://twitter.com/accenture, https://www.linkedin.com/company/accenture, https://en.wikipedia.org/wiki/accenture"
l'oreal,or,42,nicolas hieronimus,france,consumer staples,household & personal products,"clichy, france","85,400",,225240000000,,,https://www.loreal.com
oracle,orcl,41,safra ada catz,united states,technology,softwareinfrastructure,"redwood city, ca, united states","132,000","june 16, 1977",228180000000,40470000000,13740000000,"https://www.oracle.com, https://twitter.com/crowdtwist, https://www.linkedin.com/company/crowdtwist-inc-/, https://en.wikipedia.org/wiki/oracle corp."
thermo fisher scientific,tmo,40,marc n casper,united states,healthcare,diagnostics & research,"waltham, ma, united states","130,000",1956,236150000000,32210000000,6375000000,"https://www.thermofisher.com, https://en.wikipedia.org/wiki/thermo fisher scientific"
cisco,csco,39,charles h robbins,united states,technology,communication equipment,"san jose, ca, united states","79,500","december 10, 1984",238450000000,49810000000,10590000000,"https://www.cisco.com, https://www.facebook.com/cisco, https://twitter.com/cisco, https://www.linkedin.com/company/cisco, https://en.wikipedia.org/wiki/cisco systems"
pepsico,pep,38,ramon luis laguarta,united states,consumer staples,beveragesnon-alcoholic,"purchase, ny, united states","309,000","august 28, 1898",241050000000,70370000000,7353000000,"https://www.pepsico.com, https://www.facebook.com/pepsico, https://twitter.com/pepsico, https://www.linkedin.com/company/pepsico, https://en.wikipedia.org/wiki/pepsico"
disney,dis,37,robert a chapek,united states,communication services,entertainment,"burbank, ca, united states","152,000","october 16, 1923",247880000000,67418000000,1995000000,"https://www.thewaltdisneycompany.com, https://twitter.com/disney, https://en.wikipedia.org/wiki/the walt disney company"
icbc,601398,36,,china,financials,banks,"beijing, china","439,787",,250370000000,,,https://www.icbc-ltd.com
novo nordisk,novo.b,35,lars fruergaard jorgensen,denmark,healthcare,biotechnology,"bagsvaerd, denmark","47,792","december 21, 1923",257240000000,dkk 140.80 billion (2021),dkk 38.951 billion (2019),"https://www.novonordisk.com, https://en.wikipedia.org/wiki/novo nordisk"
intuit,intu,100,sasan k goodarzi,united states,technology,softwareapplication,"mountain view, ca, united states","13,500",1983,126770000000,9633000000,2061999999,"https://www.intuit.com, https://en.wikipedia.org/wiki/intuit"
amd,amd,99,lisa t su phd,united states,technology,semiconductors,"santa clara, ca, united states","15,500","may 1, 1969",128289999999,16399999999,3160000000,"https://www.amd.com, https://www.facebook.com/amd/, https://twitter.com/amd, https://www.linkedin.com/company/amd, https://en.wikipedia.org/wiki/advanced micro devices"
john deere,de,98,john c may ii,united states,industrials,farm & heavy construction machinery,"moline, il, united states","75,550",1837,130310000000,39540000000,2751000000,"https://www.deere.com, https://www.facebook.com/johndeere, https://twitter.com/johndeere, https://www.linkedin.com/company/3789/jobs/, https://en.wikipedia.org/wiki/deere %26 co."
sanofi,san,97,paul hudson,france,healthcare,drug manufacturersgeneral,"paris, france","95,442",1973,132289999999,36.12 billion (2020),12.35 billion (2020),"https://www.sanofi.com, https://www.facebook.com/sanofius, https://twitter.com/sanofi, https://www.linkedin.com/company/sanofi/, https://en.wikipedia.org/wiki/sanofi"
paypal,pypl,96,daniel h schulman,united states,financials,credit services,"san jose, ca, united states","30,900",december 1998,133919999999,"us$25.371 billion (fiscal year ended december 31, 2021)","us$4.169 billion (fiscal year ended december 31, 2021)","https://www.paypal.com, https://en.wikipedia.org/wiki/paypal"
sap,sap,95,christian klein,germany,technology,softwareapplication,"walldorf, germany","107,415","weinheim, germany1972",134190000000,27.842 billion (2021),5.383 billion (2021),"https://www.sap.com, https://www.facebook.com/sap, https://twitter.com/sap, https://www.linkedin.com/company/sap, https://en.wikipedia.org/wiki/sap"
ping an insurance,601318,94,bo yao,china,financials,insurancelife,"shenzhen, china","355,982",,134250000000,,,https://www.pingan.com
cvs health,cvs,93,karen sue lynch,united states,healthcare,healthcare plans,"woonsocket, ri, united states","216,000",1963,135270000000,268700000000,7170000000,"https://www.cvshealth.com, https://www.facebook.com/cvs/, https://twitter.com/cvshealth, https://www.linkedin.com/company/cvs-health/, https://en.wikipedia.org/wiki/cvs health"
conocophillips,cop,92,ryan m lance,united states,energy,oil & gas e&p,"houston, tx, united states","9,900",30 august 2002,136320000000,"us$19.256 billion (fiscal year ended december 31, 2020)","-us$2.655 billion (fiscal year ended december 31, 2020)","https://www.conocophillips.com, https://www.facebook.com/conocophillips, https://twitter.com/conocophillips, https://www.linkedin.com/company/conocophillips, https://en.wikipedia.org/wiki/conocophillips"
honeywell,hon,91,darius e adamczyk,united states,industrials,specialty industrial machinery,"charlotte, nc, united states","99,000",1906,136479999999,"us$34.392 billion (fiscal year ended december 31, 2021)","us$5.610 billion (fiscal year ended december 31, 2021)","https://www.honeywell.com, https://en.wikipedia.org/wiki/honeywell"
totalenergies,tte,90,patrick pouyanna,france,energy,oil & gas integrated,"paris, france","105,476",28 march 1924,137500000000,205800000000,15500000000,"https://www.totalenergies.com, https://twitter.com/totalenergies, https://en.wikipedia.org/wiki/total se"
china mobile,0941,89,xin dong,hong kong,communication services,telecom services,"hong kong, hong kong","449,934",,139300000000,,,https://www.chinamobileltd.com
