name,country,market_value_apr_2022,sector,stock
apple inc,united states,2825000000000.0,technology,aapl
microsoft corporation,united states,2328000000000.0,technology,msft
saudi arabian oil company,saudi arabia,2297000000000.0,energy,2222
alphabet inc,united states,1825000000000.0,communication services,goog
amazoncom inc,united states,1642000000000.0,consumer discretionary,amzn
tesla inc,united states,1016000000000.0,consumer discretionary,tsla
berkshire hathaway inc,united states,798470000000.0,financials,brk.a
nvidia corporation,united states,660380000000.0,technology,nvda
meta platforinc,united states,617500000000.0,communication services,meta
taiwan semiconductor manufacturing company limited,taiwan,527890000000.0,technology,2330
unitedhealth group incorporated,united states,488520000000.0,healthcare,unh
visa inc,united states,486770000000.0,financials,v
johnson & johnson,united states,475930000000.0,healthcare,jnj
tencent holdings ltd,china,441170000000.0,communication services,700
walmart inc,united states,429050000000.0,consumer staples,wmt
jpmorgan chase & co,united states,410840000000.0,financials,jpm
the procter & gamble company,united states,384600000000.0,consumer staples,pg
samsung electronics co ltd,south korea,378350000000.0,technology,5930
lvmh moet hennessy - louis vuitton se,france,359260000000.0,consumer discretionary,mc
mastercard incorporated,united states,358600000000.0,financials,ma
bank of america corporation,united states,350840000000.0,financials,bac
roche holding ag,switzerland,349500000000.0,healthcare,rog
exxon mobil corporation,united states,348720000000.0,energy,xom
kweichow moutai co ltd,china,348220000000.0,consumer staples,600519
the home depot inc,united states,321470000000.0,consumer discretionary,hd
chevron corporation,united states,315130000000.0,energy,cvx
pfizer inc,united states,300790000000.0,healthcare,pfe
abbvie inc,united states,294270000000.0,healthcare,abbv
alibaba group holding limited,china,290400000000.0,consumer discretionary,9988
asml holding nv,netherlands,274350000000.0,technology,asml
the coca-cola company,united states,273200000000.0,consumer staples,ko
eli lilly and company,united states,273010000000.0,healthcare,lly
broadcom inc,united states,265269999999.0,technology,avgo
costco wholesale corporation,united states,258149999999.0,consumer staples,cost
novo nordisk a/s,denmark,257240000000.0,healthcare,novo.b
industrial & commercial bank of china ltd,china,250370000000.0,financials,601398
the walt disney company,united states,247880000000.0,communication services,dis
pepsico inc,united states,241050000000.0,consumer staples,pep
cisco systeinc,united states,238450000000.0,technology,csco
thermo fisher scientific inc,united states,236150000000.0,healthcare,tmo
oracle corporation,united states,228180000000.0,technology,orcl
l'oreal sa,france,225240000000.0,consumer staples,or
accenture plc,ireland,219030000000.0,technology,acn
comcast corporation,united states,218900000000.0,communication services,cmcsa
verizon communications inc,united states,216680000000.0,communication services,vz
abbott laboratories,united states,215020000000.0,healthcare,abt
nike inc,united states,213600000000.0,consumer discretionary,nke
bhp group,australia,211250000000.0,basic materials,bhp
merck & co inc,united states,210380000000.0,healthcare,mrk
danaher corporation,united states,208030000000.0,healthcare,dhr
shell plc,united kingdom,207680000000.0,energy,shel
novartis ag,switzerland,204130000000.0,healthcare,novn
astrazeneca plc,united kingdom,201750000000.0,healthcare,azn
intel corporation,united states,201720000000.0,technology,intc
wells fargo & company,united states,200010000000.0,financials,wfc
adobe inc,united states,199570000000.0,technology,adbe
salesforcecom inc,united states,193800000000.0,technology,crm
united parcel service inc,united states,190500000000.0,industrials,ups
china construction bank corp,china,189370000000.0,financials,601939
mcdonald's corporation,united states,186570000000.0,consumer discretionary,mcd
china merchants bank co ltd,china,185980000000.0,financials,600036
contemporary amperex technology co ltd,china,185670000000.0,industrials,300750
union pacific corporation,united states,184190000000.0,industrials,unp
at&t inc,united states,175880000000.0,communication services,t
qualcomm incorporated,united states,172250000000.0,technology,qcom
texas instruments incorporated,united states,171280000000.0,technology,txn
bristol-myers squibb company,united states,170560000000.0,healthcare,bmy
prosus nv,netherlands,170000000000.0,communication services,prx
linde plc,united kingdom,166070000000.0,basic materials,lin
nextera energy inc,united states,165530000000.0,utilities,nee
agricultural bank of china ltd,china,165000000000.0,financials,601288
t-mobile us inc,united states,164310000000.0,communication services,tmus
morgan stanley,united states,164050000000.0,financials,ms
netflix inc,united states,163190000000.0,communication services,nflx
royal bank of canada,canada,159740000000.0,financials,ry
the charles schwab corporation,united states,158060000000.0,financials,schw
philip morris international inc,united states,154710000000.0,consumer staples,pm
medtronic plc,ireland,151060000000.0,healthcare,mdt
raytheon technologies corporation,united states,150960000000.0,industrials,rtx
american express company,united states,150760000000.0,financials,axp
hermes international sca,france,148980000000.0,consumer discretionary,rms
toronto-dominion bank,canada,145410000000.0,financials,td
petrochina company limited,china,144500000000.0,energy,601857
commonwealth bank of australia,australia,144320000000.0,financials,cba
lowe's companies inc,united states,143770000000.0,consumer discretionary,low
amgen inc,united states,141720000000.0,healthcare,amgn
bank of china ltd,china,141220000000.0,financials,601988
hsbc holdings plc,united kingdom,140150000000.0,financials,hsba
china mobile ltd,hong kong,139300000000.0,communication services,941
totalenergies se,france,137500000000.0,energy,tte
honeywell international inc,united states,136479999999.0,industrials,hon
conocophillips,united states,136320000000.0,energy,cop
cvs health corporation,united states,135270000000.0,healthcare,cvs
ping an insurance group company of china ltd,china,134250000000.0,financials,601318
sap se,germany,134190000000.0,technology,sap
paypal holdings inc,united states,133919999999.0,financials,pypl
sanofi,france,132289999999.0,healthcare,san
deere & company,united states,130310000000.0,industrials,de
advanced micro devices inc,united states,128289999999.0,technology,amd
intuit inc,united states,126770000000.0,technology,intu
sony group corporation,japan,126640000000.0,technology,6758
rio tinto group,united kingdom,125840000000.0,basic materials,rio
aia group ltd,hong kong,125160000000.0,financials,1299
lockheed martin corporation,united states,124980000000.0,industrials,lmt
caterpillar inc,united states,124130000000.0,industrials,cat
anheuser-busch inbev sa/nv,belgium,,consumer staples,abi
equinor asa,,122740000000.0,,eqnr
christian dior se,france,122110000000.0,consumer discretionary,cdi
prologis inc,united states,121200000000.0,real estate,pld
applied materials inc,united states,121120000000.0,technology,amat
anthem inc,united states,119800000000.0,healthcare,antm
international business machines corporation,united states,119200000000.0,technology,ibm
unilever plc,united kingdom,117840000000.0,consumer staples,ulvr
blackrock inc,united states,115980000000.0,financials,blk
hdfc bank limited,india,115680000000.0,financials,hdb
diageo plc,united kingdom,115580000000.0,consumer staples,dge
american tower corporation reit,united states,115110000000.0,real estate,amt
siemens ag,germany,114660000000.0,industrials,sie
meituan,china,114280000000.0,consumer discretionary,3690
keyence corp,japan,113200000000.0,technology,6861
the goldman sachs group inc,united states,112710000000.0,financials,gs
transurban group,australia,110790000000.0,industrials,tcl
industria de diseno textil sa,spain,,consumer discretionary,itx
