rank,company,revenues_2018_$m,employees,family_ownership,founded,public/private,generation,family_executive,woman_in_leadership,sector,headquarters,state_(abbreviation),website
1,volkswagen group,"266,315.1","665,260","porsche, piech",1937,public,4,no,yes,automotive,wolfsburg,ni,www.volkswagenag.de
2,schwarz group aka lidl kaufland,"119,418.4","429,000",schwarz,1930,private,2,no,no,retail,neckarsulm,bw,www.lidl.de
3,bmw group,"109,018.3","134,682","quandt, klatten",1916,public,4,no,yes,automotive,munchen,by,www.bmwgroup.com
4,aldi discounter nord sud,"100,423.6","208,000",albrecht,1913,private,4,no,yes,retail,e en and mulheim an der ruhr,nw,www.aldi.de
5,robert bosch group,"87,935.7","409,881",bosch,1886,private,3,no,no,automotive,gerlingen-schillerhohe,bw,www.bosch.de
6,continental ag,"49,802.1","245,686",schaeffler,1871,public,1,no,yes,automotive,hannover,ni,www.conti-online.com
7,metro group,"41,790.7","150,000","haniel, schmidt-ruthenbeck, beisheim",1963,public,3,no,no,retail,du eldorf,nw,www.metrogroup.de
8,merckle group phoenix ka bohrer etc,"29,883.2","37,900",merckle,1881,private,4,yes,yes,a et & wealth management,ulm,bw,-
9,heraeus,"23,236.8","14,903",heraeus,1851,private,5,no,no,industrial manufacturing,hanau,he,www.heraeus.com
10,henkel ag & co kgaa,"22,844.1","53,000",henkel,1876,public,5,no,yes,consumer products,du eldorf,nw,www.henkel.de
11,bertelsmann se & co kgaa,"19,856.6","117,220",mohn,1835,private,5,no,yes,media and entertainment,gutersloh,nw,www.bertelsmann.de
12,boehringer ingelheim,"19,624.6","50,000","boehringer, von baumbach",1885,private,4,yes,no,pharmaceuticals and life sciences,ingelheim am rhein,rp,www.boehringer-ingelheim.de
13,merck kgaa,"16,918.1","52,140",merck,1668,public,13,no,yes,pharmaceuticals and life sciences,darmstadt,he,www.merckgroup.com
14,rethmann group,"16,372.8","70,000",rethmann,1934,private,3,yes,no,energy and utilities,selm,nw,www.rethmann-gruppe.de
15,schaeffler group,"16,258.3","92,478",schaeffler,1883,public,2,no,yes,industrial manufacturing,herzogenaurach,by,www.schaeffler.com/fork
16,adolf wurth group,"15,635.8","77,080",wurth,1945,private,3,yes,yes,industrial manufacturing,kunzelsau,bw,www.wuerth.de
17,otto group,"15,442.7","50,000",otto,1949,private,3,yes,yes,retail,hamburg,hh,www.ottogroup.com
18,marquard & bahls ag,"14,898.1","7,561",wei er,1947,private,3,yes,yes,energy and utilities,hamburg,hh,www.mbholding.de
19,mahle gmbh,"14,154.8","79,564",mahle,1920,private,n.a.,no,no,automotive,stuttgart,bw,www.mahle.com
20,droege international group ag,"13,137.2","58,500",droege,1988,private,2,yes,yes,profe ional services,du eldorf,nw,www.droege-group.com
21,dm-drogerie markt gmbh co kg,"12,251.0","61,721","werner, lehmann",1973,private,2,yes,no,retail,karlsruhe,bw,www.dm-drogeriemarkt.de
22,dirk ro mann gmbh,"10,831.2","56,000",ro mann,1972,private,2,yes,yes,consumer products,burgwedel,ni,www.ro mann.de
23,maxingvest ag,"10,829.3","29,712",herz,1949,private,2,yes,no,consumer products,hamburg,hh,www.maxingvest.de
24,freudenberg group,"10,596.7","49,137",freudenberg,1849,private,7,no,no,industrial manufacturing,weinheim,bw,www.freudenberg.de
25,helm ag,"9,499.7","1,621",schnabel,1900,private,3,yes,no,industrial manufacturing,hamburg,hh,www.helmag.com
26,tengelmann warenhandelsgesellschaft kg,"9,000.0","86,000",haub,1867,private,5,yes,no,industrial manufacturing,mulheim an der ruhr,nw,www.tengelmann.de
27,globus holding gmbh & co kg,"8,690.2","45,500",bruch,1828,private,5,yes,no,consumer products,st. wendel,sl,www.globus.de
28,gebr knauf kg,"8,213.7","25,679",knauf,1932,private,3,yes,yes,industrial manufacturing,iphofen,by,www.knauf.de
29,august oetker kg,"8,174.9","30,937",oetker,1891,private,4,yes,yes,industrial manufacturing,bielefeld,nw,www.oetker-gruppe.com
30,hella gmbh & co kgaa,"7,956.7","39,327","hueck, behrend, ropke",1899,public,5,no,no,automotive,lippstadt,nw,www.hella.com
31,b braun melsungen ag,"7,741.9","63,751",braun,1839,private,6,yes,yes,healthcare,melsungen,he,www.bbraun.de
32,knorr-breag,"7,633.6","29,149",thiele,1905,public,2,yes,yes,industrial manufacturing,munchen,by,www.knorr-bremse.de
33,tonnies holding aps & co kg,"7,613.9","16,500",tonnies,1971,private,2,yes,no,foods and beverages,rheda-wiedenbruck,nw,www.toennies.de
34,brose fahrzeugteile gmbh & co kg coburg,"7,213.2","26,200","stoschek, volkmann",1908,private,4,no,no,automotive,coburg,by,www.brose.com
35,mhk group ag,"6,883.4","29,883",strothoff,1980,private,1,no,no,retail,dreieich,he,www.mhk.de
36,dkv mobility services group,"6,862.6","1,000",fischer,1934,private,3,no,no,transportation and logistics,ratingen,nw,www.dkv-euroservice.com
37,e/d/e group,"6,852.4","1,103",trautwein,1931,private,3,yes,no,industrial manufacturing,wuppertal,nw,www.ede.de
38,dachser se,"6,428.8","30,609","simon, rohde-dachser",1930,private,4,yes,no,transportation and logistics,kempten,by,www.dachser.com
39,enercon group,"6,409.5","4,510",wobben,1984,private,2,yes,yes,industrial manufacturing,aurich,ni,www.enercon.de
40,deichmann se,"6,006.1","26,075",deichmann,1913,private,3,yes,no,retail,e en,nw,www.deichmann.com
41,united internet ag,"5,767.4","9,115",dommermuth,1988,public,1,yes,no,telecommunications,montabaur,rp,www.united-internet.de
42,bartels-langne gmbh & co kg aka bela-group,"5,724.8","18,500",langne ,1892,private,3,yes,no,consumer products,kiel,sh,www.bela.de
43,wacker chemie ag,"5,600.0","14,744",wacker,1914,public,4,no,no,industrial manufacturing,munchen,by,www.wacker.com
44,franz haniel & cie gmbh,"5,376.1","18,824",haniel,1756,private,11,no,yes,a et & wealth management,duisburg,nw,www.haniel.de
45,eberspacher gruppe gmbh & co kg,"5,283.9","9,489","eberspacher, baumann, beckmann",1865,private,5,yes,no,automotive,e lingen,bw,www.eberspaecher.com
