industry,founded,revenue,name,location
diversified financials,1939,276,berkshire hathaway,"omaha, nebraska"
banking,1984,208,icbc,"beijing, china"
oil & gas operations,1933,400,saudi arabian oil company saudi aramco,"dhahran, saudi arabia"
banking and financial services,2000,124,jpmorgan chase,"new york, new york"
banking,2014,202,china construction bank,"beijing, china"
retail and wholesale,1994,469,amazon,"seattle, washington"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1976,378,apple,"cupertino, california"
banking,1979,181,agricultural bank of china,"beijing, china"
banking and financial services,1904,96,bank of america,"charlotte, north carolina"
consumer durables,1937,281,toyota motor,"toyota, japan"
"it, internet, software & services",1998,257,alphabet,"mountain view, california"
"it, internet, software & services",1975,184,microsoft,"redmond, washington"
banking,1929,152,bank of china,"beijing, china"
conglomerate,1938,244,samsung group,"seoul, south korea"
oil & gas operations,1999,280,exxonmobil,"irving, texas"
"construction, oil & gas operations, mining and chemicals",1907,261,shell,"london, united kingdom"
insurance,1988,181,ping an insurance group,"shenzhen, china"
banking,1852,84,wells fargo,"san francisco, california"
"telecommunications services, cable supplier",1983,134,verizon communications,"new york, new york"
telecommunications services,1876,163,at&t,"dallas, texas"
oil & gas operations,1999,380,petrochina,"beijing, china"
insurance,1977,297,unitedhealth group,"minnetonka, minnesota"
retailing,1962,572,walmart,"bentonville, arkansas"
banking,1987,71,china merchants bank,"shenzhen, china"
consumer durables,1937,295,volkswagen group,"wolfsburg, germany"
"construction, oil & gas operations, mining and chemicals",1879,156,chevron,"san ramon, california"
banking and financial services,1812,79,citigroup,"new york, new york"
it software & services,1998,86,tencent holdings,"shenzhen, china"
oil & gas operations,1924,185,total,"paris, france"
banking,1919,77,postal savings bank of china psbc,"beijing, china"
telecommunications services,1997,131,china mobile,"hong kong, hong kong"
media & advertising,1963,116,comcast,"philadelphia, pennsylvania"
retailing,1999,129,alibaba group,"hangzhou, china"
"it, internet, software & services",2004,117,meta platforms,"menlo park, california"
insurance,1890,138,allianz,"munich, germany"
diversified financials,1924,60,morgan stanley,"new york, new york"
diversified financials,1869,62,goldman sachs group,"new york, new york"
banking,1865,59,hsbc holdings,"london, united kingdom"
banking,1953,127,bnp paribas,"paris, france"
drugs & biotechnology,1886,94,johnson & johnson,"new brunswick, new jersey"
consumer durables,1883,178,mercedes-benz group,"stuttgart, germany"
retailing,1963,292,cvs health,"woonsocket, rhode island"
telecommunications services,1981,96,softbank,"tokyo, japan"
oil & gas operations,2000,384,sinopec,"beijing, china"
banking and financial services,1864,45,rbc,"montreal, canada"
"food, drink & tobacco",1866,95,nestle,"vevey, switzerland"
insurance,1816,145,axa group,"paris, france"
oil & gas operations,1989,117,gazprom,"st. petersburg, russia"
oil & gas operations,1909,158,bp,"london, united kingdom"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1968,79,intel,"santa clara, california"
banking and financial services,1855,38,td bank group,"toronto, canada"
telecommunications services,1952,110,nippon telegraph & tel,"tokyo, japan"
oil & gas operations,1973,86,reliance industries,"mumbai, india"
banking,1988,60,industrial bank,"fuzhou, china"
consumer durables,1960,89,sony,"tokyo , japan"
banking and financial services,1857,78,santander,"madrid, spain"
banking,2005,48,mitsubishi ufj financial,"tokyo, japan"
semiconductors,1987,61,taiwan semiconductor,"hsinchu, taiwan"
automotive  automotive and suppliers ,1903,136,ford motor,"oakville, ontario"
"clothing, shoes, sports equipment",1987,75,lvmh moet hennessy louis vuitton,"paris, france"
banking,1908,76,bank of communications,"shanghai, china"
packaged goods,1837,79,procter & gamble,"cincinnati, ohio"
consumer durables,1916,131,bmw group,"munich, germany"
oil & gas operations,1953,83,petrobras,"rio de janeiro, brazil"
"telecommunications services, cable supplier",1995,128,deutsche telekom,"bonn, germany"
drugs & biotechnology,2013,56,abbvie,"north chicago, illinois"
drugs & biotechnology,1996,51,novartis,"basel, switzerland"
automotive  automotive and suppliers ,1908,127,general motors,"detroit, michigan"
oil & gas operations,1972,88,equinor,"stavanger, norway"
insurance,2003,130,china life insurance,"beijing, china"
drugs & biotechnology,1896,68,roche holding,"basel, switzerland"
insurance,1919,45,aia group,"hong kong, hong kong"
insurance,1868,71,metlife,"new york, new york"
"construction, oil & gas operations, mining and chemicals",1885,65,bhp group,"melbourne, australia"
banking and financial services,1850,46,american express,"new york, new york"
consumer durables,2021,176,stellantis,"amsterdam, netherlands"
insurance,1872,69,zurich insurance group,"zurich, switzerland"
oil & gas operations,1993,111,rosneft,"moscow, russia"
"construction, oil & gas operations, mining and chemicals",1873,63,rio tinto,"london, united kingdom"
banking and financial services,1899,78,brookfield asset management,"toronto, canada"
insurance,1792,174,cigna,"bloomfield, connecticut"
banking and financial services,1875,70,prudential financial,"newark, new jersey"
"food, drink & tobacco",1965,79,pepsico,"purchase, new york"
drugs & biotechnology,1891,50,merck & co,"kenilworth, new jersey"
drugs & biotechnology,2004,144,elevance health,"indianapolis, indiana"
banking,1832,30,bank of nova scotia,"toronto, canada"
insurance,1919,52,american international group,"new york, new york"
materials,1974,203,glencore international,"baar, switzerland"
"it, internet, software & services",1984,51,cisco systems,"san jose, california"
"food, soft beverages, alcohol & tobacco",2008,54,anheuser-busch inbev,"leuven, belgium"
media & advertising,1923,73,walt disney,"burbank, california"
insurance,1985,41,chubb,"zurich, switzerland"
trading companies,1979,91,citic,"hong kong, hong kong"
banking,2009,58,lloyds banking group,"london, united kingdom"
"it, internet, software & services",1911,67,ibm,"armonk, new york"
drugs & biotechnology,2004,44,sanofi,"paris, france"
transportation and logistics,1907,97,united parcel service,"atlanta, georgia"
"food, drink & tobacco",1902,35,british american tobacco,"london, united kingdom"
banking,1862,35,ubs,"zurich, switzerland"
automotive  automotive and suppliers ,1959,130,honda motor,"tokyo, japan"
trading companies,1870,146,mitsubishi,"tokyo, japan"
construction,1982,205,china state construction engineering,"beijing, china"
banking,1955,54,state bank of india,"mumbai, india"
banking,1911,21,commonwealth bank,"sydney, australia"
banking,1992,54,shanghai pudong development,"shanghai, china"
aerospace & defense,1922,64,raytheon technologies,"waltham, massachusetts"
utilities,1962,99,enel,"rome, italy"
oil & gas operations,1953,90,eni,"rome, italy"
banking and financial services,1994,32,capital one,"mclean, virginia"
drugs & biotechnology,1933,46,bristol myers squibb,"new york, new york"
"food, soft beverages, alcohol & tobacco",1892,38,coca-cola,"atlanta, georgia"
"it, internet, software & services",1977,41,oracle,"redwood shores, california"
banking,1841,57,sberbank,"moscow, russia"
banking and financial services,1817,26,bank of montreal,"montreal, canada"
materials,1942,54,vale,"rio de janeiro, brazil"
