link,name,country,industry,revenue,employees,founded
https://www.greatdealscorp.com/,great deals e-commerce corp,philippines,ecommerce,88,385,2017
http://www.pclchip.com/,pcl inc,south korea,pharmaceuticals,45,63,2008
https://www.spolive.com/,spolive,south korea,games industry,9,47,2013
https://www.workmate.asia/,workmate,singapore,support services,12,82,2015
http://www.taimedbiologics.com/,taimed biologics,taiwan,pharmaceuticals,24,78,2007
https://www.sciecomm.com/,sci ecommerce,singapore,ecommerce,108,164,2014
http://www.icychaya.co.th/,i-cy chaya,thailand,food & beverage,44,7,2012
https://www.grow.com.au/,grow finance,australia,fintech,15,52,2016
https://sambhv.com/,sambhv steel,india,industrial goods,64,355,2017
https://www.inteluck.com/,inteluck,philippines,technology,7,108,2014
https://carro.sg/,carro,singapore,technology,86,400,2015
https://www.gopizza.kr/,gopizza,south korea,food & beverage,6,101,2017
https://www.interviewbit.com/,scaler by interviewbit,india,education,31,594,2016
https://pixiedusttech.com/,pixie dust technologies,japan,technology,4,61,2017
http://www.kioson.com/,kioson,indonesia,ecommerce,204,54,2015
https://www.sciecomm.com/,sci ecommerce,singapore,ecommerce,46,92,2014
https://www.electrickiwi.co.nz/,electric kiwi,new zealand,energy,35,22,2014
https://swappie.com/,swappie,finland,technology,"97,611,814",218,2016
https://www.haulio.io/,haulio,singapore,transport,5,21,2016
https://www.digio.in/,digio,india,technology,6,13,2016
https://www.skillmatics.in/,skillmatics,india,ecommerce,7,60,2016
http://www.strgl.co.jp/,struggle,japan,sales & marketing,24,40,2015
https://themathcompany.com/,themathcompany,india,technology,7,285,2016
https://kilo.health/,kilo health,lithuania,health,"57,318,766",177,2013
https://www.oci-group.co.uk/,oci,uk,financial services,"568,322,073",32,2012
https://www.roinetsolution.com/,roinet solution,india,fintech,23,202,2012
https://glints.com/,glints intern,singapore,support services,9,318,2013
https://reqrea.co.jp/,reqrea,japan,property,3,34,2016
http://www.roinetsolution.com/,roinet solution,india,financial services,17,182,2014
https://www.gvm-av.com/,global vision multimedia,japan,technology,7,28,2016
https://onlyfans.com/,onlyfans,uk,technology,"316,732,986",800,2016
https://bulb.com,bulb energy,uk,energy,"1,737,586,657",575,2015
https://amberstudent.com/,amberstudent,india,property,3,120,2015
https://www.tangerinetelecom.com.au/,tangerine telecom,australia,telecoms,35,100,2014
https://omkaraarc.com/,omkara,india,financial services,10,39,2014
https://roadbull.com/,roadbull logistics,singapore,technology,6,135,2015
https://inside.ai/,ai inside,japan,technology,14,67,2015
https://www.sgslogistics.com.au/,sgs logistics,australia,transport,8,7,2015
https://www.enpal.de/,enpal,germany,energy,"56,109,613",365,2017
https://sunfinance.group,sun finance,latvia,fintech,"101,475,796",750,2012
https://www.kurly.com/,marketkurly,south korea,ecommerce,807,"1,046",2015
https://www.zigma.in/,zigma global,india,waste management & recycling,21,"1,096",2015
https://greedygame.com/,greedygame,india,technology,9,60,2013
