name,headquarters,number_of_employees,address,industry,website,market_cap,telephone,revenue
us ecology inc,united states of america,"3,600","101 s capitol blvd ste 1000, boise, idaho, 83702",environmental and waste management services,www.usecology.com,,1 208 3318400,988
mercury systeinc,united states of america,"2,386","50 minuteman drive, andover, massachusetts, 01810",aerospace and defense,www.mrcy.com,2,1 978 2561300,988
xiwang foodstuffs co ltd,china,"1,892","xiwang industrial park, zouping county, binzhou, shandong , 256209",consumer packaged goods,www.xwsp.cc,787,86 543 4868888,985
shenzhen hepalink pharmaceutical group co ltd,china,"2,046","no. 19, hi-tech zhongyi avenue, middle area, hi-tech zone , nanshan dist, shenzhen, guangdong, 518057",pharmaceuticals and healthcare,www.hepalink.com,2,86 755 26980311,986
kingsoft corporation ltd,hong kong,"7,174","kingsoft tower, no. 33, xiaoying west road, haidian district, beijing, 100085",technology and communications,www.kingsoft.com,5,852  24050088,987
petropavlovsk plc,united kingdom,"8,860","11 grosvenor place, london, sw1x7hh",metals and mining,petropavlovskplc.com,,7 495 3802810,988
vat group ag,switzerland,"2,897","seelistrasse 1, haag, rheintal, 9469",industrial goods and machinery,www.vatvalve.com,9,41 81 7716161,986
software ag,germany,"5,052","uhlandstrasse 12, darmstadt, 64297",technology and communications,www.softwareag.com,2,49 6151 920,986
3sbio inc,china,"5,160","no. 3 a1, road 10, shenyang economy & technology, development zone, liaoning , 110027",pharmaceuticals and healthcare,www.3sbio.com,2,86 24 25811820,989
nomura co ltd,japan,"1,952","2-3-4, daiba, minato-ku, tokyo, 135-8622",construction,www.nomurakougei.co.jp,821,81 3 59621171,988
sapura energy bhd,malaysia,"3,440","no. 7, jalan tasik, mines resort city, seri kembangan, 43300",energy and utilities,www.sapuraenergy.com,184,60 3 86598800,990
deceuninck nv,belgium,"3,709","bruggesteenweg 360, gits, hooglede, 8830",construction,www.deceuninck.com,387,32 51 239211,991
finnair oyj,finland,"5,358","hott, tietotie 9, vantaa, 01530",transport and logistics,company.finnair.com,768,358 6 00081881,991
alok industries ltd,india,"26,231","peninsula business park, tower-b, 2nd & 3rd floor, g.k.marg, mumbai, 400013",consumer packaged goods,www.alokind.com,909,91 22 61787000,990
zhejiang weixing new building materials co ltd,china,"4,419","linhai economic development zone, taizhou, zhejiang, 317000",construction,www.vasen.com,5,86 576 85225086,990
redes energeticas nacionais sa,portugal,697,"avenida dos estados unidos da america, 55, lisboa, 1749-061",power,www.ren.pt,1,351 21 0013500,991
the shyft group inc,united states of america,"3,800","41280 bridge street, 1000 reynolds rd, novi, michigan, 48375",automotive,theshyftgroup.com,1,1 517 5436400,991
pjt partners inc,united states of america,833,"280 park ave fl 16th, new york, 10017-1206",financial services,pjtpartners.com,3,1 212 3647800,991
qatar gas transport co ltd,qatar,12,"al shoumoukh towers, c ring road, al-sadd, p.o. box 22271, doha",energy and utilities,www.nakilat.com,5,974  44998111,991
pt bank permata tbk,indonesia,"7,168","gedung world trade center ii, jl. jend. sudirman kav. 29-31, jakarta selatan, 12920",financial services,www.permatabank.com,2,62 21 5237788,992
fulgent genetics inc,united states of america,645,"4978 santa anita ave ste 205, temple city, california, 91780-3600",medical equipment,www.fulgentgenetics.com,975,1 626 3500537,992
globaltrans investment plc,cyprus,"1,750","office 201, 4 profiti ilia street, germasogeia, limassol, 4046",transport and logistics,www.globaltrans.com,799,357 25 212382,993
asia allied infrastructure holdings ltd,hong kong,"6,150","c2, 5th floor,hng kng spnrs indstrl bldg, 601-603 tai nan west street, cheung sha wan, kowloon, hong kong",construction,www.asiaalliedgroup.com,121,852  37985711,993
haemonetics corp,united states of america,"2,821","125 summer street, boston, massachusetts, 02110",medical equipment,www.haemonetics.com,4,1 781 8487100,993
boe varitronix limited,hong kong,"4,063","unit a-f, 35/f, legend tower, 7 shing yip street, kwun tong, hong kong",technology and communications,www.boevx.com,1,852  21976000,995
ebix inc,united states of america,"10,030","1 ebix way, johns creek, georgia, 30097",technology and communications,www.ebix.com,590,1 678 2812020,994
gsi creos corp,japan,624,"7-9f, aoba daiichi bldg., 2-3-1, kudan-minami, chiyoda-ku, tokyo, 102-0074",consumer packaged goods,www.gsi.co.jp,145,81 3 52111800,995
information services international-dentsu ltd,japan,"3,240","2-17-1, konan, minato-ku, tokyo, 108-0075",technology and communications,www.isid.co.jp,2,81 3 67136111,997
fulton financial corp,united states of america,"3,200","one penn square, lancaster, pennsylvania, 17602",financial services,www.fultonbank.com/about-fulton-bank,2,1 717 2912411,997
alpha networks inc,taiwan,"6,392","no.8, li-shing road vii, hsinchu science-based industrial park, 300",technology and communications,www.alphanetworks.com,533,886 3 5636666,998
ircon international ltd,india,"1,278","c-4, district centre, saket, new delhi, 110017",construction,www.ircon.org/index.php,709,91 11 29565666,999
rcs mediagroup spa,italy,"2,953","via angelo rizzoli, 8, milano, 20132",media,www.rcsmediagroup.it,392,39 02 25841,1
kiatnakin phatra bank public co ltd,thailand,"3,665","amarin tower, 500 ploenchit road, lumphini, pathumwan, bangkok, 10330",financial services,bank.kkpfg.com/th/home,1,66 21 655555,1
binggrae co ltd,south korea,"1,609","45, dasansunhwan-ro, namyangju, 12253",consumer packaged goods,www.bing.co.kr,315,82 2 20226000,1
winpak ltd,canada,"2,563","100 saulteaux cres, winnipeg, manitoba, r3j3t3",paper and packaging,www.winpak.com,2,1 204 8312244,1
land and houses public co ltd,thailand,"1,623","floor 37-38, q. house lumphini building, 1 south sathon road, thungmahamek, sathon, bangkok, 10120",construction,www.lh.co.th,3,66 23 438900,1
genting malaysia bhd,malaysia,"14,048","24th floor, wisma genting, jalan sultan ismail, kuala lumpur, 50250",leisure and arts,www.gentingmalaysia.com,3,60 3 21782288,1
nohmi bosai ltd,japan,"2,635","4-7-3, kudan minami, chiyoda-ku, tokyo, 102-8277",industrial goods and machinery,www.nohmi.co.jp,769,81 3 32650211,1
east african breweries plc,kenya,"1,576","gpo, p.o. box 30161, nairobi, 00100",consumer packaged goods,www.eabl.com,1,254 20 8644000,1
lier chemical co ltd,china,"5,360","building 5, no.58, huasheng road, chenghua district, chengdu, sichuan, 610052",chemicals,www.lierchem.com,2,86 28 67575627,1
seadrill ltd,bermuda,"3,220","14 par-la-ville road, park place, hamilton, hm11",energy and utilities,www.seadrill.com,,1 441 2421500,1
great eagle holdings ltd,hong kong,"5,200","33rd floor, great eagle centre, hong kong",construction,www.greateagle.com.hk,1,852  28273668,1
daewoong pharmaceutical co ltd,south korea,"1,256","35-14, jeyakgongdan 4-gil, hyangnam-eup, hwaseong, 18623",pharmaceuticals and healthcare,www.daewoong.com,1,8225508800,1
pt bumi resources tbk,indonesia,864,"jl. h.r. rasuna said, kompleks rasuna ep, lantai 12, bakrie tower, jakarta, 12960",metals and mining,www.bumiresources.com,3,62 21 57942080,1
astro malaysia holdings berhad,malaysia,"4,191","3f,admnstn bldg,all asia broadcast cntr, lebuhraya puchong-sungai besi, technology park malaysia, bukit jalil, kuala lumpur, 57000",media,corporate.astro.com.my,735,60 3 95436688,1
rizhao port co ltd,china,"5,709","haibin second road, rizhao, shandong , 276826",transport and logistics,www.rzpcl.com,1,86 633 8388822,1
birla corp ltd,india,"7,184","1, shakespeare sarani  2nd floor , kolkata, 700071",construction,www.birlacorporation.com,912,91 33 66033300,1
crest nicholson holdings plc,united kingdom,661,"crest house, pyrcroft road, chertsey, kt169gn",construction,www.crestnicholson.com,784,44 1932 580555,1
conmed corp,united states of america,"3,800","11311 concept boulevard, largo, florida, 33773",medical equipment,www.conmed.com,2,1 727 2142974,1
haverty furniture companies inc,united states of america,"2,845","suite 800, 780 johnson ferry road, atlanta, georgia, 30342",retailing,www.havertys.com,548,1 404 4432900,1
dachan food asia ltd,china,"8,071","room 401, 4th floor, office tower c, vanton center, no.6 chaowai street, chaoyang district, beijing, 100020",consumer packaged goods,www.dachanfoodasia.com/en/aboutus.php,74,,1
praktikertjanst ab,sweden,"6,700","adolf fredriks kyrkogata 9, stockholm, 10355",pharmaceuticals and healthcare,www.praktikertjanst.se,,46 10 1280000,1
china non-ferrous metal industrys foreign engineering and construction co ltd,china,"4,797","china nonferrous building, no. 10, anding road, chaoyang district, beijing, 100029",metals and mining,www.nfc.com.cn,1,86 10 84427227,1
bb seguridade participacoes sa,brazil,,"asa norte, brasilia, 70.040-912",financial services,www.bbseguridaderi.com.br/pt,13,55 61 34932929,1
texas capital bancshares inc,united states of america,"1,751","suite 700, 2000 mckinney ave, dallas, texas, 75201",financial services,www.texascapitalbank.com,3,1 214 9326600,1
shandong xinhua pharmaceutical co ltd,china,"6,540","no.1 lutai avenue, high-tech zone, zibo, shandong , 255086",pharmaceuticals and healthcare,www.xhzy.com,2,86 533 2166666,1
hbis resources co ltd,china,"4,004","no.385, tiyu south street, shijiazhuang, hebei, 050023",construction,www.hbiszy.com,1,86 311 66500923,1
nishat mills ltd,pakistan,"27,760","7, main gulberg, lahore, 54000",consumer packaged goods,www.nishatmillsltd.com,76,92 42 35716351,1
cadence bancorp,united states of america,"1,818","2800 post oak blvd ste 3800, houston, texas, 77056-6170",financial services,www.cadencebancorporation.com,,1 713 8714000,1
the a2 milk company ltd,new zealand,421,"po box 91976, auckland, 1142",consumer packaged goods,thea2milkcompany.com,3,64 9 3755998,1
soitec sa,france,"1,847","parc technologique des fontaines, chemin des franques, bernin, villard-bonnot, rhone alpes, 38190",technology and communications,www.soitec.com,5,33 4 76927500,1
pt timah tbk,indonesia,"4,564","jalan jenderal sudirman no.51, bangka belitung, pangkal pinang, 33121",metals and mining,www.timah.com,623,62 21 23528000,1
unitika ltd,japan,"3,037","osaka center bldg., 4-1-3, kyutaro-machi, chuo-ku, osaka-shi, 541-8566",chemicals,www.unitika.co.jp,107,81 6 62815695,1
