name,address,nation,hhid,industry,sic_code,type,est_of_ownership
enel spa,"viale regina margherita 137, roma, 00198, roma, italy",it00934061003,h-it0031426662,"finance, insurance, and real estate",holding company  6719 ,corporation,1962
esselunga spa,"via giambologna 1, pioltello, 20096, milano, italy",it04916380159,h-it0068388950,retail trade,ret mail-order house  5961 ,corporation,1957
superit srl,"via vittor pisani 20, milano, 20124, milano, italy",it11068950960,h-it0289899385,"finance, insurance, and real estate",holding company  6719 ,corporation,2019
saras spa,"galleria passarella 2, milano, 20122, milano, italy",it00136440922,h-it0018414451,manufacturing,petroleum refiner  2911 ,corporation,1962
unicredit spa,"piazza gae aulenti 3 tower a, milano, 20154, milano, italy",it00348170101,h-it0009571558,"finance, insurance, and real estate",national commercial bank  6021 ,corporation,1870
send to me srl,"viale ungheria 46, milano, 20138, milano, italy",it11386820960,h-it0587927934,services,computer related services  7379 ,corporation,2020
intesa sanpaolo vita spa,"corso inghilterra 3, torino, 10138, torino, italy",it02505650370,h-it0075504235,"finance, insurance, and real estate",life insurance carrier  6311 ,corporation,1980
unipolsai assicurazioni spa,"via stalingrado 45, bologna, 40128, bologna, italy",it00818570012,h-it0009030107,"finance, insurance, and real estate",insurance carrier  6399 ,corporation,1921
totalenergies petrochemicals & refining sa nv,"via rombon 11, milano, 20134, milano, italy",it04488120967,h-it0074190970,wholesale trade,whol chemicals/products  5169 ,foreign company,2004
sanastera spa,"piazza minghetti 4/d, bologna, 40124, bologna, italy",it02755811201,h-it0002023660,"finance, insurance, and real estate",holding company  6719 ,corporation,2007
hera spa,"viale carlo berti pichat 2/4, bologna, 40127, bologna, italy",it04245520376,h-it0074735071,"transportation, communications, electric, gas, and sanitary services",water supply service  4941 ,corporation,1925
esso italiana srl,"viale cassala 57, milano, 20143, milano, italy",it00902231000,h-it0009235574,wholesale trade,whol petroleum products  5172 ,corporation,1891
poste italiane spa,"viale europa 190, roma, 00144, roma, italy",it01114601006,h-it0072035536,"transportation, communications, electric, gas, and sanitary services",u.s. postal service  4311 ,corporation,1861
a2a spa,"corso di porta vittoria 4, milano, 20122, milano, italy",it11957540153,h-it0072707569,"transportation, communications, electric, gas, and sanitary services",electric services  4911 ,corporation,1996
arrow electronics emeasa srl,"viale dell'innovazione 3, milano, 20126, milano, italy",it03712140965,h-it0073209457,"finance, insurance, and real estate",holding company  6719 ,corporation,2002
edison spa,"foro buonaparte 31, milano, 20121, milano, italy",it08263330014,h-it0012735906,"finance, insurance, and real estate",holding company  6719 ,corporation,1994
ferrovie dello stato italiane spa,"piazza della croce rossa 1, roma, 00161, roma, italy",it06359501001,h-it0056073372,"finance, insurance, and real estate",holding company  6719 ,corporation,1992
prysmian spa,"via chiese 6, milano, 20126, milano, italy",it04866320965,h-it0073901547,wholesale trade,metals service center  5051 ,corporation,2005
leonardo spa,"piazza monte grappa 4, roma, 00195, roma, italy",it00881841001,h-it0011199660,manufacturing,mfg aircraft  3721 ,corporation,1897
generali italia spa,"via marocchesa 14, mogliano veneto, 31021, treviso, italy",it00885351007,h-it0008844852,"finance, insurance, and real estate",insurance carrier  6399 ,corporation,1927
enel energia spa,"via san giovanni sul muro 9, milano, 20121, milano, italy",it06655971007,h-it0049563734,"transportation, communications, electric, gas, and sanitary services",electric services  4911 ,corporation,1962
intesa sanpaolo spa,"via monte di pieta' 8, milano, 20121, milano, italy",it10810700152,h-it0026290537,"finance, insurance, and real estate",national commercial bank  6021 ,corporation,1925
telecom italia spa,"via gaetano negri 1, milano, 20123, milano, italy",it00488410010,h-it0010336109,"transportation, communications, electric, gas, and sanitary services",telephone communications  4813 ,corporation,1908
poste vita spa,"viale europa 190, roma, 00144, roma, italy",it05927271006,h-it0012766704,"finance, insurance, and real estate",life insurance carrier  6311 ,corporation,1996
fca italy spa in forma fiat chrysler automobiles e in forma abbreviato fiat group autom,"corso giovanni agnelli 200, torino, 10135, torino, italy",it07973780013,h-it0075465809,manufacturing,mfg motor vehicle/car bodies  3711 ,corporation,1978
enel italia spa,"viale regina margherita 125, roma, 00198, roma, italy",it06377691008,h-it0049563343,"finance, insurance, and real estate",holding company  6719 ,corporation,2001
gestore dei mercati energetici spa,"viale maresciallo pilsudski 122/124, roma, 00197, roma, italy",it06208031002,h-it0056071078,"transportation, communications, electric, gas, and sanitary services",electric services  4911 ,corporation,2000
amazon eu sa rl,"viale monte grappa 3/5, milano, 20124, milano, italy",it08973230967,h-it0044869029,retail trade,ret mail-order house  5961 ,foreign company,2011
gestore dei servizi energetici - gse spa,"viale maresciallo pilsudski 92, roma, 00197, roma, italy",it05754381001,h-it0008779732,"transportation, communications, electric, gas, and sanitary services",electric services  4911 ,corporation,1999
eni spa,"piazzale enrico mattei 1, roma, 00144, roma, italy",it00905811006,h-it0032444168,manufacturing,petroleum refiner  2911 ,corporation,1953
iveco spa,"via puglia 35, torino, 10156, torino, italy",it09709770011,h-it0002560860,manufacturing,mfg motor vehicle/car bodies  3711 ,corporation,1974
