name,world_rank,market_value,market_cap,ceo,country
apple,1,"2,825.000 billion usd","2,510.000 billion usd",tim cook,usa
microsoft corporation,2,"2,358.000 billion usd","2,269.000 billion usd",,usa
saudi arabian oil company saudi aramco,3,"1,889.600 billion usd","1,891.600 billion usd",he yasir othman al-rumayyan,saudi arabia
alphabet,4,"1,820.000 billion usd","1,934.000 billion usd",john l hennessy,usa
amazoncom,5,"1,649.000 billion usd","1,758.000 billion usd",andy jassy,usa
tesla,6,"1,031.000 billion usd",737020000000,elon musk,usa
meta platforms,7,922960000000,"1,070.000 billion usd",mark zuckerberg,usa
berkshire hathaway,8,711750000000,646790000000,warren buffett,usa
nvidia corporation,9,679000000000,557830000000,jensen huang,usa
taiwan semiconductor manufacturing company tsmc,10,640480000000,617200000000,mark liu,taiwan
toyota motor corporation,31,276740000000,244750000000,,japan
coca-cola company,32,260589999999,243070000000,james quincey,usa
cisco systems,33,257820000000,248720000000,chuck robbins,usa
broadcom,34,255630000000,203990000000,henry samueli,usa
prosus,35,254550000000,283050000000,,netherlands
icbc,36,252550000000,244010000000,chen siqing,china
l'oreal,37,249140000000,262430000000,,france
nike,38,248460000000,260800000000,mark parker,usa
eli lilly and company,39,248240000000,247070000000,juan r luciano,usa
adobe,40,242990000000,316190000000,shantanu narayen,usa
tencent,11,545360000000,609440000000,ma huateng,china
j p morgan chase & co,12,494000000000,477960000000,william b harrison jr,usa
visa,13,471630000000,502740000000,alfred f kelly jr,usa
johnson & johnson,14,457940000000,455760000000,william c weldon,usa
samsung electronics,15,438840000000,444460000000,lee kun-hee,south korea
unitedhealth group,16,431930000000,392510000000,andrew witty,usa
home depot,17,411020000000,345210000000,frank blake,usa
lvmh,18,409480000000,380100000000,bernard arnault,france
bank of america corporation,19,402490000000,351320000000,brian moynihan,usa
walmart,20,401910000000,415000000000,doug mcmillon,usa
procter & gamble company,21,393820000000,345770000000,jon r moeller,usa
kweichow moutai,22,382350000000,305700000000,li bao fang,china
nestle ag,23,372720000000,348550000000,suresh narayanan,switzerland
mastercard,24,363200000000,341650000000,michael miebach,usa
roche holding ag,25,356150000000,350650000000,christoph franz,switzerland
alibaba group holding,26,351900000000,453300000000,daniel zhang,china
pfizer,27,312750000000,258300000000,albert bourla,usa
asml holding,28,307330000000,341360000000,gerard kleisterlee,netherlands
exxon mobil corporation,29,291610000000,230810000000,darren w woods,usa
the walt disney company,30,286880000000,329450000000,susan arnold,usa
qualcomm,60,202060000000,165470000000,paul e jacobs,usa
novartis ag,61,201260000000,206760000000,joerg reinhardt,switzerland
china merchants bank,62,199860000000,198770000000,miao jianmin,china
mcdonald's corporation,63,199560000000,177340000000,enrique hernandez,usa
contemporary amperex technology,64,197130000000,170700000000,ying ming wu,china
tata consultancy services tcs,65,193870000000,195160000000,,india
united parcel service ups,66,189610000000,170400000000,william r johnson,usa
at&t,67,187740000000,195780000000,edward whitacre jr,usa
morgan stanley,68,186710000000,190540000000,james p gorman,usa
china construction bank corporation,69,182170000000,186030000000,tian guoli,china
royal dutch shell,70,181560000000,155530000000,,netherlands
astrazeneca,71,178120000000,181450000000,,uk
the charles schwab corporation,72,173440000000,137540000000,charles r schwab,usa
hermes international,73,172040000000,155710000000,,france
linde ag,74,171940000000,162340000000,,uk
nextera energy,75,169550000000,164770000000,james l robo,usa
lowe's companies,76,169170000000,141940000000,marvin ellison,usa
texas instruments,77,165720000000,176730000000,thomas j engibous,usa
union pacific corporation,78,163790000000,141410000000,lance m fritz,usa
bhp group,79,162910000000,167240000000,,australia
chevron corporation,41,241020000000,187140000000,mike wirth,usa
pepsico,42,240690000000,216150000000,ramon l laguarta,usa
abbott laboratories,43,239710000000,224030000000,robert ford,usa
netflix,44,239660000000,251920000000,reed hastings,usa
tata group,44,44,,ratan n tata,india
thermo fisher scientific,45,239220000000,219270000000,marc n casper,usa
abbvie,46,238450000000,213440000000,richard a gonzalez,usa
costco wholesale corporation,47,237760000000,201360000000,hamilton e james,usa
accenture,48,234500000000,213430000000,pierre nanterme,ireland
oracle corporation,49,233690000000,249740000000,larry ellison,usa
sap se,80,162540000000,178440000000,hasso plattner,germany
toronto-dominion bank,90,144320000000,118220000000,brian m levitt,canada
petrochina company,91,143700000000,128699999999,dai houliang,china
christian dior,92,143380000000,139230000000,pietro beccari,france
agricultural bank of china,81,160760000000,160550000000,gu shu,china
intuit,82,160710000000,154690000000,suzanne nora johnson,usa
meituan dianping,83,160510000000,201890000000,wang xing,china
royal bank of canada,84,159750000000,146400000000,david i mckay,canada
advanced micro devices amd,85,159410000000,134300000000,hector de j ruiz,usa
sony corporation,86,156010000000,129060000000,kenichiro yoshida,japan
philip morris international,87,154340000000,160530000000,jacek olczak,usa
ping an insurance group company of china,88,150120000000,145860000000,peter ma,china
honeywell international,89,148530000000,160110000000,,usa
shopify,93,143340000000,190100000000,tobias albin lutke,canada
keyence corporation,94,142420000000,148070000000,yu nakata,japan
medtronic,95,141390000000,179590000000,geoff martha,ireland
bristol-myers squibb company,96,139460000000,148570000000,caforio,usa
siemens,97,138710000000,131560000000,,germany
totalenergies se,98,138010000000,117070000000,,france
cvs health corporation,99,137540000000,114000000000,david w dorman,usa
novo nordisk a/s,50,231350000000,229040000000,helge lund,denmark
comcast corporation,51,228670000000,278500000000,brian l roberts,usa
verizon communications,52,227690000000,227710000000,hans vestberg,usa
salesforcecom,53,224880000000,259700000000,marc benioff,usa
reliance industries,54,220760000000,214910000000,,india
paypal holdings,55,220420000000,339180000000,john j donahoe,usa
wells fargo & company,56,218380000000,187660000000,steven black,usa
intel corporation,57,217340000000,219320000000,patrick p gelsinger,usa
danaher corporation,58,211280000000,231420000000,rainer m blair,usa
merck & co,59,202830000000,193120000000,kenneth c frazier,usa
unilever group,100,137220000000,145300000000,,netherlands
t-mobile us,101,137070000000,172090000000,timotheus hottges,usa
bank of china,102,135639999999,129970000000,liu liange,china
blackrock,103,135550000000,144120000000,laurence d,usa
schwarz group,103,103,103,,germany
raytheon technologies corporation,104,135370000000,127810000000,gregory j hayes,usa
american express company,105,135070000000,131840000000,stephen j squeri,usa
volkswagen,106,134250000000,147140000000,,germany
applied materials,107,134000000000,122010000000,thomas j iannotti,usa
hsbc holdings,108,132940000000,108530000000,,uk
the goldman sachs group,109,132600000000,139390000000,david solomon,usa
wuliangye yibin,110,132389999999,120940000000,zeng congqin,china
citi group,111,130530000000,145750000000,john c dugan,usa
china mobile,112,130509999999,127770000000,yang jie,china
amgen,113,128030000000,128070000000,robert a bradway,usa
youtube,113,113,113,,usa
estee lauder companies,114,127760000000,123020000000,william p lauder,usa
boeing company,115,126650000000,128660000000,,usa
