name,annual_revenue_usd,annual_net_income_usd,market_capitalization_2022,employees_number,ceo,headquarters_country,wikipedia_page_url,twitter_page_url,facebook_page_url
apple,394330000000,99803000000,2825000000000,154000,tim cook,usa,https://en.wikipedia.org/wiki/apple inc.,https://twitter.com/apple lang=en,https://www.facebook.com/apple/
microsoft corporation,198270000000,72738000000,2358000000000,220000,satya nadella,usa,https://en.wikipedia.org/wiki/microsoft,https://twitter.com/microsoft,https://www.facebook.com/microsoft/
saudi arabian oil company saudi aramco,400460000000,105380000000,1889600000000,79800,amin h al-nasser,saudi arabia,https://en.wikipedia.org/wiki/saudi aramco,https://twitter.com/saudi aramco,https://www.facebook.com/aramco/
alphabet,257640000000,76003000000,1820000000000,156500,sundar pichai,usa,https://en.wikipedia.org/wiki/alphabet inc.,https://twitter.com/google lang=en,https://www.facebook.com/alphabet/
amazoncom,469820000000,33364000000,1649000000000,1335000,andy jassy,usa,https://en.wikipedia.org/wiki/amazon  company ,https://twitter.com/amazon,https://www.facebook.com/amazon/
tesla,53823000000,5519000000,1031000000000,99290,elon musk,usa,"https://en.wikipedia.org/wiki/tesla, inc.",https://twitter.com/tesla,
meta platforms,117930000000,39370000000,922960000000,77805,mark zuckerberg,usa,https://en.wikipedia.org/wiki/facebook,https://twitter.com/facebook,https://www.facebook.com/facebook
berkshire hathaway,354640000000,89795000000,711750000000,372000,warren buffett,usa,https://en.wikipedia.org/wiki/berkshire hathaway,,
nvidia corporation,26914000000,9752000000,679000000000,18975,jensen huang,usa,https://en.wikipedia.org/wiki/nvidia,https://twitter.com/nvidia,https://www.facebook.com/nvidia
taiwan semiconductor manufacturing company tsmc,55306000000,20783000000,640480000000,65152,c c wei,taiwan,https://en.wikipedia.org/wiki/tsmc,,
tencent,87995000000,35320000000,545360000000,112771,ma huateng,china,https://en.wikipedia.org/wiki/tencent,https://twitter.com/tencentglobal lang=en,https://www.facebook.com/tencentglobal/
j p morgan chase & co,121640000000,46500000000,494000000000,271025,jamie dimon,usa,https://en.wikipedia.org/wiki/jpmorgan chase,https://twitter.com/jpmorgan,https://www.facebook.com/jpmorganchase
visa,24100000000,12310000000,471630000000,21500,alfred f kelly jr,usa,https://en.wikipedia.org/wiki/visa inc.,https://twitter.com/visa,https://www.facebook.com/visa/
johnson & johnson,93770000000,20870000000,457940000000,141700,joaquin duato,usa,https://en.wikipedia.org/wiki/johnson %26 johnson,https://twitter.com/jnjnews,https://www.facebook.com/jnj/
