ipo_year,number_of_employees,country,ceo,founded_year,market_value,name
,"154,000",usa,tim cook,,"2,825.00 billion usd",apple
,"220,000",usa,satya nadella,,"2,358.00 billion usd",microsoft corporation
,"79,800",saudi arabia,amin h al-nasser,,"1,889.60 billion usd",saudi arabian oil company saudi aramco
,"156,500",usa,sundar pichai,,"1,820.00 billion usd",alphabet
,"1,335,000",usa,andy jassy,,"1,649.00 billion usd",amazoncom
,"99,290",usa,elon musk,,"1,031.00 billion usd",tesla
,"77,805",usa,mark zuckerberg,,922960000000,meta platforms
,"372,000",usa,warren buffett,,711750000000,berkshire hathaway
,"18,975",usa,jensen huang,,679000000000,nvidia corporation
,"65,152",taiwan,c c wei,,640480000000,taiwan semiconductor manufacturing company tsmc
,"112,771",china,ma huateng,,545360000000,tencent
,"271,025",usa,jamie dimon,,494000000000,j p morgan chase & co
,"21,500",usa,alfred f kelly jr,,471630000000,visa
,"141,700",usa,joaquin duato,,457940000000,johnson & johnson
,"113,753",south korea,kim hyun suk koh dong-jin kim ki nam,,438840000000,samsung electronics
,"350,000",usa,andrew witty,,431930000000,unitedhealth group
,"500,000",usa,craig menear,,411020000000,home depot
,"150,000",france,bernard arnault,,409480000000,lvmh
,"208,000",usa,brian moynihan,,402490000000,bank of america corporation
,"2,300,000",usa,doug mcmillon,,401910000000,walmart
,"101,000",usa,jon r moeller,,393820000000,procter & gamble company
,"29,031",china,li bao fang,,382350000000,kweichow moutai
,"276,000",switzerland,ulf mark schneider,,372720000000,nestle ag
,"24,000",usa,michael miebach,,363200000000,mastercard
,"100,920",switzerland,severin schwan,,356150000000,roche holding ag
,"251,462",china,daniel zhang,,351900000000,alibaba group holding
,"78,500",usa,albert bourla,,312750000000,pfizer
,"28,000",netherlands,peter wennink,,307330000000,asml holding
,"64,000",usa,darren woods,,291610000000,exxon mobil corporation
,"190,000",usa,bob chapek,,286880000000,the walt disney company
,"366,283",japan,akio toyoda,,276740000000,toyota motor corporation
,"80,300",usa,james quincey,,260589999999,coca-cola company
,"79,500",usa,chuck robbins,,257820000000,cisco systems
,"20,000",usa,hock e tan,,255630000000,broadcom
,"23,874",netherlands,bob van dijk,,254550000000,prosus
,"434,798",china,nicolas jimenez,,252550000000,icbc
,"85,392",france,jean paul agon,,249140000000,l'oreal
,"73,300",usa,john donahoe,,248460000000,nike
,"35,000",usa,david a ricks,,248240000000,eli lilly and company
,"25,988",usa,shantanu narayen,,242990000000,adobe
,"42,595",usa,michael wirth,,241020000000,chevron corporation
,"309,000",usa,ramon laguarta,,240690000000,pepsico
,"113,000",usa,robert ford,,239710000000,abbott laboratories
,"12,135",usa,ted sarandos reed hastings,,239660000000,netflix
,"750,000",india,,,,tata group
,"130,000",usa,marc n casper,,239220000000,thermo fisher scientific
,"50,000",usa,richard a gonzalez,,238450000000,abbvie
,"288,000",usa,w craig jelinek,,237760000000,costco wholesale corporation
,"699,000",ireland,julie sweet,,234500000000,accenture
,"132,000",usa,safra a catz,,233690000000,oracle corporation
,"45,971",denmark,lars fruergaard jorgensen,,231350000000,novo nordisk a/s
,"189,000",usa,brian l roberts,,228670000000,comcast corporation
,"118,400",usa,hans vestberg,,227690000000,verizon communications
,"56,606",usa,marc benioff,,224880000000,salesforcecom
,"236,330",india,mukesh ambani,,220760000000,reliance industries
,"30,900",usa,daniel schulman,,220420000000,paypal holdings
,"253,871",usa,charles w scharf,,218380000000,wells fargo & company
,"121,100",usa,patrick p gelsinger,,217340000000,intel corporation
,"78,000",usa,rainer m blair,,211280000000,danaher corporation
,"68,000",usa,robert m davis,,202830000000,merck & co
,"45,000",usa,cristiano r aman,,202060000000,qualcomm
,"104,323",switzerland,vasant narasimhan,,201260000000,novartis ag
,"90,867",china,huiyu tian,,199860000000,china merchants bank
,"200,000",usa,chris kempczinski,,199560000000,mcdonald's corporation
,"33,078",china,zeng yuqun,,197130000000,contemporary amperex technology
,"606,331",india,rajesh gopinathan,,193870000000,tata consultancy services tcs
,"534,000",usa,carol b tome,,189610000000,united parcel service ups
,"203,000",usa,john t stankey,,187740000000,at&t
