ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
bernard arnault,france,237807000000.0,313500000000.0,409480000000,lvmh,"150,000",70765000,fashion and luxury goods
ulf mark schneider,switzerland,311592000000.0,336110000000.0,372720000000,nestle ag,"276,000",92575000,consumer defensive
severin schwan,switzerland,279684000000.0,295780000000.0,356150000000,roche holding ag,"100,920",66757000,healthcare
peter wennink,netherlands,127542000000.0,205120000000.0,307330000000,asml holding,"28,000",20509000,technology
bob van dijk,netherlands,125912000000.0,176280000000.0,254550000000,prosus,"23,874",6866000,communication services
jean paul agon,france,165742000000.0,211890000000.0,249140000000,l'oreal,"85,392",35580000,consumer defensive
julie sweet,ireland,134170999999.0,173070000000.0,234500000000,accenture,"699,000",50533000,technology
lars fruergaard jorgensen,denmark,137602000000.0,163070000000.0,231350000000,novo nordisk a/s,"45,971",20838000,healthcare
vasant narasimhan,switzerland,215018000000.0,217770000000.0,201260000000,novartis ag,"104,323",52877000,healthcare
ben van beurden,netherlands,237102000000.0,136150000000.0,181560000000,royal dutch shell,"86,000",180640000,energy
pascal soriot,uk,135300000000.0,130990000000.0,178120000000,astrazeneca,"83,100",37417000,healthcare
axel dumas,france,78337000000.0,112040000000.0,172040000000,hermes international,"15,417",9898000,consumer cyclical
sanjiv lamba,uk,114005000000.0,136550000000.0,171940000000,linde ag,"74,207",30793000,basic materials
christian klein,germany,169596000000.0,155850000000.0,162540000000,sap se,"107,415",30682000,technology
pietro beccari,france,93276000000.0,99873000000.0,143380000000,christian dior,"128,339",70765000,consumer cyclical
geoffrey s martha,ireland,153912000000.0,157670000000.0,141390000000,medtronic,"90,000",31677000,healthcare
roland busch,germany,108756000000.0,114390000000.0,138710000000,siemens,"303,000",68616000,industries
patrick pouyanne,france,144694000000.0,114130000000.0,138010000000,totalenergies se,"105,476",184630000,energy
alan jope,netherlands,151747000000.0,157180000000.0,137220000000,unilever group,"149,000",57793000,consumer defensive
herbert diess,germany,111302000000.0,99864000000.0,134250000000,volkswagen,"662,575",250120000,consumer cyclical
noel quinn,uk,160680000000.0,105160000000.0,132940000000,hsbc holdings,"223,448",63644000,financial services
paul hudson,france,127049000000.0,120410000000.0,126370000000,sanofi,"95,442",43171000,healthcare
ivan menezes,uk,103621000000.0,91733000000.0,123290000000,diageo,"28,025",18200000,consumer defensive
jakob stausholm,uk,115285000000.0,93792000000.0,116980000000,rio tinto group,"49,000",63495000,basic materials
dame emma walmsley,uk,116685000000.0,91765000000.0,110320000000,glaxosmithkline,"99,000",44655000,healthcare
michel doukeris,belgium,163224000000.0,136860000000.0,109500000000,anheuser-busch inbev,"164,000",54304000,consumer defensive
alexey miller,russia,93956000000.0,69570000000.0,108150000000,gazprom,"473,800",168300000,energy
jean-pascal tricoire,france,57457000000.0,79856000000.0,107120000000,schneider electric,"166,025",31853000,power equipment
guillaume faury,netherlands,117260000000.0,85683000000.0,105090000000,airbus,"125,888",57468000,industries
oliver bate,germany,105918000000.0,100760000000.0,103280000000,allianz se,"150,269",114040000,financial services
belen garijo,germany,52675000000.0,74308000000.0,102500000000,merck kgaa on,"58,408",21695000,healthcare
francois-henri pinault,france,84010000000.0,90434000000.0,101130000000,kering,"38,553",19445000,consumer cyclical
pablo isla,spain,110958000000.0,99765000000.0,98655000000,inditex industria de diseno textil,"144,116",27708000,consumer cyclical
bernard looney,uk,128560000000.0,70503000000.0,97619000000,bp plc,"60,000",157740000,energy
timotheus hottges,germany,78317000000.0,87242000000.0,92028000000,deutsche telekom ag,"226,291",119890000,communication services
jean-laurent bonnafe,france,74764000000.0,65494000000.0,90457000000,bnp paribas,"190,000",0,financial services
anders opedal,norway,67450000000.0,54549000000.0,89918000000,equinor asa,"21,245",88744000,energy
