name,industry,sector,headquarters,founded
3h biomedical,health care,biotechnology,uppsala,2004
aarhuskarlshamn,consumer goods,food products,malmo,2005
abba seafood,consumer goods,food products,gothenburg,1883
abu garcia,consumer goods,recreational products,svangsta,1921
acando,technology,software,stockholm,2001
acast,technology,software,stockholm,2014
acne studios,consumer goods,clothing & accessories,stockholm,1997
af,industrials,business support services,stockholm,1895
aga,oil & gas,exploration & production,lulea,1904
ahlens,consumer services,broadline retailers,stockholm,1899
alfa laval,industrials,industrial machinery,lund,1883
alfdex,industrials,industrial machinery,landskrona,2002
ap&t,industrials,industrial machinery,ulricehamn,1989
apoteket,health care,pharmaceuticals,stockholm,1970
aptilo networks,telecommunications,mobile telecommunications,stockholm,2001
arcam,industrials,industrial suppliers,molndal,1997
asea,industrials,diversified industrials,vasteras,1883
abb,industrials,industrial machinery,vasteras,1988
assa abloy,industrials,industrial suppliers,stockholm,1994
astra ab,health care,pharmaceuticals,sodertalje,1913
atlas copco,industrials,diversified industrials,nacka,1873
atlet,industrials,commercial vehicles & trucks,molnlycke,1958
autoliv,industrials,business support services,stockholm,1997
avalanche studios,technology,software,stockholm,2003
avanza,financials,investment services,stockholm,1999
axel johnson,conglomerates,-,stockholm,1873
axel johnson group,conglomerates,-,stockholm,1873
axfood,consumer services,food retailers & wholesalers,stockholm,1964
axis communications,technology,computer hardware,lund,1984
bae systems,industrials,defense,ornskoldsvik,2006
bahco,industrials,diversified industrials,enkoping,1886
bahnhof,telecommunications,fixed line telecommunications,stockholm,1994
ballograf,consumer goods,nondurable household products,gothenburg,1945
berg propulsion,industrials,industrial machinery,gothenburg,1912
betsson,consumer services,gambling,stockholm,1963
biacore,health care,biotechnology,uppsala,1984
billerudkorsnas,basic materials,paper,solna,2012
bindomatic,industrials,industrial suppliers,stockholm,1974
biogaia,health care,pharmaceuticals,stockholm,1990
bjorn borg,consumer goods,clothing & accessories,stockholm,2004
bofors,industrials,defense,karlskoga,1873
boghammar marin ab,industrials,commercial vehicles & trucks,lidingo,1906
boliden,basic materials,general mining,stockholm,1931
bolinder-munktell,industrials,commercial vehicles & trucks,eskilstuna,1932
bona ab,industrials,building materials & fixtures,malmo,1919
bonnier group,consumer services,broadcasting & entertainment,stockholm,1804
braathens regional aviation,consumer services,airlines,malmo,1981
bredbandsbolaget,telecommunications,fixed line telecommunications,stockholm,1998
brio,consumer goods,toys,malmo,1884
bure equity,financials,investment services,stockholm,1992
camfil,industrials,industrial machinery,stockholm,1963
carnegie investment bank,financials,investment services,stockholm,1803
casino cosmopol,consumer services,gambling,stockholm,1999
cederroth,health care,health care providers,upplands vasby,1895
cheap monday,consumer goods,clothing & accessories,stockholm,2000
clas ohlson,consumer services,home improvement retailers,insjon,1918
clavia,consumer goods,recreational products,stockholm,1983
cloetta,consumer goods,food products,stockholm,1862
columbitech,technology,software,stockholm,2000
com hem,telecommunications,fixed line telecommunications,stockholm,1983
comviq,telecommunications,fixed line telecommunications,stockholm,1981
coop norden,consumer services,food retailers & wholesalers,stockholm,2001
danir ab,financials,investment services,malmo,1986
dataphone,telecommunications,mobile telecommunications,stockholm,2001
datasaab,industrials,business support services,linkoping,1954
delaval,industrials,commercial vehicles & trucks,tumba,1883
destination gotland,consumer services,travel & tourism,visby,1998
diamyd medical,health care,biotechnology,stockholm,1994
dockstavarvet,industrials,commercial vehicles & trucks,docksta,1905
domnarvet,basic materials,iron & steel,borlange,1872
doro,technology,telecommunications equipment,malmo,1974
draim,technology,software,nacka,2003
ea dice,technology,software,stockholm,1992
elanders,industrials,business support services,molnlycke,1908
electrolux,consumer goods,durable household products,stockholm,1919
elekta,health care,health care providers,stockholm,1972
