Cluster ID,Link Score,name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
367,0.6744825,toyota,"toyota, japan",japan,,,,"august 28, 1937","371,365",akio toyoda,51550000000,"automakers, manufacturing",consumer discretionary,auto manufacturers,"27,214,594 million  us$256.7 billion (fy21)","https://global.toyota/en, https://en.wikipedia.org/wiki/toyota",141,,,,,,
,,the hershey company,"hershey, pa, united states",usa,,,,"february 8, 1894","16,620",michele gross buck,48540000000,food,consumer staples,confectioners,7900000000,"https://www.thehersheycompany.com, https://en.wikipedia.org/wiki/hershey company",236,,,,,,
,,sartorius,"gottingen, germany",germany,,,,,"13,832",joachim kreuzburg,27350000000,"scientifictechnicalinstruments, dax",healthcare,medical instruments & supplies,,https://www.sartorius.com,325,,,,,,
,,wh smith,,uk,,,,,,,2270000000,retail,retail,,,,17,,,,,,
,,sixt se,,germany,,,,,,,3900000000,"carrental, rentalleasingservices",industries,,,,96,,,,,,
,,diversey holdings ltd,"tokyo, japan",uk,,,,,"30,020",atsushi katsuki,18210000000,,fmcg,beveragesbrewers,,https://www.asahigroup-holdings.com,4,,,,,,
,,puma se,,germany,,,,,,bjorn gulden,8039999999,"footwear, clothing, dax",consumer cyclical,,,,53,,,,,,
,,essity ab publ,,sweden,,,,,,magnus groth,17730000000,,consumer defensive,,,,25,,,,,,
286,0.6744833,basf se,,germany,,,,,,,45510000000,"chemicals, dax",basic materials,,,,49,,,,,,
,,porsche italia spa,,germany,,,,,,,97600000000,"automakers, manufacturing",,retail trade,,,107,,,,,"corso stati uniti 35, padova, 35127, padova, italy",corporation
,,swissquote group holding ltd,"johannesburg, south africa",switzerland,,,,,"21,975",ralph tendai mupita bsc mba,23450000000,,financial services,telecom services,,https://www.mtn.com,133,,,,,,
,,sika ag,"baar, switzerland",switzerland,,,,,"26,272",paul schuler,46010000000,chemicals,basic materials,specialty chemicals,,https://www.sika.com,246,,,,,,
,,rosneft oil co pjsc,"moscow, russia",russia,,,,,,igor ivanovich sechin,52210000000,"oilgas, energy",energy,oil & gas integrated,,https://www.rosneft.ru,5,,,,,,
,,entergy corporation,"new orleans, la, united states",usa,,,,1913,"12,369",leo p denault,24470000000,"utilitycompanies, energy, electricity",utilities,utilitiesdiversified,10113000000,"https://www.entergy.com, https://en.wikipedia.org/wiki/entergy",116,,,,,,
,,ashmore group,,uk,,,,,,,1950000000,"assetmanagement, investment",financial services,,,,2,,,,,,
649,0.6744737,fortive corporation,"everett, wa, united states",usa,,,,2016,"18,000",james a lico,23490000000,,technology,scientific & technical instruments,7300000000,"https://www.fortive.com, https://www.facebook.com/fortivecorp/, https://www.twitter.com/fortivecorp, https://www.linkedin.com/company/fortive, https://en.wikipedia.org/wiki/fortive",66,,,,,,
,,cenergy corporation,"jackson, mi, united states",usa,,,,1886,"8,504",garrick j rochow,20730000000,"electricity, energy, utilitycompanies",utilities,utilitiesregulated electric,"us$6.680 billion (fiscal year ended december 31, 2020)","https://www.cmsenergy.com, https://en.wikipedia.org/wiki/cms energy",61,,,,,,
