name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type,Label
becton dickinson and company,,united states,,,,,,76980000000.0,,,healthcare,,,602
digital realty trust inc,,united states,,,,,,40640000000.0,,,real estate,,,603
schlumberger limited,,united states,,,,,,57630000000.0,,,energy,,,604
weyerhaeuser company,,united states,,,,,,29420000000.0,,,real estate,,,605
baker hughes company,,united states,,,,,,38390000000.0,,,energy,,,606
hilton worldwide holdings inc,,united states,,,,,,42390000000.0,,,consumer discretionary,,,607
royal caribbean cruises ltd,,united states,,,,,,20810000000.0,,,consumer discretionary,,,608
southern copper corporation,,united states,,,,,,59460000000.0,,,basic materials,,,609
cheniere energy partners lp,,united states,,,,,,26680000000.0,,,energy,,,610
bank of america corporation,,united states,,,,,,350840000000.0,,,financials,,,611
lockheed martin corporation,,united states,,,,,,124980000000.0,,,industrials,,,612
catalent inc,,united states,,,,,,18240000000.0,,,healthcare,,,613
ubiquiti inc,,united states,,,,,,18250000000.0,,,technology,,,614
teradyne inc,,united states,,,,,,19850000000.0,,,technology,,,615
verisign inc,,united states,,,,,,24810000000.0,,,technology,,,616
kkr & co inc,,united states,,,,,,33490000000.0,,,financials,,,617
doordash inc,,united states,,,,,,36740000000.0,,,communication services,,,618
illumina inc,,united states,,,,,,49910000000.0,,,healthcare,,,619
synopsys inc,,united states,,,,,,50180000000.0,,,technology,,,620
fortinet inc,,united states,,,,,,53860000000.0,,,technology,,,621
broadcom inc,,united states,,,,,,265269999999.0,,,technology,,,622
autozone inc,,united states,,,,,,44390000000.0,,,consumer discretionary,,,623
autodesk inc,,united states,,,,,,47690000000.0,,,technology,,,624
prologis inc,,united states,,,,,,121200000000.0,,,real estate,,,625
carvana co,,united states,,,,,,20330000000.0,,,consumer discretionary,,,626
halliburton company,,united states,,,,,,33950000000.0,,,energy,,,627
salesforcecom inc,,united states,,,,,,193800000000.0,,,technology,,,628
northern trust corporation,,united states,,,,,,24420000000.0,,,financials,,,629
otis worldwide corporation,,united states,,,,,,33090000000.0,,,industrials,,,630
parker-hannifin corporation,,united states,,,,,,37050000000.0,,,industrials,,,631
dollar general corporation,,united states,,,,,,54300000000.0,,,consumer staples,,,632
t rowe price group inc,,united states,,,,,,34009999999.0,,,financials,,,633
martin marietta materials inc,,united states,,,,,,23940000000.0,,,basic materials,,,634
applovin corp,,united states,,,,,,20860000000.0,,,technology,,,635
realty income corporation,,united states,,,,,,26180000000.0,,,real estate,,,636
valero energy corporation,,united states,,,,,,41270000000.0,,,energy,,,637
kimberly-clark corporation,,united states,,,,,,43210000000.0,,,consumer staples,,,638
dte energy company,,united states,,,,,,26410000000.0,,,utilities,,,639
avantor inc,,united states,,,,,,19480000000.0,,,basic materials,,,640
hologic inc,,united states,,,,,,19750000000.0,,,healthcare,,,641
hubspot inc,,united states,,,,,,20930000000.0,,,technology,,,642
workday inc,,united states,,,,,,58700000000.0,,,technology,,,643
gartner inc,,united states,,,,,,25030000000.0,,,technology,,,644
mongodb inc,,united states,,,,,,25730000000.0,,,technology,,,645
equifax inc,,united states,,,,,,28240000000.0,,,industrials,,,646
cummins inc,,united states,,,,,,29940000000.0,,,industrials,,,647
zscaler inc,,united states,,,,,,31030000000.0,,,technology,,,648
corteva inc,,united states,,,,,,42660000000.0,,,basic materials,,,649
paychex inc,,united states,,,,,,49230000000.0,,,industrials,,,650
pepsico inc,,united states,,,,,,241050000000.0,,,consumer staples,,,651
metlife inc,,united states,,,,,,62690000000.0,,,financials,,,652
moderna inc,,united states,,,,,,70810000000.0,,,healthcare,,,653
netflix inc,,united states,,,,,,163190000000.0,,,communication services,,,654
datadog inc,,united states,,,,,,45130000000.0,,,technology,,,655
walmart inc,,united states,,,,,,429050000000.0,,,consumer staples,,,656
lyondellbasell industries nv,,united states,,,,,,35960000000.0,,,basic materials,,,657
wells fargo & company,,united states,,,,,,200010000000.0,,,financials,,,658
cf industries holdings inc,,united states,,,,,,21950000000.0,,,basic materials,,,659
zimmer biomet holdings inc,,united states,,,,,,26940000000.0,,,healthcare,,,660
sse plc,,united kingdom,,,,,,23730000000.0,,,utilities,,,661
aon plc,,united kingdom,,,,,,73330000000.0,,,financials,,,662
marathon oil corporation,,united states,,,,,,19540000000.0,,,energy,,,663
hormel foods corporation,,united states,,,,,,28520000000.0,,,consumer staples,,,664
devon energy corporation,,united states,,,,,,41820000000.0,,,energy,,,665
lam research corporation,,united states,,,,,,77600000000.0,,,technology,,,666
saudi electricity company,,saudi arabia,,,,,,29420000000.0,,,utilities,,,667
best buy co inc,,united states,,,,,,23930000000.0,,,consumer discretionary,,,668
exxon mobil corporation,,united states,,,,,,348720000000.0,,,energy,,,669
duke energy corporation,,united states,,,,,,88760000000.0,,,utilities,,,670
american tower corporation reit,,united states,,,,,,115110000000.0,,,real estate,,,671
netapp inc,,united states,,,,,,18760000000.0,,,technology,,,672
humana inc,,united states,,,,,,56550000000.0,,,healthcare,,,673
ventas inc,,united states,,,,,,23810000000.0,,,real estate,,,674
splunk inc,,united states,,,,,,23840000000.0,,,technology,,,675
seagen inc,,united states,,,,,,24870000000.0,,,healthcare,,,676
twilio inc,,united states,,,,,,26090000000.0,,,communication services,,,677
nasdaq inc,,united states,,,,,,29520000000.0,,,financials,,,678
copart inc,,united states,,,,,,29580000000.0,,,industrials,,,679
ametek inc,,united states,,,,,,31150000000.0,,,industrials,,,680
biogen inc,,united states,,,,,,31350000000.0,,,healthcare,,,681
paccar inc,,united states,,,,,,32040000000.0,,,industrials,,,682
resmed inc,,united states,,,,,,35440000000.0,,,healthcare,,,683
ecolab inc,,united states,,,,,,50290000000.0,,,basic materials,,,684
fiserv inc,,united states,,,,,,68680000000.0,,,technology,,,685
intuit inc,,united states,,,,,,126770000000.0,,,technology,,,686
abbvie inc,,united states,,,,,,294270000000.0,,,healthcare,,,687
