Link Score,name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type,Label
0.71434385,truist financial,,usa,,,,,,63110000000,,,,,,601
0.71434385,becton dickinson,,usa,,,,,,72720000000,,,,,,602
0.7137581,digital realty,,usa,,,,,,31140000000,,,,,,603
0.71295154,schlumberger,,usa,,,,,,82640000000,,,,,,604
0.71295154,weyerhaeuser,,usa,,,,,,23410000000,,,,,,605
0.71295154,baker hughes,,usa,,,,,,31890000000,,,,,,606
0.710788,hilton worldwide,,usa,,,,,,37020000000,,,,,,607
0.71026605,royal caribbean,,usa,,,,,,16190000000,,,,,,608
0.71026605,southern copper,,usa,,,,,,59570000000,,,,,,609
0.71026605,cheniere energy,,usa,,,,,,38910000000,,,,,,610
0.71026605,bank of america,,usa,,,,,,281720000000,,,,,,611
0.71026605,lockheed martin,,usa,,,,,,117880000000,,,,,,612
0.7098742,catalent,,usa,,,,,,8830000000,,,,,,613
0.7098742,ubiquiti,,usa,,,,,,17660000000,,,,,,614
0.7098742,teradyne,,usa,,,,,,15170000000,,,,,,615
0.7098742,verisign,,usa,,,,,,22670000000,,,,,,616
0.7098742,kkr & co,,usa,,,,,,60600000000,,,,,,617
0.7098742,doordash,,usa,,,,,,20310000000,,,,,,618
0.7098742,illumina,,usa,,,,,,31630000000,,,,,,619
0.7098742,synopsys,,usa,,,,,,50750000000,,,,,,620
0.7098742,fortinet,,usa,,,,,,38170000000,,,,,,621
0.7098742,broadcom,,usa,,,,,,241950000000,,,,,,622
0.7098742,autozone,,usa,,,,,,44450000000,,,,,,623
0.7098742,autodesk,,usa,,,,,,43280000000,,,,,,624
0.7098742,prologis,,usa,,,,,,112520000000,,,,,,625
0.70841926,carvana,,usa,,,,,,1240000000,,,,,,626
0.7071225,halliburton,,usa,,,,,,38730000000,,,,,,627
0.7058946,salesforce,,usa,,,,,,149500000000,,,,,,628
0.70574087,northern trust,,usa,,,,,,20460000000,,,,,,629
0.70574087,otis worldwide,,usa,,,,,,34680000000,,,,,,630
0.70574087,parker-hannifin,,usa,,,,,,40760000000,,,,,,631
0.70574087,dollar general,,usa,,,,,,52200000000,,,,,,632
0.70353884,t rowe price,,usa,,,,,,26480000000,,,,,,633
0.7030928,martin marietta,,usa,,,,,,22060000000,,,,,,634
0.7023698,applovin,,usa,,,,,,4010000000,,,,,,635
0.70069176,realty income,,usa,,,,,,43700000000,,,,,,636
0.70069176,valero energy,,usa,,,,,,52480000000,,,,,,637
0.70069176,kimberly-clark,,usa,,,,,,46170000000,,,,,,638
0.7003765,dte energy,,usa,,,,,,22840000000,,,,,,639
0.69971037,avantor,,usa,,,,,,14890000000,,,,,,640
0.69971037,hologic,,usa,,,,,,19650000000,,,,,,641
0.69971037,hubspot,,usa,,,,,,15330000000,,,,,,642
0.69971037,workday,,usa,,,,,,42950000000,,,,,,643
0.69971037,gartner,,usa,,,,,,26550000000,,,,,,644
0.69971037,mongodb,,usa,,,,,,13680000000,,,,,,645
0.69971037,equifax,,usa,,,,,,26570000000,,,,,,646
0.69971037,cummins,,usa,,,,,,35620000000,,,,,,647
0.69971037,zscaler,,usa,,,,,,15470000000,,,,,,648
0.69971037,corteva,,usa,,,,,,44810000000,,,,,,649
0.69971037,paychex,,usa,,,,,,43360000000,,,,,,650
0.69971037,pepsico,,usa,,,,,,241420000000,,,,,,651
0.69971037,metlife,,usa,,,,,,56420000000,,,,,,652
0.69971037,moderna,,usa,,,,,,73760000000,,,,,,653
0.69971037,netflix,,usa,,,,,,148110000000,,,,,,654
