name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
apple,,usa,,,,,,2142999999999,,,,,,,,
saudi aramco,,s. arabia,,,,,,1878000000000,,,,,,,,
microsoft,,usa,,,,,,1783000000000,,,,,,,,
alphabet google,,usa,,,,,,1195000000000,,,,,,,,
amazon,,usa,,,,,,1000000000000,,,,,,,,
berkshire hathaway,,usa,,,,,,700570000000,,,,,,,,
visa,,usa,,,,,,472350000000,,,,,,,,
exxon mobil,,usa,,,,,,465980000000,,,,,,,,
tencent,,china,,,,,,458310000000,,,,,,,,
unitedhealth,,usa,,,,,,457420000000,,,,,,,,
johnson & johnson,,usa,,,,,,453420000000,,,,,,,,
tsmc,,taiwan,,,,,,450140000000,,,,,,,,
lvmh,,france,,,,,,427450000000,,,,,,,,
nvidia,,usa,,,,,,421120000000,,,,,,,,
jpmorgan chase,,usa,,,,,,419470000000,,,,,,,,
walmart,,usa,,,,,,391810000000,,,,,,,,
tesla,,usa,,,,,,386500000000,,,,,,,,
mastercard,,usa,,,,,,361040000000,,,,,,,,
meta platforfacebook,,usa,,,,,,359180000000,,,,,,,,
kweichow moutai,,china,,,,,,358620000000,,,,,,,,
procter & gamble,,usa,,,,,,357540000000,,,,,,,,
eli lilly,,usa,,,,,,343600000000,,,,,,,,
chevron,,usa,,,,,,343330000000,,,,,,,,
nestle,,switzerland,,,,,,339240000000,,,,,,,,
home depot,,usa,,,,,,337560000000,,,,,,,,
samsung,,s. korea,,,,,,331690000000,,,,,,,,
alibaba,,china,,,,,,310680000000,,,,,,,,
novo nordisk,,denmark,,,,,,306650000000,,,,,,,,
merck,,usa,,,,,,284590000000,,,,,,,,
bank of america,,usa,,,,,,281720000000,,,,,,,,
abbvie,,usa,,,,,,271630000000,,,,,,,,
pfizer,,usa,,,,,,268589999999,,,,,,,,
asml,,netherlands,,,,,,265940000000,,,,,,,,
coca-cola,,usa,,,,,,265649999999,,,,,,,,
roche,,switzerland,,,,,,259529999999,,,,,,,,
international holding company,,uae,,,,,,242290000000,,,,,,,,
broadcom,,usa,,,,,,241950000000,,,,,,,,
pepsico,,usa,,,,,,241420000000,,,,,,,,
oracle,,usa,,,,,,240500000000,,,,,,,,
thermo fisher scientific,,usa,,,,,,228970000000,,,,,,,,
astrazeneca,,uk,,,,,,222250000000,,,,,,,,
icbc,,china,,,,,,221130000000,,,,,,,,
l'oreal,,france,,,,,,219770000000,,,,,,,,
costco,,usa,,,,,,215310000000,,,,,,,,
shell,,uk,,,,,,208240000000,,,,,,,,
reliance industries,,india,,,,,,203520000000,,,,,,,,
cisco,,usa,,,,,,200800000000,,,,,,,,
nike,,usa,,,,,,199780000000,,,,,,,,
danaher,,usa,,,,,,199180000000,,,,,,,,
abbott laboratories,,usa,,,,,,197910000000,,,,,,,,
mcdonald,,usa,,,,,,196940000000,,,,,,,,
novartis,,switzerland,,,,,,195870000000,,,,,,,,
toyota,,japan,,,,,,191420000000,,,,,,,,
t-mobile us,,usa,,,,,,186220000000,,,,,,,,
hermes,,france,,,,,,184590000000,,,,,,,,
walt disney,,usa,,,,,,181260000000,,,,,,,,
accenture,,ireland,,,,,,177810000000,,,,,,,,
verizon,,usa,,,,,,175800000000,,,,,,,,
bhp group,,australia,,,,,,175310000000,,,,,,,,
wells fargo,,usa,,,,,,168490000000,,,,,,,,
comcast,,usa,,,,,,168310000000,,,,,,,,
nextera energy,,usa,,,,,,168270000000,,,,,,,,
