name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
shell plc,,united kingdom,,,,,,,207680000000,,energy,oil & gas integrated,,,,,,,,,
astrazeneca plc,,united kingdom,,,,,,,201750000000,,healthcare,drug manufacturersgeneral,,,,,,,,,
linde plc,,united kingdom,,,,,,,166070000000,,basic materials,specialty chemicals,,,,,,,,,
hsbc holdings plc,,united kingdom,,,,,,,140150000000,,financials,banks,,,,,,,,,
rio tinto group,,united kingdom,,,,,,,125840000000,,basic materials,other industrial metals & mining,,,,,,,,,
unilever plc,,united kingdom,,,,,,,117840000000,,consumer staples,household & personal products,,,,,,,,,
diageo plc,,united kingdom,,,,,,,115580000000,,consumer staples,beverageswineries & distilleries,,,,,,,,,
glaxosmithkline plc,,united kingdom,,,,,,,109980000000,,healthcare,drug manufacturersgeneral,,,,,,,,,
british american tobacco plc,,united kingdom,,,,,,,101440000000,,consumer staples,tobacco,,,,,,,,,
bp plc,,united kingdom,,,,,,,96240000000,,energy,oil & gas integrated,,,,,,,,,
aon plc,,united kingdom,,,,,,,73330000000,,financials,insurance brokers,,,,,,,,,
anglo american plc,,united kingdom,,,,,,,71480000000,,basic materials,other industrial metals & mining,,,,,,,,,
reckitt benckiser group plc,,united kingdom,,,,,,,"(march 13, 2021)",,consumer staples,household & personal products,,,,,,,,,
relx plc,,united kingdom,,,,,,,58530000000,,communication services,publishing,,,,,,,,,
ihs markit ltd,,united kingdom,,,,,,,"(jan. 1, 2022)",,industrials,consulting services,,,,,,,,,
national grid plc,,united kingdom,,,,,,,55880000000,,utilities,utilitiesdiversified,,,,,,,,,
london stock exchange group plc,,united kingdom,,,,,,,53330000000,,financials,financial data & stock exchanges,,,,,,,,,
general accident plc,,united kingdom,,,,,,,51430000000,,financials,insuranceproperty & casualty,,,,,,,,,
vodafone group plc,,united kingdom,,,,,,,45740000000,,communication services,telecom services,,,,,,,,,
lloyds banking group plc,,united kingdom,,,,,,,43700000000,,financials,banks,,,,,,,,,
prudential plc,,united kingdom,,,,,,,39000000000,,financials,insurancelife,,,,,,,,,
compass group plc,,united kingdom,,,,,,,37730000000,,consumer discretionary,restaurants,,,,,,,,,
natwest group plc,,united kingdom,,,,,,,32720000000,,financials,banks,,,,,,,,,
barclays plc,,united kingdom,,,,,,,32189999999,,financials,banks,,,,,,,,,
ferguson plc,,united kingdom,,,,,,,30520000000,,industrials,industrial distribution,,,,,,,,,
bae systeplc,,united kingdom,,,,,,,30510000000,,industrials,aerospace & defense,,,,,,,,,
willis towers watson plc,,united kingdom,,,,,,,"(jan. 1, 2022)",,financials,insurance brokers,,,,,,,,,
ashtead group plc,,united kingdom,,,,,,,28280000000,,industrials,rental & leasing services,,,,,,,,,
tesco plc,,united kingdom,,,,,,,28110000000,,consumer staples,grocery stores,,,,,,,,,
bt group plc,,united kingdom,,,,,,,24090000000,,communication services,telecom services,,,,,,,,,
sse plc,,united kingdom,,,,,,,23730000000,,utilities,utilitiesdiversified,,,,,,,,,
coca-cola europacific partners plc,,united kingdom,,,,,,,22530000000,,consumer staples,beveragesnon-alcoholic,,,,,,,,,
cnh industrial nv,,united kingdom,,,,,,,21930000000,,industrials,farm & heavy construction machinery,,,,,,,,,
legal & general group plc,,united kingdom,,,,,,,21340000000,,financials,insurancelife,,,,,,,,,
segro plc,,united kingdom,,,,,,,21080000000,,real estate,reitindustrial,,,,,,,,,
standard chartered plc,,united kingdom,,,,,,,20780000000,,financials,banks,,,,,,,,,
imperial brands plc,,united kingdom,,,,,,,20140000000,,consumer staples,tobacco,,,,,,,,,
aviva plc,,united kingdom,,,,,,,19820000000,,financials,insurancediversified,,,,,,,,,
croda international plc,,united kingdom,,,,,,,"(jan. 1, 2022)",,basic materials,specialty chemicals,,,,,,,,,
scottish mortgage investment trust plc,,united kingdom,,,,,,,18780000000,,financials,asset management,,,,,,,,,
antofagasta plc,,united kingdom,,,,,,,"(jan. 1, 2022)",,basic materials,copper,,,,,,,,,
3i group plc,,united kingdom,,,,,,,17600000000,,financials,asset management,,,,,,,,,
associated british foods plc,,united kingdom,,,,,,,17490000000,,consumer staples,packaged foods,,,,,,,,,
wpp plc,,united kingdom,,,,,,,15760000000,,communication services,advertising agencies,,,,,,,,,
smith & nephew plc,,united kingdom,,,,,,,14090000000,,healthcare,medical devices,,,,,,,,,
liberty global plc,,united kingdom,,,,,,,13610000000,,communication services,entertainment,,,,,,,,,
bunzl plc,,united kingdom,,,,,,,13070000000,,consumer staples,food distribution,,,,,,,,,
rentokil initial plc,,united kingdom,,,,,,,12780000000,,industrials,specialty business services,,,,,,,,,
intercontinental hotels group plc,,united kingdom,,,,,,,12200000000,,consumer discretionary,lodging,,,,,,,,,
evraz plc,,united kingdom,,,,,,,"(jan. 1, 2022)",,basic materials,steel,,,,,,,,,
spirax-sarco engineering plc,,united kingdom,,,,,,,12140000000,,industrials,specialty industrial machinery,,,,,,,,,
informa plc,,united kingdom,,,,,,,11800000000,,communication services,publishing,,,,,,,,,
ocado group plc,,united kingdom,,,,,,,11540000000,,consumer staples,grocery stores,,,,,,,,,
intertek group plc,,united kingdom,,,,,,,11030000000,,industrials,consulting services,,,,,,,,,
rolls-royce holdings plc,,united kingdom,,,,,,,10970000000,,industrials,aerospace & defense,,,,,,,,,
schroders plc,,united kingdom,,,,,,,10480000000,,financials,asset management,,,,,,,,,
next plc,,united kingdom,,,,,,,10440000000,,consumer discretionary,apparel retail,,,,,,,,,
united utilities group plc,,united kingdom,,,,,,,10300000000,,utilities,utilitiesregulated water,,,,,,,,,
st james's place plc,,united kingdom,,,,,,,10210000000,,financials,financial conglomerates,,,,,,,,,
severn trent plc,,united kingdom,,,,,,,10120000000,,utilities,utilitiesregulated water,,,,,,,,,
jd sports fashion plc,,united kingdom,,,,,,,10000000000,,consumer discretionary,specialty retail,,,,,,,,,
admiral group plc,,united kingdom,,,,,,,9960000000,,financials,insuranceproperty & casualty,,,,,,,,,
the sage group plc,,united kingdom,,,,,,,9830000000,,technology,softwareapplication,,,,,,,,,
wm morrison supermarkets plc,,united kingdom,,,,,,,"(oct. 1, 2021)",,consumer staples,grocery stores,,,,,,,,,
aveva group plc,,united kingdom,,,,,,,9600000000,,technology,softwareapplication,,,,,,,,,
mondi plc,,united kingdom,,,,,,,9510000000,,basic materials,paper & paper products,,,,,,,,,
standard life aberdeen plc,,united kingdom,,,,,,,"(march 13, 2021)",,financials,asset management,,,,,,,,,
pentair plc,,united kingdom,,,,,,,9320000000,,industrials,specialty industrial machinery,,,,,,,,,
persimmon plc,,united kingdom,,,,,,,9070000000,,consumer discretionary,residential construction,,,,,,,,,
burberry group plc,,united kingdom,,,,,,,8900000000,,consumer discretionary,luxury goods,,,,,,,,,
novocure limited,,united kingdom,,,,,,,8539999999,,healthcare,medical instruments & supplies,,,,,,,,,
endava plc,,united kingdom,,,,,,,8100000000,,technology,softwareinfrastructure,,,,,,,,,
phoenix group holdings plc,,united kingdom,,,,,,,8100000000,,financials,insurancelife,,,,,,,,,
auto trader group plc,,united kingdom,,,,,,,8029999999,,communication services,internet content & information,,,,,,,,,
nepi rockcastle plc,,united kingdom,,,,,,,7940000000,,real estate,real estatediversified,,,,,,,,,
melrose industries plc,,united kingdom,,,,,,,7930000000,,industrials,specialty industrial machinery,,,,,,,,,
pershing square holdings ord,,united kingdom,,,,,,,7880000000,,financials,asset management,,,,,,,,,
capri holdings limited,,united kingdom,,,,,,,7790000000,,consumer discretionary,apparel manufacturing,,,,,,,,,
meggitt plc,,united kingdom,,,,,,,7790000000,,industrials,aerospace & defense,,,,,,,,,
land securities group plc,,united kingdom,,,,,,,7760000000,,real estate,reitdiversified,,,,,,,,,
m&g plc,,united kingdom,,,,,,,7590000000,,financials,asset management,,,,,,,,,
smiths group plc,,united kingdom,,,,,,,7570000000,,industrials,specialty industrial machinery,,,,,,,,,
whitbread plc,,united kingdom,,,,,,,7550000000,,consumer discretionary,restaurants,,,,,,,,,
pearson plc,,united kingdom,,,,,,,7520000000,,communication services,publishing,,,,,,,,,
j sainsbury plc,,united kingdom,,,,,,,7420000000,,consumer staples,grocery stores,,,,,,,,,
allfunds group plc,,united kingdom,,,,,,,7280000000,,financials,asset management,,,,,,,,,
kingfisher plc,,united kingdom,,,,,,,7100000000,,consumer discretionary,home improvement retail,,,,,,,,,
rightmove plc,,united kingdom,,,,,,,7090000000,,communication services,internet content & information,,,,,,,,,
airtel africa plc,,united kingdom,,,,,,,7020000000,,communication services,telecom services,,,,,,,,,
barratt developments plc,,united kingdom,,,,,,,7020000000,,consumer discretionary,residential construction,,,,,,,,,
intermediate capital group plc,,united kingdom,,,,,,,6770000000,,financials,asset management,,,,,,,,,
electrocomponents plc,,united kingdom,,,,,,,6640000000,,industrials,industrial distribution,,,,,,,,,
british land company plc,,united kingdom,,,,,,,6510000000,,real estate,reitdiversified,,,,,,,,,
endeavour mining corporation,,united kingdom,,,,,,,6350000000,,basic materials,gold,,,,,,,,,
taylor wimpey plc,,united kingdom,,,,,,,6250000000,,consumer discretionary,residential construction,,,,,,,,,
hargreaves lansdown plc,,united kingdom,,,,,,,6250000000,,financials,asset management,,,,,,,,,
the unite group plc,,united kingdom,,,,,,,6120000000,,real estate,reitdiversified,,,,,,,,,
janus henderson group plc,,united kingdom,,,,,,,6100000000,,financials,asset management,,,,,,,,,
the berkeley group holdings plc,,united kingdom,,,,,,,6070000000,,consumer discretionary,residential construction,,,,,,,,,
f&c investment trust plc,,united kingdom,,,,,,,6060000000,,financials,asset management,,,,,,,,,
pepco group nv,,united kingdom,,,,,,,6030000000,,consumer staples,discount stores,,,,,,,,,
howden joinery group plc,,united kingdom,,,,,,,5980000000,,consumer discretionary,"furnishings, fixtures & appliances",,,,,,,,,
nvent electric plc,,united kingdom,,,,,,,5970000000,,industrials,electrical equipment & parts,,,,,,,,,
investec plc,,united kingdom,,,,,,,"(jan. 1, 2022)",,financials,capital markets,,,,,,,,,
pennon group plc,,united kingdom,,,,,,,5910000000,,utilities,utilitiesregulated water,,,,,,,,,
ds smith plc,,united kingdom,,,,,,,5780000000,,consumer discretionary,packaging & containers,,,,,,,,,
the weir group plc,,united kingdom,,,,,,,5740000000,,industrials,specialty industrial machinery,,,,,,,,,
dechra pharmaceuticals plc,,united kingdom,,,,,,,5720000000,,healthcare,drug manufacturersgeneral,,,,,,,,,
sareum holdings plc,,united kingdom,,,,,,,5600000000,,healthcare,biotechnology,,,,,,,,,
convatec group plc,,united kingdom,,,,,,,5490000000,,healthcare,medical instruments & supplies,,,,,,,,,
tritax big box reit plc,,united kingdom,,,,,,,5480000000,,real estate,reitretail,,,,,,,,,
farfetch limited,,united kingdom,,,,,,,5290000000,,consumer discretionary,internet retail,,,,,,,,,
rit capital partners,,united kingdom,,,,,,,5280000000,,financials,asset management,,,,,,,,,
mimecast limited,,united kingdom,,,,,,,5120000000,,technology,softwareinfrastructure,,,,,,,,,
international game technology plc,,united kingdom,,,,,,,5060000000,,consumer discretionary,gambling,,,,,,,,,
direct line insurance group plc,,united kingdom,,,,,,,4920000000,,financials,insurancediversified,,,,,,,,,
derwent london plc,,united kingdom,,,,,,,4820000000,,real estate,reitoffice,,,,,,,,,
imi plc,,united kingdom,,,,,,,4790000000,,industrials,specialty industrial machinery,,,,,,,,,
johnson matthey plc,,united kingdom,,,,,,,4790000000,,basic materials,specialty chemicals,,,,,,,,,
hicl infrastructure plc,,united kingdom,,,,,,,4590000000,,financials,asset management,,,,,,,,,
wizz air holdings plc,,united kingdom,,,,,,,4520000000,,industrials,airlines,,,,,,,,,
atotech ltd,,united kingdom,,,,,,,4480000000,,technology,electronic components,,,,,,,,,
computacenter plc,,united kingdom,,,,,,,4440000000,,technology,information technology services,,,,,,,,,
frasers group plc,,united kingdom,,,,,,,4330000000,,consumer discretionary,specialty retail,,,,,,,,,
man group plc,,united kingdom,,,,,,,4330000000,,financials,asset management,,,,,,,,,
royal mail plc,,united kingdom,,,,,,,4310000000,,industrials,integrated freight & logistics,,,,,,,,,
softcat plc,,united kingdom,,,,,,,4310000000,,technology,information technology services,,,,,,,,,
itv plc,,united kingdom,,,,,,,4300000000,,communication services,broadcasting,,,,,,,,,
diploma plc,,united kingdom,,,,,,,4250000000,,industrials,industrial distribution,,,,,,,,,
rotork plc,,united kingdom,,,,,,,"(jan. 1, 2022)",,industrials,specialty industrial machinery,,,,,,,,,
abcam plc,,united kingdom,,,,,,,4210000000,,healthcare,biotechnology,,,,,,,,,
future plc,,united kingdom,,,,,,,4200000000,,communication services,publishing,,,,,,,,,
darktrace plc,,united kingdom,,,,,,,4130000000,,technology,softwareinfrastructure,,,,,,,,,
3i infrastructure plc,,united kingdom,,,,,,,4110000000,,financials,asset management,,,,,,,,,
drax group plc,,united kingdom,,,,,,,4110000000,,utilities,utilitiesrenewable,,,,,,,,,
ig group holdings plc,,united kingdom,,,,,,,4040000000,,financials,capital markets,,,,,,,,,
polar capital technology trust,,united kingdom,,,,,,,4040000000,,financials,asset management,,,,,,,,,
nomad foods limited,,united kingdom,,,,,,,4040000000,,consumer staples,packaged foods,,,,,,,,,
tate & lyle plc,,united kingdom,,,,,,,4010000000,,consumer staples,packaged foods,,,,,,,,,
livanova plc,,united kingdom,,,,,,,3990000000,,healthcare,medical devices,,,,,,,,,
william hill plc,,united kingdom,,,,,,,"(march 13, 2021)",,consumer discretionary,gambling,,,,,,,,,
bellway plc,,united kingdom,,,,,,,3950000000,,consumer discretionary,residential construction,,,,,,,,,
alliance trust plc,,united kingdom,,,,,,,3930000000,,financials,asset management,,,,,,,,,
greencoat uk wind plc,,united kingdom,,,,,,,3920000000,,financials,asset management,,,,,,,,,
atlantica sustainable infrastructure plc,,united kingdom,,,,,,,3870000000,,utilities,utilitiesrenewable,,,,,,,,,
safestore holdings plc,,united kingdom,,,,,,,3760000000,,real estate,reitindustrial,,,,,,,,,
homeserve plc,,united kingdom,,,,,,,3720000000,,industrials,specialty business services,,,,,,,,,
the renewables infrastructure group limited,,united kingdom,,,,,,,3710000000,,financials,asset management,,,,,,,,,
international public partnerships ld,,united kingdom,,,,,,,3700000000,,financials,asset management,,,,,,,,,
renishaw plc,,united kingdom,,,,,,,3660000000,,technology,scientific & technical instruments,,,,,,,,,
travis perkins plc,,united kingdom,,,,,,,3630000000,,industrials,building products & equipment,,,,,,,,,
technipfmc plc,,united kingdom,,,,,,,3580000000,,energy,oil & gas equipment & services,,,,,,,,,
watches of switzerland group plc,,united kingdom,,,,,,,3570000000,,consumer discretionary,luxury goods,,,,,,,,,
big yellow group plc,,united kingdom,,,,,,,3570000000,,real estate,reitindustrial,,,,,,,,,
beazley plc,,united kingdom,,,,,,,3450000000,,financials,insuranceproperty & casualty,,,,,,,,,
smithson investment trust plc,,united kingdom,,,,,,,3430000000,,financials,asset management,,,,,,,,,
monks investment trust,,united kingdom,,,,,,,3420000000,,financials,asset management,,,,,,,,,
inchcape plc,,united kingdom,,,,,,,3410000000,,consumer discretionary,auto & truck dealerships,,,,,,,,,
jet2 plc,,united kingdom,,,,,,,3350000000,,consumer discretionary,travel services,,,,,,,,,
osb group plc,,united kingdom,,,,,,,3350000000,,financials,mortgage finance,,,,,,,,,
greggs plc,,united kingdom,,,,,,,3330000000,,consumer staples,grocery stores,,,,,,,,,
easyjet plc,,united kingdom,,,,,,,3330000000,,industrials,airlines,,,,,,,,,
virgin money uk plc,,united kingdom,,,,,,,3310000000,,financials,banks,,,,,,,,,
londonmetric property plc,,united kingdom,,,,,,,3310000000,,real estate,reitdiversified,,,,,,,,,
martens plc,,united kingdom,,,,,,,3170000000,,consumer discretionary,footwear & accessories,,,,,,,,,
quilter plc,,united kingdom,,,,,,,3160000000,,financials,asset management,,,,,,,,,
games workshop group plc,,united kingdom,,,,,,,3140000000,,consumer discretionary,leisure,,,,,,,,,
shaftesbury plc,,united kingdom,,,,,,,3100000000,,real estate,reitretail,,,,,,,,,
ultra electronics holdings plc,,united kingdom,,,,,,,3100000000,,industrials,aerospace & defense,,,,,,,,,
britvic plc,,united kingdom,,,,,,,2930000000,,consumer staples,beveragesnon-alcoholic,,,,,,,,,
dunelm group plc,,united kingdom,,,,,,,2910000000,,consumer discretionary,specialty retail,,,,,,,,,
energean plc,,united kingdom,,,,,,,2830000000,,energy,oil & gas e&p,,,,,,,,,
worldwide healthcare,,united kingdom,,,,,,,2770000000,,financials,asset management,,,,,,,,,
fevertree drinks plc,,united kingdom,,,,,,,2770000000,,consumer staples,beveragesnon-alcoholic,,,,,,,,,
vistry group plc,,united kingdom,,,,,,,2760000000,,consumer discretionary,residential construction,,,,,,,,,
hays plc,,united kingdom,,,,,,,2690000000,,industrials,staffing & employment services,,,,,,,,,
grainger plc,,united kingdom,,,,,,,2680000000,,real estate,real estate services,,,,,,,,,
itm power plc,,united kingdom,,,,,,,2640000000,,technology,electronic components,,,,,,,,,
primary health properties plc,,united kingdom,,,,,,,2610000000,,real estate,reithealthcare facilities,,,,,,,,,
witan investment trust plc,,united kingdom,,,,,,,2600000000,,financials,asset management,,,,,,,,,
caledonia investments plc,,united kingdom,,,,,,,2590000000,,financials,asset management,,,,,,,,,
pershing square holdings ltd,,united kingdom,,,,,,,"(sept. 1, 2018)",,financials,asset management,,,,,,,,,
deliveroo plc,,united kingdom,,,,,,,2550000000,,consumer discretionary,internet retail,,,,,,,,,
cranswick plc,,united kingdom,,,,,,,2520000000,,consumer staples,packaged foods,,,,,,,,,
great portland estates plc,,united kingdom,,,,,,,"(jan. 1, 2022)",,real estate,reitoffice,,,,,,,,,
hgcapital trust plc,,united kingdom,,,,,,,2480000000,,financials,asset management,,,,,,,,,
zimplats holdings limited,,united kingdom,,,,,,,2480000000,,basic materials,other precious metals & mining,,,,,,,,,
wh smith plc,,united kingdom,,,,,,,2480000000,,consumer discretionary,specialty retail,,,,,,,,,
finsbury growth & income trust plc,,united kingdom,,,,,,,2460000000,,financials,asset management,,,,,,,,,
redrow plc,,united kingdom,,,,,,,2440000000,,consumer discretionary,residential construction,,,,,,,,,
playtech plc,,united kingdom,,,,,,,2440000000,,consumer discretionary,gambling,,,,,,,,,
close brothers group plc,,united kingdom,,,,,,,2430000000,,financials,capital markets,,,,,,,,,
pets at home group plc,,united kingdom,,,,,,,2370000000,,consumer discretionary,specialty retail,,,,,,,,,
ssp group plc,,united kingdom,,,,,,,2350000000,,consumer discretionary,restaurants,,,,,,,,,
assura plc,,united kingdom,,,,,,,2350000000,,real estate,reithealthcare facilities,,,,,,,,,
diversey holdings ltd,,united kingdom,,,,,,,2350000000,,consumer discretionary,personal services,,,,,,,,,
the city of london investment trust plc,,united kingdom,,,,,,,2340000000,,financials,asset management,,,,,,,,,
serco group plc,,united kingdom,,,,,,,2340000000,,industrials,specialty business services,,,,,,,,,
manchester united plc,,united kingdom,,,,,,,2330000000,,consumer discretionary,leisure,,,,,,,,,
domino's pizza group plc,,united kingdom,,,,,,,2320000000,,consumer discretionary,restaurants,,,,,,,,,
vivo energy plc,,united kingdom,,,,,,,2270000000,,energy,oil & gas refining & marketing,,,,,,,,,
qinetiq group plc,,united kingdom,,,,,,,2270000000,,industrials,aerospace & defense,,,,,,,,,
mercantile investment trust the plc,,united kingdom,,,,,,,2260000000,,financials,asset management,,,,,,,,,
sequoia economic infrastructure inc ord,,united kingdom,,,,,,,2240000000,,financials,asset management,,,,,,,,,
balfour beatty plc,,united kingdom,,,,,,,2240000000,,industrials,engineering & construction,,,,,,,,,
kainos group plc,,united kingdom,,,,,,,2220000000,,technology,softwareapplication,,,,,,,,,
aggreko plc,,united kingdom,,,,,,,"(march 13, 2021)",,industrials,rental & leasing services,,,,,,,,,
personal assets trust,,united kingdom,,,,,,,2180000000,,financials,asset management,,,,,,,,,
babcock international group plc,,united kingdom,,,,,,,2160000000,,industrials,engineering & construction,,,,,,,,,
ashmore group plc,,united kingdom,,,,,,,2140000000,,financials,asset management,,,,,,,,,
murray international trust plc,,united kingdom,,,,,,,2109999999,,financials,asset management,,,,,,,,,
pagegroup plc,,united kingdom,,,,,,,2109999999,,industrials,staffing & employment services,,,,,,,,,
harbourvest global private equity limited,,united kingdom,,,,,,,"(march 13, 2021)",,financials,asset management,,,,,,,,,
gamesys group plc,,united kingdom,,,,,,,"(march 13, 2021)",,consumer discretionary,gambling,,,,,,,,,
john laing group plc,,united kingdom,,,,,,,"(march 13, 2021)",,industrials,engineering & construction,,,,,,,,,
dixons carphone plc,,united kingdom,,,,,,,"(march 13, 2021)",,consumer discretionary,specialty retail,,,,,,,,,
