name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
shell plc,,united kingdom,,,,,,207680000000,,,energy,,
astrazeneca plc,,united kingdom,,,,,,201750000000,,,healthcare,,
linde plc,,united kingdom,,,,,,166070000000,,,basic materials,,
hsbc holdings plc,,united kingdom,,,,,,140150000000,,,financials,,
rio tinto group,,united kingdom,,,,,,125840000000,,,basic materials,,
unilever plc,,united kingdom,,,,,,117840000000,,,consumer staples,,
diageo plc,,united kingdom,,,,,,115580000000,,,consumer staples,,
glaxosmithkline plc,,united kingdom,,,,,,109980000000,,,healthcare,,
british american tobacco plc,,united kingdom,,,,,,101440000000,,,consumer staples,,
bp plc,,united kingdom,,,,,,96240000000,,,energy,,
aon plc,,united kingdom,,,,,,73330000000,,,financials,,
anglo american plc,,united kingdom,,,,,,71480000000,,,basic materials,,
reckitt benckiser group plc,,united kingdom,,,,,,"(march 13, 2021)",,,consumer staples,,
relx plc,,united kingdom,,,,,,58530000000,,,communication services,,
ihs markit ltd,,united kingdom,,,,,,"(jan. 1, 2022)",,,industrials,,
national grid plc,,united kingdom,,,,,,55880000000,,,utilities,,
london stock exchange group plc,,united kingdom,,,,,,53330000000,,,financials,,
general accident plc,,united kingdom,,,,,,51430000000,,,financials,,
vodafone group plc,,united kingdom,,,,,,45740000000,,,communication services,,
lloyds banking group plc,,united kingdom,,,,,,43700000000,,,financials,,
prudential plc,,united kingdom,,,,,,39000000000,,,financials,,
compass group plc,,united kingdom,,,,,,37730000000,,,consumer discretionary,,
natwest group plc,,united kingdom,,,,,,32720000000,,,financials,,
barclays plc,,united kingdom,,,,,,32189999999,,,financials,,
ferguson plc,,united kingdom,,,,,,30520000000,,,industrials,,
bae systeplc,,united kingdom,,,,,,30510000000,,,industrials,,
willis towers watson plc,,united kingdom,,,,,,"(jan. 1, 2022)",,,financials,,
ashtead group plc,,united kingdom,,,,,,28280000000,,,industrials,,
tesco plc,,united kingdom,,,,,,28110000000,,,consumer staples,,
bt group plc,,united kingdom,,,,,,24090000000,,,communication services,,
sse plc,,united kingdom,,,,,,23730000000,,,utilities,,
coca-cola europacific partners plc,,united kingdom,,,,,,22530000000,,,consumer staples,,
cnh industrial nv,,united kingdom,,,,,,21930000000,,,industrials,,
legal & general group plc,,united kingdom,,,,,,21340000000,,,financials,,
segro plc,,united kingdom,,,,,,21080000000,,,real estate,,
standard chartered plc,,united kingdom,,,,,,20780000000,,,financials,,
imperial brands plc,,united kingdom,,,,,,20140000000,,,consumer staples,,
aviva plc,,united kingdom,,,,,,19820000000,,,financials,,
croda international plc,,united kingdom,,,,,,"(jan. 1, 2022)",,,basic materials,,
scottish mortgage investment trust plc,,united kingdom,,,,,,18780000000,,,financials,,
antofagasta plc,,united kingdom,,,,,,"(jan. 1, 2022)",,,basic materials,,
3i group plc,,united kingdom,,,,,,17600000000,,,financials,,
associated british foods plc,,united kingdom,,,,,,17490000000,,,consumer staples,,
wpp plc,,united kingdom,,,,,,15760000000,,,communication services,,
smith & nephew plc,,united kingdom,,,,,,14090000000,,,healthcare,,
liberty global plc,,united kingdom,,,,,,13610000000,,,communication services,,
bunzl plc,,united kingdom,,,,,,13070000000,,,consumer staples,,
rentokil initial plc,,united kingdom,,,,,,12780000000,,,industrials,,
