name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
85c bakery cafe,taipei,,,2004  18 years ago  2004 ,,,,,,,,,
10or,taipei,,,2004  18 years ago  2004 ,,,,,,,,,
2u company,"lanham, maryland",,,2008  14 years ago  2008 ,,,,,,,,,
3i,london,,,1945  77 years ago  1945 ,,,,,,,,,
3m,london,,,"june 13, 1902  120 years ago  1902-06-13  in two harbors, minnesota, u.s.[1]",,,,,,,,,
7-eleven,london,,,1927  95 years ago   1927   as southland ice company ,,,,,,,,,
4f company,wieliczka,,,2007  15 years ago  2007 ,,,,,,,,,
ajinomoto,"ch  , tokyo",,,17 june 1917  105 years ago  1917-06-17   as s. suzuki & co. ltd. ,,,,,,,,,
abn amro,amsterdam,,,"september 21, 1991  31 years ago  september 21, 1991 ",,,,,,,,,
abbott laboratories,illinois,,,"1888  134 years ago  1888   as abbott alkaloidal company  in ravenswood, chicago",,,,,,,,,
abiomed,"danvers, massachusetts",,,1981  41 years ago  1981 ,,,,,,,,,
abbvie,"north chicago, illinois",,,2013  9 years ago  2013 ,,,,,,,,,
accenture,dublin,,,1989  33 years ago  1989 ,,,,,,,,,
anz bank,collins street,,,1 october 1970  52 years ago  1970-10-01 ,,,,,,,,,
acer inc,collins street,,,1 august 1976  46 years ago  1976-08-01 ,,,,,,,,,
activision blizzard,collins street,,,"july 10, 2008  14 years ago  2008-07-10 ",,,,,,,,,
adidas,collins street,,,"july 1924  98 years ago  1924-07  in herzogenaurach, germany  as gebruder dassler schuhfabrik  18 august 1949  73 years ago  1949-08-18   as adidas [1]",,,,,,,,,
aldi,essen,,,"10 july 1946  76 years ago  1946-07-10   split in two parts in 1960, renamed to aldi nord and aldi sud in 1962 [1]",,,,,,,,,
adient,"plymouth, michigan, u.s.",,,"october 31, 2016  6 years ago  2016-10-31 [1]",,,,,,,,,
aditi technologies,bellevue,,,1994,,,,,,,,,
aditya birla group,mumbai,,,1857  165 years ago  1857 [1],,,,,,,,,
amd,mumbai,,,"may 1, 1969  53 years ago  1969-05-01 ",,,,,,,,,
aegon nv,mumbai,,,1983  39 years ago  1983 ,,,,,,,,,
aeon company,mihama-ku,,,"1758  264 years ago  1758   as shinoharaya, later okadaya  in yokkaichi",,,,,,,,,
ahold delhaize,zaandam,,,25 july 2016  6 years ago  2016-07-25 ,,,,,,,,,
asics,zaandam,,,"september 1, 1949  73 years ago  september 1, 1949   as onitsuka tiger  1977  45 years ago  1977   renamed to asics ",,,,,,,,,
airbus,,,,18 december 1970  52 years ago  1970-12-18   as airbus industrie gie ,,,,,,,,,
akzonobel,amsterdam,,,1994  28 years ago  1994 ,,,,,,,,,
akai,hong kong,,,"as akai electric company ltd, tokyo, japan  1946  76 years ago  1946  ",,,,,,,,,
alfa laval,lund,,,1883  139 years ago  1883 [2],,,,,,,,,
all nippon airways,shiodome city center,,,27 december 1952  69 years ago  1952-12-27   as japan helicopter and aeroplane ,,,,,,,,,
alliance global,taguig,,,"manila, philippines october 12, 1993  29 years ago  1993-10-12 ",,,,,,,,,
allianz,munich,,,5 february 1890  132 years ago  5 february 1890 ,,,,,,,,,
alibaba group,[2],,,"28 june 1999  23 years ago  1999-06-28 [1] hangzhou, zhejiang, china",,,,,,,,,
almarai,[2],,,1977  45 years ago  1977 ,,,,,,,,,
alstom,saint-ouen-sur-seine,,,1928  94 years ago  1928 ,,,,,,,,,
alphabet inc,googleplex,,,"october 2, 2015  7 years ago  2015-10-02 ",,,,,,,,,
altice company,googleplex,,,2001  21 years ago  2001 ,,,,,,,,,
altria,reynolds metals company international headquarters,,,"1985  37 years ago  1985   as philip morris companies, inc. ",,,,,,,,,
