name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
lacework,,united states,,,,2015,,,,,,cybersecurity,,,,,,,,,
tipalti,,united states,,,,2010,,,,,,fintech,,,,,,,,,
tempus,,united states,,,,2015,,,,,,health,,,,,,,,,
anduril,,united states,,,,2017,,,,,,artificial intelligence,,,,,,,,,
bolt,,estonia,,,,2013,,,,,,auto & transportation,,,,,,,,,
bytedance,,china,,,,2012,,,,,,artificial intelligence,,,,,,,,,
niantic,,united states,,,,2015,,,,,,mobile & telecommunications,,,,,,,,,
oyo rooms,,india,,,,2012,,,,,,travel,,,,,,,,,
kavak,,mexico,,,,2014,,,,,,e-commerce & direct-to-consumer,,,,,,,,,
personio,,germany,,,,2015,,,,,,internet software & services,,,,,,,,,
klaviyo,,united states,,,,2012,,,,,,internet software & services,,,,,,,,,
rapyd,,united kingdom,,,,2016,,,,,,fintech,,,,,,,,,
nuro,,united states,,,,2016,,,,,,auto & transportation,,,,,,,,,
tanium,,united states,,,,2007,,,,,,cybersecurity,,,,,,,,,
ponyai,,united states,,,,2016,,,,,,artificial intelligence,,,,,,,,,
sumup,,united kingdom,,,,2012,,,,,,fintech,,,,,,,,,
chainalysis,,united states,,,,2014,,,,,,fintech,,,,,,,,,
n26,,germany,,,,2013,,,,,,fintech,,,,,,,,,
heytea,,china,,,,2012,,,,,,other,,,,,,,,,
servicetitan,,united states,,,,2012,,,,,,internet software & services,,,,,,,,,
kucoin,,seychelles,,,,2017,,,,,,fintech,,,,,,,,,
thrasio,,united states,,,,2018,,,,,,e-commerce & direct-to-consumer,,,,,,,,,
chehaoduo,,china,,,,2015,,,,,,e-commerce & direct-to-consumer,,,,,,,,,
reddit,,united states,,,,2005,,,,,,internet software & services,,,,,,,,,
tripactions,,united states,,,,2015,,,,,,travel,,,,,,,,,
digital currency group,,united states,,,,2015,,,,,,fintech,,,,,,,,,
vulcanforms,,united states,,,,2015,,,,,,"supply chain, logistics, & delivery",,,,,,,,,
talkdesk,,united states,,,,2011,,,,,,internet software & services,,,,,,,,,
singlestore,,united states,,,,2011,,,,,,data management & analytics,,,,,,,,,
northvolt,,sweden,,,,2016,,,,,,other,,,,,,,,,
leadsquared,,india,,,,2011,,,,,,internet software & services,,,,,,,,,
unstoppable domains,,united states,,,,2018,,,,,,internet software & services,,,,,,,,,
jupiterone,,united states,,,,2018,,,,,,cybersecurity,,,,,,,,,
glean,,united states,,,,2019,,,,,,internet software & services,,,,,,,,,
carebridge,,united states,,,,2019,,,,,,health,,,,,,,,,
fourkites,,united states,,,,2014,,,,,,"supply chain, logistics, & delivery",,,,,,,,,
outsystems,,united states,,,,2001,,,,,,internet software & services,,,,,,,,,
remarkable,,norway,,,,2013,,,,,,internet software & services,,,,,,,,,
polarium,,sweden,,,,2015,,,,,,other,,,,,,,,,
habi,,colombia,,,,2019,,,,,,fintech,,,,,,,,,
opn,,japan,,,,2013,,,,,,fintech,,,,,,,,,
notion labs,,united states,,,,2016,,,,,,internet software & services,,,,,,,,,
taxfix,,germany,,,,2016,,,,,,fintech,,,,,,,,,
immuta,,united states,,,,2015,,,,,,data management & analytics,,,,,,,,,
divergent 3d,,united states,,,,2014,,,,,,auto & transportation,,,,,,,,,
lalamove,,hong kong,,,,2013,,,,,,"supply chain, logistics, & delivery",,,,,,,,,
gusto,,united states,,,,2011,,,,,,fintech,,,,,,,,,
flash,,united states,,,,2011,,,,,,fintech,,,,,,,,,
layerzero labs,,united states,,,,2021,,,,,,internet software & services,,,,,,,,,
electric,,united states,,,,2016,,,,,,cybersecurity,,,,,,,,,
grover,,germany,,,,2015,,,,,,e-commerce & direct-to-consumer,,,,,,,,,
bostongene,,united states,,,,2015,,,,,,health,,,,,,,,,
vayyar,,israel,,,,2011,,,,,,hardware,,,,,,,,,
open,,india,,,,2018,,,,,,fintech,,,,,,,,,
genies,,united states,,,,2017,,,,,,internet software & services,,,,,,,,,
oyster,,united states,,,,2019,,,,,,fintech,,,,,,,,,
commerceiq,,united states,,,,2012,,,,,,artificial intelligence,,,,,,,,,
aptos,,united states,,,,2021,,,,,,internet software & services,,,,,,,,,
bluevoyant,,united states,,,,2017,,,,,,cybersecurity,,,,,,,,,
gauntlet networks,,united states,,,,2018,,,,,,fintech,,,,,,,,,
factorial,,spain,,,,2016,,,,,,internet software & services,,,,,,,,,
tarana wireless,,united states,,,,2009,,,,,,mobile & telecommunications,,,,,,,,,
veev,,united states,,,,,,,,,,internet software & services,,,,,,,,,
vendr,,united states,,,,2018,,,,,,fintech,,,,,,,,,
glia,,united states,,,,2012,,,,,,fintech,,,,,,,,,
omada health,,united states,,,,2011,,,,,,health,,,,,,,,,
upside foods,,united states,,,,2015,,,,,,other,,,,,,,,,
rapidapi,,united states,,,,2014,,,,,,internet software & services,,,,,,,,,
nexhealth,,united states,,,,2017,,,,,,health,,,,,,,,,
watershed,,united states,,,,,,,,,,internet software & services,,,,,,,,,
axelar,,canada,,,,2020,,,,,,internet software & services,,,,,,,,,
payhawk,,united kingdom,,,,2018,,,,,,fintech,,,,,,,,,
dune analytics,,norway,,,,2018,,,,,,data management & analytics,,,,,,,,,
