name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
apple,,usa,,,,,,,2194000000000.0,tech software dow-jones tech-hardware electronics ,,,,,137.0,,,,,,
unilever,,united-kingdom,,,,,,,129090000000.0,food consumer-goods ,,,,,50.0,,,,,,
aia,,hong-kong,,,,,,,130120000000.0,insurance ,,,,,11.0,,,,,,
lowe's companies,,usa,,,,,,,128960000000.0,retail ,,,,,213.0,,,,,,
rwe,,germany,,,,,,,30020000000.0,electricity dax energy ,,,,,44.0,,,,,,
axa,,france,,,,,,,71320000000.0,insurance cac-40 ,,,,,30.0,,,,,,
meituan,,china,,,,,,,129660000000.0,internet tech e-commerce ,,,,,20.0,,,,,,
deere & company,,usa,,,,,,,131340000000.0,machinery-manufacturing manufacturing ,,,,,442.0,,,,,,
shin-etsu chemical,,japan,,,,,,,53110000000.0,chemicals ,,,,,131.0,,,,,,
bank of china,,china,,,,,,,133020000000.0,banks financial-services ,,,,,0.0,,,,,,
dynatrace,,usa,,,,,,,10960000000.0,software tech ,,,,,38.0,,,,,,
union pacific corporation,,usa,,,,,,,132050000000.0,railways transportation infrastructure ,,,,,214.0,,,,,,
general motors,,usa,,,,,,,53140000000.0,automakers manufacturing ,,,,,37.0,,,,,,
novocure,,,,,,,,,10060000000.0,biotech ,,,,,95.0,,,,,,
ocbc bank,,singapore,,,,,,,43120000000.0,banks ,,,,,9.0,,,,,,
skandinaviska enskilda banken,,sweden,,,,,,,25240000000.0,,,,,,11.0,,,,,,
wpp,,united-kingdom,,,,,,,12160000000.0,advertising ,,,,,56.0,,,,,,
centrais electricas brasileiras,,brazil,,,,,,,18930000000.0,utility-companies electricity energy ,,,,,8.0,,,,,,
link reit,,hong-kong,,,,,,,17040000000.0,investment real-estate reit ,,,,,8.0,,,,,,
match group,,usa,,,,,,,13380000000.0,internet online-dating tech ,,,,,47.0,,,,,,
spring airlines,,china,,,,,,,8990000000.0,airlines travel transportation ,,,,,9.0,,,,,,
axon enterprise,,usa,,,,,,,13370000000.0,,,,,,188.0,,,,,,
jde peet's,,netherlands,,,,,,,14940000000.0,beverages ,,,,,29.0,,,,,,
advanced drainage systems,,usa,,,,,,,7610000000.0,,,,,,91.0,,,,,,
antofagasta,,united-kingdom,,,,,,,21690000000.0,conglomerate mining ,,,,,22.0,,,,,,
uwm holdings,,usa,,,,,,,6610000000.0,financial-services ,,,,,4.0,,,,,,
nippon yusen,,japan,,,,,,,12180000000.0,transportation container-shipping maritime-transportation ,,,,,24.0,,,,,,
