name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
apple,,usa,,,,,,2194000000000.0,137.0,tech software dow-jones tech-hardware electronics ,,,
unilever,,united-kingdom,,,,,,129090000000.0,50.0,food consumer-goods ,,,
aia,,hong-kong,,,,,,130120000000.0,11.0,insurance ,,,
lowe's companies,,usa,,,,,,128960000000.0,213.0,retail ,,,
rwe,,germany,,,,,,30020000000.0,44.0,electricity dax energy ,,,
axa,,france,,,,,,71320000000.0,30.0,insurance cac-40 ,,,
meituan,,china,,,,,,129660000000.0,20.0,internet tech e-commerce ,,,
deere & company,,usa,,,,,,131340000000.0,442.0,machinery-manufacturing manufacturing ,,,
shin-etsu chemical,,japan,,,,,,53110000000.0,131.0,chemicals ,,,
bank of china,,china,,,,,,133020000000.0,0.0,banks financial-services ,,,
dynatrace,,usa,,,,,,10960000000.0,38.0,software tech ,,,
union pacific corporation,,usa,,,,,,132050000000.0,214.0,railways transportation infrastructure ,,,
general motors,,usa,,,,,,53140000000.0,37.0,automakers manufacturing ,,,
novocure,,,,,,,,10060000000.0,95.0,biotech ,,,
ocbc bank,,singapore,,,,,,43120000000.0,9.0,banks ,,,
skandinaviska enskilda banken,,sweden,,,,,,25240000000.0,11.0,,,,
wpp,,united-kingdom,,,,,,12160000000.0,56.0,advertising ,,,
centrais electricas brasileiras,,brazil,,,,,,18930000000.0,8.0,utility-companies electricity energy ,,,
link reit,,hong-kong,,,,,,17040000000.0,8.0,investment real-estate reit ,,,
match group,,usa,,,,,,13380000000.0,47.0,internet online-dating tech ,,,
spring airlines,,china,,,,,,8990000000.0,9.0,airlines travel transportation ,,,
axon enterprise,,usa,,,,,,13370000000.0,188.0,,,,
jde peet's,,netherlands,,,,,,14940000000.0,29.0,beverages ,,,
advanced drainage systems,,usa,,,,,,7610000000.0,91.0,,,,
antofagasta,,united-kingdom,,,,,,21690000000.0,22.0,conglomerate mining ,,,
uwm holdings,,usa,,,,,,6610000000.0,4.0,financial-services ,,,
nippon yusen,,japan,,,,,,12180000000.0,24.0,transportation container-shipping maritime-transportation ,,,
qantas airways,,australia,,,,,,8310000000.0,4.0,airlines travel transportation ,,,
seagate technology,,ireland,,,,,,12170000000.0,58.0,tech electronics tech-hardware ,,,
endeavor group,,usa,,,,,,6230000000.0,21.0,media-press entertainment ,,,
viper energy partners,,usa,,,,,,5410000000.0,32.0,,,,
mapletree commercial trust,,singapore,,,,,,7080000000.0,1.0,real-estate investment reit ,,,
convatec group,,united-kingdom,,,,,,6200000000.0,3.0,medical-devices ,,,
firstservice,,canada,,,,,,6190000000.0,140.0,,,,
unimicron,,taiwan,,,,,,6200000000.0,4.0,electronics tech tech-hardware ,,,
soitec,,france,,,,,,5760000000.0,166.0,semiconductors tech tech-hardware ,,,
engie brasil,,brazil,,,,,,6220000000.0,7.0,electricity utility-companies energy ,,,
nutanix,,usa,,,,,,6190000000.0,26.0,software tech ,,,
turkcell,,turkey,,,,,,4440000000.0,4.0,telecommunication ,,,
samvardhana motherson,,india,,,,,,6200000000.0,0.0,automotive-suppliers ,,,
bosch india,,india,,,,,,6190000000.0,210.0,,,,
mirvac group,,australia,,,,,,6210000000.0,1.0,real-estate investment reit ,,,
mdu resources,,usa,,,,,,6220000000.0,30.0,,,,
hanover insurance group,,usa,,,,,,4710000000.0,132.0,,,,
nippon prologis reit,,japan,,,,,,6210000000.0,2.0,real-estate investment ,,,
blackline,,usa,,,,,,4150000000.0,69.0,,,,
escorts limited,,india,,,,,,3390000000.0,25.0,specialty-vehicles manufacturing agriculture ,,,
denali therapeutics,,usa,,,,,,4170000000.0,30.0,,,,
first international bank of israel,,israel,,,,,,4179999999.0,41.0,banks financial-services ,,,
fomento de construcciones y contratas,,spain,,,,,,4170000000.0,9.0,construction ,,,
fabrinet,,,,,,,,5060000000.0,138.0,electronics ,,,
howard hughes corporation,,usa,,,,,,4170000000.0,83.0,real-estate ,,,
agl energy,,australia,,,,,,3600000000.0,5.0,energy electricity utility-companies ,,,
affirm,,usa,,,,,,4160000000.0,14.0,financial-services ,,,
olaplex,,usa,,,,,,4170000000.0,6.0,consumer-goods ,,,
bank mega,,indonesia,,,,,,4179999999.0,0.0,banks financial-services ,,,
azenta,,usa,,,,,,4160000000.0,60.0,biotech medical-devices ,,,
dairy farm,,hong-kong,,,,,,4150000000.0,3.0,retail ,,,
tfs financial,,usa,,,,,,4170000000.0,14.0,,,,
balchem,,usa,,,,,,4160000000.0,129.0,,,,
freedom holding,,,,,,,,3880000000.0,65.0,financial-services ,,,
kemira,,finland,,,,,,2470000000.0,16.0,pulp-and-paper ,,,
the navigator company,,,,,,,,2470000000.0,3.0,pulp-and-paper ,,,
sl green realty,,usa,,,,,,2450000000.0,38.0,real-estate investment reit ,,,
arbor realty trust,,usa,,,,,,2450000000.0,14.0,real-estate investment reit ,,,
endurance technologies,,india,,,,,,2470000000.0,17.0,,,,
iveco group,,italy,,,,,,2470000000.0,7.0,manufacturing specialty-vehicles ,,,
arconic,,usa,,,,,,2470000000.0,24.0,,,,
pb fintech,,india,,,,,,2460000000.0,5.0,financial-services tech insurance ,,,
acadia pharmaceuticals,,usa,,,,,,2980000000.0,18.0,,,,
verint systems,,usa,,,,,,2470000000.0,37.0,software tech ,,,
