name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
apple,,cupertino,ca,,,"april 1, 1976","100,000",timothy d cook,2825000000000,"unitedstates, technology, consumerelectronics, unitedstatestechnology, unitedstatesconsumerelectronics",,,,,,,,,,,
danaher,,washington,dc,,,1969,"78,000",rainer m blair,208030000000,"unitedstates, healthcare, diagnostics&research, unitedstateshealthcare, unitedstatesdiagnostics&research",,,,,,,,,,,
merck,,kenilworth,nj,,,1891,"67,000",robert m davis jd,210380000000,"unitedstates, healthcare, drugmanufacturersgeneral, unitedstateshealthcare, unitedstatesdrugmanufacturersgeneral",,,,,,,,,,,
bhp,,melbourne,vic,,,1885,"40,110",mike p henry bsc bsc chem,a$281.66 billion,"australia, basicmaterials, otherindustrialmetals&mining, australiabasicmaterials, australiaotherindustrialmetals&mining",,,,,,,,,,,
nike,,beaverton,or,,,"january 25, 1964","73,300",john j donahoe ii,213600000000,"unitedstates, consumerdiscretionary, footwear&accessories, unitedstatesconsumerdiscretionary, unitedstatesfootwear&accessories",,,,,,,,,,,
abbott,,northchicago,il,,,1888,"113,000",robert b ford,215020000000,"unitedstates, healthcare, medicaldevices, unitedstateshealthcare, unitedstatesmedicaldevices",,,,,,,,,,,
verizon,,newyork,ny,,,"october 7, 1983","118,400",hans e vestberg,216680000000,"unitedstates, communicationservices, telecomservices, unitedstatescommunicationservices, unitedstatestelecomservices",,,,,,,,,,,
comcast,,philadelphia,pa,,,"june 28, 1963","189,000",brian l roberts,218900000000,"unitedstates, communicationservices, entertainment, unitedstatescommunicationservices, unitedstatesentertainment",,,,,,,,,,,
accenture,,dublin,ireland,,,1989,"699,000",julie t spellman sweet,219030000000,"ireland, technology, informationtechnologyservices, irelandtechnology, irelandinformationtechnologyservices",,,,,,,,,,,
l'oreal,,clichy,france,,,,"85,400",nicolas hieronimus,203.85 billion,"france, consumerstaples, household&personalproducts, franceconsumerstaples, francehousehold&personalproducts",,,,,,,,,,,
oracle,,redwoodcity,ca,,,"june 16, 1977","132,000",safra ada catz,228180000000,"unitedstates, technology, softwareinfrastructure, unitedstatestechnology, unitedstatessoftwareinfrastructure",,,,,,,,,,,
thermo fisher scientific,,waltham,ma,,,1956,"130,000",marc n casper,236150000000,"unitedstates, healthcare, diagnostics&research, unitedstateshealthcare, unitedstatesdiagnostics&research",,,,,,,,,,,
