name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
avis budget group inc,"parsippany,nj,unitedstates",united states,,,, 2006 ," 16,000",joseph a ferraro,18120000000,,industrials,rental & leasing services,,,,,,,,,
telefonica brasil sa,"saopaulo,sp,brazil",brazil,,,, 1998," 34,000",christian mauad gebara,20190000000,,communication services,telecom services,,,,,,,,,
east japan railway company,"tokyo,japan",japan,,,,," 71,973",yuji fukasawa,22780000000,,industrials,railroads,,,,,,,,,
twilio inc,"sanfrancisco,ca,unitedstates",united states,,,, 2008," 7,867",jeffrey lawson,26090000000,,communication services,internet content & information,,,,,,,,,
delta electronics inc,"taipei,taiwan",taiwan,,,,,,ping cheng,24050000000,,technology,electronic components,,,,,,,,,
power corporation of canada,"montraal,qc,canada",canada,,,, 1925," 30,000",robert jeffrey orr,21480000000,,financials,insurancelife,,,,,,,,,
expedia group inc,"seattle,wa,unitedstates",united states,,,," october 22, 1996"," 14,800",peter maxwell kern,27910000000,,consumer discretionary,travel services,,,,,,,,,
croda international plc,"goole,unitedkingdom",united kingdom,,,, 1925," 4,000",,19220000000,,basic materials,specialty chemicals,,,,,,,,,
coupang inc,"seoul,southkorea",south korea,,,,," 68,000",bom suk kim,30530000000,,consumer discretionary,internet retail,,,,,,,,,
mplx lp,"findlay,oh,unitedstates",united states,,,, 1988," 1,139",michael j hennigan,35270000000,,energy,oil & gas midstream,,,,,,,,,
natwest group plc,"edinburgh,unitedkingdom",united kingdom,,,, 25 march 1968," 58,735",alison marie rose-slade ba,32720000000,,financials,banks,,,,,,,,,
dupont de nemours inc,"wilmington,de,unitedstates",united states,,,," september 1, 2017"," 28,000",edward d breen,39720000000,,basic materials,chemicals,,,,,,,,,
hp inc,"paloalto,ca,unitedstates",united states,,,," january 1, 1939"," 51,000",enrique j lores,43900000000,,technology,computer hardware,,,,,,,,,
honda motor co ltd,"tokyo,japan",japan,,,," hamamatsu, japan october 1946, incorporated 24 september 1948"," 211,374",toshihiro mibe,49110000000,,consumer discretionary,auto manufacturers,,,,,,,,,
macquarie group limited,"sydney,nsw,australia",australia,,,, 1969," 17,209",shemara r wikramanayake bcom llb llb bcom unsw,55990000000,,financials,capital markets,,,,,,,,,
general motors company,"detroit,mi,unitedstates",united states,,,," september 16, 1908"," 157,000",mary t barra,62690000000,,consumer discretionary,auto manufacturers,,,,,,,,,
edwards lifesciences corporation,"irvine,ca,unitedstates",united states,,,, 1958," 15,700",michael a mussallem,73380000000,,healthcare,medical devices,,,,,,,,,
zurich insurance group ag,"zurich,switzerland",switzerland,,,,," 55,000",mario greco,73580000000,,financials,insurancediversified,,,,,,,,,
atlassian corporation plc,"sydney,nsw,australia",australia,,,, 2002," 7,388",michael cannon-brookes,73720000000,,technology,softwareapplication,,,,,,,,,
the tjx companies inc,"framingham,ma,unitedstates",united states,,,, 1987," 270,000",ernie l herrman,73990000000,,consumer discretionary,apparel retail,,,,,,,,,
intercontinental exchange inc,"atlanta,ga,unitedstates",united states,,,," may 11, 2000"," 8,858",jeffrey c sprecher,74170000000,,financials,financial data & stock exchanges,,,,,,,,,
canadian natural resources limited,"calgary,ab,canada",canada,,,,," 9,735",,74780000000,,energy,oil & gas e&p,,,,,,,,,
truist financial corporation,"charlotte,nc,unitedstates",united states,,,, 1872," 50,283",william henry rogers jr,74790000000,,financials,banks,,,,,,,,,
regeneron pharmaceuticals inc,"tarrytown,ny,unitedstates",united states,,,, 1988," 10,368",leonard s schleifer md phd,74910000000,,healthcare,biotechnology,,,,,,,,,
gilead sciences inc,"fostercity,ca,unitedstates",united states,,,," june 22, 1987"," 14,400",daniel p o'day,76150000000,,healthcare,drug manufacturersgeneral,,,,,,,,,
becton dickinson and company,"franklinlakes,nj,unitedstates",united states,,,," east rutherford, new jersey 1897"," 75,000",thomas e polen jr,76980000000,,healthcare,medical instruments & supplies,,,,,,,,,
the pnc financial services group inc,"pittsburgh,pa,unitedstates",united states,,,," april 10, 1845"," 57,668",william s demchak,77100000000,,financials,banks,,,,,,,,,
lam research corporation,"fremont,ca,unitedstates",united states,,,, 1980," 16,300",timothy m archer,77600000000,,technology,semiconductor equipment & materials,,,,,,,,,
the southern company,"atlanta,ga,unitedstates",united states,,,, 1945," 27,027",thomas a fanning,78380000000,,utilities,utilitiesregulated electric,,,,,,,,,
china petroleum & chemical corporation,"beijing,china",china,,,," beijing, china 25 february 2000"," 384,065",,78390000000,,energy,oil & gas integrated,,,,,,,,,
china yangtze power co ltd,"beijing,china",china,,,,," 3,985",,78420000000,,utilities,utilitiesindependent power producers,,,,,,,,,
kering sa,"paris,france",france,,,,," 42,811",franaois-henri pinault,78660000000,,consumer discretionary,luxury goods,,,,,,,,,
bank of montreal,"montreal,qc,canada",canada,,,, montreal bank 23 june 1817," 43,863",william darryl white,79220000000,,financials,banks,,,,,,,,,
tokyo electron ltd,"tokyo,japan",japan,,,,," 14,479",toshiki kawai,79620000000,,technology,semiconductor equipment & materials,,,,,,,,,
us bancorp,"minneapolis,mn,unitedstates",united states,,,," july 13, 1863"," 68,796",andrew j cecere,80160000000,,financials,banks,,,,,,,,,
essilorluxottica sa,"paris,france",france,,,,," 144,888",francesco milleri,80490000000,,healthcare,medical instruments & supplies,,,,,,,,,
