name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
avis budget group inc,"parsippany,nj,unitedstates",united states,, 2006 ," 16,000",joseph a ferraro,,18120000000,,,industrials,,
telefonica brasil sa,"saopaulo,sp,brazil",brazil,, 1998," 34,000",christian mauad gebara,,20190000000,,,communication services,,
east japan railway company,"tokyo,japan",japan,,," 71,973",yuji fukasawa,,22780000000,,,industrials,,
twilio inc,"sanfrancisco,ca,unitedstates",united states,, 2008," 7,867",jeffrey lawson,,26090000000,,,communication services,,
delta electronics inc,"taipei,taiwan",taiwan,,,,ping cheng,,24050000000,,,technology,,
power corporation of canada,"montraal,qc,canada",canada,, 1925," 30,000",robert jeffrey orr,,21480000000,,,financials,,
expedia group inc,"seattle,wa,unitedstates",united states,," october 22, 1996"," 14,800",peter maxwell kern,,27910000000,,,consumer discretionary,,
croda international plc,"goole,unitedkingdom",united kingdom,, 1925," 4,000",,,19220000000,,,basic materials,,
coupang inc,"seoul,southkorea",south korea,,," 68,000",bom suk kim,,30530000000,,,consumer discretionary,,
mplx lp,"findlay,oh,unitedstates",united states,, 1988," 1,139",michael j hennigan,,35270000000,,,energy,,
natwest group plc,"edinburgh,unitedkingdom",united kingdom,, 25 march 1968," 58,735",alison marie rose-slade ba,,32720000000,,,financials,,
dupont de nemours inc,"wilmington,de,unitedstates",united states,," september 1, 2017"," 28,000",edward d breen,,39720000000,,,basic materials,,
hp inc,"paloalto,ca,unitedstates",united states,," january 1, 1939"," 51,000",enrique j lores,,43900000000,,,technology,,
honda motor co ltd,"tokyo,japan",japan,," hamamatsu, japan october 1946, incorporated 24 september 1948"," 211,374",toshihiro mibe,,49110000000,,,consumer discretionary,,
macquarie group limited,"sydney,nsw,australia",australia,, 1969," 17,209",shemara r wikramanayake bcom llb llb bcom unsw,,55990000000,,,financials,,
general motors company,"detroit,mi,unitedstates",united states,," september 16, 1908"," 157,000",mary t barra,,62690000000,,,consumer discretionary,,
edwards lifesciences corporation,"irvine,ca,unitedstates",united states,, 1958," 15,700",michael a mussallem,,73380000000,,,healthcare,,
zurich insurance group ag,"zurich,switzerland",switzerland,,," 55,000",mario greco,,73580000000,,,financials,,
atlassian corporation plc,"sydney,nsw,australia",australia,, 2002," 7,388",michael cannon-brookes,,73720000000,,,technology,,
the tjx companies inc,"framingham,ma,unitedstates",united states,, 1987," 270,000",ernie l herrman,,73990000000,,,consumer discretionary,,
intercontinental exchange inc,"atlanta,ga,unitedstates",united states,," may 11, 2000"," 8,858",jeffrey c sprecher,,74170000000,,,financials,,
canadian natural resources limited,"calgary,ab,canada",canada,,," 9,735",,,74780000000,,,energy,,
truist financial corporation,"charlotte,nc,unitedstates",united states,, 1872," 50,283",william henry rogers jr,,74790000000,,,financials,,
regeneron pharmaceuticals inc,"tarrytown,ny,unitedstates",united states,, 1988," 10,368",leonard s schleifer md phd,,74910000000,,,healthcare,,
