name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
apple,,,,,,"  april 1, 1976","  100,000",timothy d cook,,,,,,,,,,,,,
microsoft,,,,,,"  april 4, 1975","  181,000",satya nadella,,,,,,,,,,,,,
aramco,,,,,,,,amin h nasser,,,,,,,,,,,,,
alphabet,,,,,,"  october 2, 2015","  156,500",sundar pichai,,,,,,,,,,,,,
amazon,,,,,,"  july 5, 1994","  1,608,000",andrew r jassy,,,,,,,,,,,,,
tesla,,,,,,"  july 1, 2003","  99,290",elon r musk,,,,,,,,,,,,,
berkshire hathaway,,,,,,  1839,"  372,000",warren e buffett,,,,,,,,,,,,,
nvidia,,,,,,"  april 5, 1993","  22,473",jen-hsun huang,,,,,,,,,,,,,
meta,,,,,,"  january 4, 2004","  71,970",mark elliot zuckerberg,,,,,,,,,,,,,
tsmc,,,,,,"  industrial technology research institute, hsinchu, taiwan.1987","  54,193",c c wei,,,,,,,,,,,,,
unitedhealth group,,,,,,  1977,"  350,000",sir andrew philip witty,,,,,,,,,,,,,
visa,,,,,,"  september 18, 1958","  21,500",alfred francis kelly jr,,,,,,,,,,,,,
johnson & johnson,,,,,,  january 1886,"  141,700",joaquin duato,,,,,,,,,,,,,
tencent,,,,,,,"  112,771",huateng pony ma,,,,,,,,,,,,,
walmart,,,,,,"  july 2, 1962","  2,300,000",c douglas mcmillon,,,,,,,,,,,,,
jpmorgan,,,,,,"  december 1, 2000","  271,025",james dimon,,,,,,,,,,,,,
procter & gamble,,,,,,"  october 31, 1837","  101,000",jon r moeller,,,,,,,,,,,,,
samsung,,,,,,,,jong-hee han,,,,,,,,,,,,,
lvmh,,,,,,,"  148,343",bernard arnault,,,,,,,,,,,,,
mastercard,,,,,,  1966,"  24,000",michael miebach,,,,,,,,,,,,,
bank of america,,,,,,  1998,"  208,000",brian thomas moynihan,,,,,,,,,,,,,
roche,,,,,,,"  100,920",severin schwan phd,,,,,,,,,,,,,
exxonmobil,,,,,,"  november 30, 1999","  63,000",darren w woods,,,,,,,,,,,,,
kweichow moutai,,,,,,,"  29,031",,,,,,,,,,,,,,
home depot,,,,,,"  february 6, 1978","  490,600",edward p decker,,,,,,,,,,,,,
chevron,,,,,,"  september 10, 1879","  42,595",michael k wirth,,,,,,,,,,,,,
pfizer,,,,,,  1849,"  79,000",albert bourla dvm dvm phd,,,,,,,,,,,,,
abbvie,,,,,,  2013,"  50,000",richard a gonzalez,,,,,,,,,,,,,
alibaba,,,,,,  28 june 1999,"  259,316",yong zhang,,,,,,,,,,,,,
asml,,,,,,  1984,"  29,861",peter t f m wennink,,,,,,,,,,,,,
coca-cola,,,,,,"  january 29, 1892","  79,000",james robert b quincey,,,,,,,,,,,,,
lilly,,,,,,  1876,"  35,000",david a ricks,,,,,,,,,,,,,
broadcom,,,,,,  1961,"  20,000",hock e tan,,,,,,,,,,,,,
costco,,,,,,"  july 12, 1976","  288,000",w craig jelinek,,,,,,,,,,,,,
novo nordisk,,,,,,"  december 21, 1923","  47,792",lars fruergaard jorgensen,,,,,,,,,,,,,
icbc,,,,,,,"  439,787",,,,,,,,,,,,,,
disney,,,,,,"  october 16, 1923","  152,000",robert a chapek,,,,,,,,,,,,,
pepsico,,,,,,"  august 28, 1898","  309,000",ramon luis laguarta,,,,,,,,,,,,,
cisco,,,,,,"  december 10, 1984","  79,500",charles h robbins,,,,,,,,,,,,,
thermo fisher scientific,,,,,,  1956,"  130,000",marc n casper,,,,,,,,,,,,,
oracle,,,,,,"  june 16, 1977","  132,000",safra ada catz,,,,,,,,,,,,,
l'oreal,,,,,,,"  85,400",nicolas hieronimus,,,,,,,,,,,,,
accenture,,,,,,  1989,"  699,000",julie t spellman sweet,,,,,,,,,,,,,
comcast,,,,,,"  june 28, 1963","  189,000",brian l roberts,,,,,,,,,,,,,
verizon,,,,,,"  october 7, 1983","  118,400",hans e vestberg,,,,,,,,,,,,,
abbott,,,,,,  1888,"  113,000",robert b ford,,,,,,,,,,,,,
nike,,,,,,"  january 25, 1964","  73,300",john j donahoe ii,,,,,,,,,,,,,
bhp,,,,,,  1885,"  40,110",mike p henry bsc bsc chem,,,,,,,,,,,,,
merck,,,,,,  1891,"  67,000",robert m davis jd,,,,,,,,,,,,,
danaher,,,,,,  1969,"  78,000",rainer m blair,,,,,,,,,,,,,
shell,,,,,,,"  87,000",ben van beurden,,,,,,,,,,,,,
novartis,,,,,,  march 1996,"  104,323",,,,,,,,,,,,,,
astrazeneca,,,,,,  6 april 1999,"  83,100",pascal soriot dvm mba,,,,,,,,,,,,,
intel,,,,,,"  july 18, 1968","  121,100",patrick p gelsinger,,,,,,,,,,,,,
wells fargo,,,,,,  1929,"  247,848",charles w scharf,,,,,,,,,,,,,
adobe,,,,,,  december 1982,"  25,988",shantanu narayen,,,,,,,,,,,,,
salesforce,,,,,,"  february 3, 1999","  73,541",marc r benioff,,,,,,,,,,,,,
ups,,,,,,"  august 28, 1907","  267,890",carol b tome,,,,,,,,,,,,,
china construction bank,,,,,,,"  373,814",,,,,,,,,,,,,,
mcdonald's,,,,,,"  may 15, 1940","  100,000",christopher j kempczinski,,,,,,,,,,,,,
china merchants bank,,,,,,,"  103,669",huiyu tian mpa,,,,,,,,,,,,,
catl,,,,,,,"  33,078",,,,,,,,,,,,,,
union pacific,,,,,,  1969 ,"  29,905",lance m fritz,,,,,,,,,,,,,
at&t,,,,,,"  october 5, 1983","  203,000",john t stankey,,,,,,,,,,,,,
qualcomm,,,,,,  july 1985,"  45,000",cristiano renno amon,,,,,,,,,,,,,
texas instruments,,,,,,  1930,"  31,000",richard k templeton,,,,,,,,,,,,,
bristol myers squibb,,,,,,  1887,"  32,200",giovanni caforio md,,,,,,,,,,,,,
prosus,,,,,,,"  23,939",bob van dijk,,,,,,,,,,,,,
linde,,,,,,  21 june 1879,"  72,327",sanjiv lamba,,,,,,,,,,,,,
nextera energy,,,,,,  1984,"  15,000",john w ketchum,,,,,,,,,,,,,
agricultural bank of china,,,,,,,"  459,000",,,,,,,,,,,,,,
t-mobile us,,,,,,  1994,"  75,000",g michael sievert,,,,,,,,,,,,,
morgan stanley,,,,,,  1935,"  75,000",james patrick gorman,,,,,,,,,,,,,
netflix,,,,,,"  august 29, 1997","  11,300",wilmot reed hastings jr,,,,,,,,,,,,,
rbc,,,,,,,"  85,211",david i mckay,,,,,,,,,,,,,
schwab,,,,,,  1971,"  33,400",walter william bettinger ii,,,,,,,,,,,,,
philip morris,,,,,,  2008,"  69,600",jacek olczak,,,,,,,,,,,,,
medtronic,,,,,,  2001 ,"  90,000",geoffrey straub martha,,,,,,,,,,,,,
raytheon technologies,,,,,,  2020,"  174,000",gregory j hayes,,,,,,,,,,,,,
american express,,,,,,"  march 18, 1850","  64,000",stephen joseph squeri,,,,,,,,,,,,,
hermes,,,,,,  1837,"  17,595",,,,,,,,,,,,,,
td bank,,,,,,  1 february 1955,"  90,000",bharat b masrani,,,,,,,,,,,,,
petrochina,,,,,,  5 november 1999,"  432,003",,,,,,,,,,,,,,
commbank,,,,,,  22 december 1911,"  47,532",matthew comyn,,,,,,,,,,,,,
lowe's,,,,,,"  march 25, 1921","  300,000",marvin r ellison,,,,,,,,,,,,,
amgen,,,,,,"  april 8, 1980","  24,200",robert a bradway,,,,,,,,,,,,,
bank of china,,,,,,,"  309,084",,,,,,,,,,,,,,
hsbc,,,,,,  first established on 3 march 1865,"  219,697",noel paul quinn,,,,,,,,,,,,,
china mobile,,,,,,,"  449,934",xin dong,,,,,,,,,,,,,
totalenergies,,,,,,  28 march 1924,"  105,476",patrick pouyanna,,,,,,,,,,,,,
honeywell,,,,,,  1906,"  99,000",darius e adamczyk,,,,,,,,,,,,,
conocophillips,,,,,,  30 august 2002,"  9,900",ryan m lance,,,,,,,,,,,,,
cvs health,,,,,,  1963,"  216,000",karen sue lynch,,,,,,,,,,,,,
ping an insurance,,,,,,,"  355,982",bo yao,,,,,,,,,,,,,
sap,,,,,,"  weinheim, germany1972","  107,415",christian klein,,,,,,,,,,,,,
paypal,,,,,,  december 1998,"  30,900",daniel h schulman,,,,,,,,,,,,,
sanofi,,,,,,  1973,"  95,442",paul hudson,,,,,,,,,,,,,
john deere,,,,,,  1837,"  75,550",john c may ii,,,,,,,,,,,,,
amd,,,,,,"  may 1, 1969","  15,500",lisa t su phd,,,,,,,,,,,,,
intuit,,,,,,  1983,"  13,500",sasan k goodarzi,,,,,,,,,,,,,
sony,,,,,,  7 may 1946,"  109,700",kenichiro yoshida,,,,,,,,,,,,,
rio tinto,,,,,,  1873,"  49,000",jakob stausholm ms ms,,,,,,,,,,,,,
aia group,,,,,,,"  23,000",,,,,,,,,,,,,,
lockheed martin corporation,,,,,,"  march 15, 1995","  114,000",james d taiclet jr,,,,,,,,,,,,,
caterpillar inc,,,,,,"  april 15, 1925","  107,700",d james umpleby iii,,,,,,,,,,,,,
anheuser-busch inbev sa/nv,,,,,,,"  169,339",,,,,,,,,,,,,,
equinor asa,,,,,,  14 june 1972,"  21,126",anders opedal,,,,,,,,,,,,,
dior,,,,,,,"  119,243",sidney toledano,,,,,,,,,,,,,
prologis,,,,,,  1983,"  2,053",hamid r moghadam,,,,,,,,,,,,,
applied materials,,,,,,"  november 10, 1967","  28,500",gary e dickerson,,,,,,,,,,,,,
anthem inc,,,,,,  anthem and wellpoint health networks merger in 2004,"  98,200",gail koziara boudreaux,,,,,,,,,,,,,
international business machines corporation,,,,,,"  june 16, 1911","  282,100",arvind krishna,,,,,,,,,,,,,
unilever,,,,,,  2 september 1929,"  148,012",alan w jope,,,,,,,,,,,,,
blackrock,,,,,,  1988,"  18,400",laurence douglas fink,,,,,,,,,,,,,
hdfc bank,,,,,,,"  134,412",sashidhar jagdishan,,,,,,,,,,,,,
diageo plc,,,,,,,"  27,783",ivan m menezes,,,,,,,,,,,,,
american tower,,,,,,  1995,"  6,378",thomas a bartlett cpa,,,,,,,,,,,,,
siemens,,,,,,,"  303,000",roland busch diplphys,,,,,,,,,,,,,
meituan,,,,,,,"  69,205",xing wang,,,,,,,,,,,,,
keyence,,,,,,,"  8,380",,,,,,,,,,,,,,
the goldman sachs group inc,,,,,,  1869,"  43,900",david solomon,,,,,,,,,,,,,
transurban group,,,,,,"  14 march 1996, melbourne",  672,scott charlton mba bsci beng elec mba member of fei fta,,,,,,,,,,,,,
industria de diseno textil sa,,,,,,,"  104,431",oscar garcia maceiras,,,,,,,,,,,,,
the boeing company,,,,,,"  july 15, 1916","  142,000",david l calhoun,,,,,,,,,,,,,
glaxosmithkline plc,,,,,,  december 2000,"  90,096",emma n walmsley,,,,,,,,,,,,,
citigroup inc,,,,,,"  october 8, 1998","  220,092",jane nind fraser,,,,,,,,,,,,,
