name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
apple,"cupertino, ca, united states",united states,,"april 1, 1976","100,000",timothy d cook,,2825000000000,,,technology,"https://www.apple.com, https://www.facebook.com/apple/, https://twitter.com/apple, https://www.linkedin.com/company/apple, https://en.wikipedia.org/wiki/apple inc.",
exxonmobil,"irving, tx, united states",united states,,"november 30, 1999","63,000",darren w woods,,348720000000,,,energy,"https://corporate.exxonmobil.com, https://en.wikipedia.org/wiki/exxon mobil corp.",
roche,"basel, switzerland",switzerland,,,"100,920",severin schwan phd,,349500000000,,,healthcare,https://www.roche.com,
home depot,"atlanta, ga, united states",united states,,"february 6, 1978","490,600",edward p decker,,321470000000,,,consumer discretionary,"https://www.homedepot.com, https://en.wikipedia.org/wiki/home depot",
pfizer,"new york, ny, united states",united states,,1849,"79,000",albert bourla dvm dvm phd,,300790000000,,,healthcare,"https://www.pfizer.com, https://www.facebook.com/pfizer, https://twitter.com/pfizer, https://www.linkedin.com/company/pfizer, https://en.wikipedia.org/wiki/pfizer",
kweichow moutai,"renhuai, china",china,,,"29,031",,,348220000000,,,consumer staples,https://www.moutaichina.com,
bank of america,"charlotte, nc, united states",united states,,1998,"208,000",brian thomas moynihan,,350840000000,,,financials,"https://www.bankofamerica.com, https://www.facebook.com/bankofamerica, https://twitter.com/bofa help, https://www.linkedin.com/company/bank-of-america, https://en.wikipedia.org/wiki/bank of america",
chevron,"san ramon, ca, united states",united states,,"september 10, 1879","42,595",michael k wirth,,315130000000,,,energy,"https://www.chevron.com, https://www.facebook.com/chevron, https://twitter.com/chevron, https://www.linkedin.com/company/chevron, https://en.wikipedia.org/wiki/chevron corp.",
mastercard,"purchase, ny, united states",united states,,1966,"24,000",michael miebach,,358600000000,,,financials,"https://www.mastercard.com, https://en.wikipedia.org/wiki/mastercard",
lvmh,"paris, france",france,,,"148,343",bernard arnault,,359260000000,,,consumer discretionary,"https://www.lvmh.com, https://twitter.com/lvmh",
samsung,"suwon-si, south korea",south korea,,,,jong-hee han,,378350000000,,,technology,"https://www.samsung.com, https://www.facebook.com/samsungelectronics/, https://twitter.com/samsung, https://www.linkedin.com/company/samsung-electronics/",
procter & gamble,"cincinnati, oh, united states",united states,,"october 31, 1837","101,000",jon r moeller,,384600000000,,,consumer staples,"https://www.pginvestor.com, https://en.wikipedia.org/wiki/procter %26 gamble",
jpmorgan,"new york, ny, united states",united states,,"december 1, 2000","271,025",james dimon,,410840000000,,,financials,"https://www.jpmorganchase.com, https://en.wikipedia.org/wiki/jpmorgan chase",
walmart,"bentonville, ar, united states",united states,,"july 2, 1962","2,300,000",c douglas mcmillon,,429050000000,,,consumer staples,"https://www.stock.walmart.com, https://en.wikipedia.org/wiki/walmart",
tencent,"shenzhen, china",china,,,"112,771",huateng pony ma,,441170000000,,,communication services,https://www.tencent.com,
johnson & johnson,"new brunswick, nj, united states",united states,,january 1886,"141,700",joaquin duato,,475930000000,,,healthcare,"https://www.jnj.com, https://twitter.com/jnjnews, https://en.wikipedia.org/wiki/johnson %26 johnson",
danaher,"washington, dc, united states",united states,,1969,"78,000",rainer m blair,,208030000000,,,healthcare,"https://www.danaher.com, https://en.wikipedia.org/wiki/danaher corp.",
merck,"kenilworth, nj, united states",united states,,1891,"67,000",robert m davis jd,,210380000000,,,healthcare,"https://www.merck.com, https://en.wikipedia.org/wiki/merck %26 co",
bhp,"melbourne, vic, australia",australia,,1885,"40,110",mike p henry bsc bsc chem,,211250000000,,,basic materials,"https://www.bhp.com, https://www.facebook.com/bhp/, https://www.twitter.com/bhp, https://www.linkedin.com/company/bhp, https://en.wikipedia.org/wiki/bhp",
nike,"beaverton, or, united states",united states,,"january 25, 1964","73,300",john j donahoe ii,,213600000000,,,consumer discretionary,"https://www.nike.com, https://www.facebook.com/nike, https://twitter.com/nike, https://www.linkedin.com/company/nike, https://en.wikipedia.org/wiki/nike, inc.",
abbott,"north chicago, il, united states",united states,,1888,"113,000",robert b ford,,215020000000,,,healthcare,"https://www.abbott.com, https://www.facebook.com/abbott/, https://www.twitter.com/abbottglobal, https://www.linkedin.com/company/abbott-/, https://en.wikipedia.org/wiki/abbott laboratories",
verizon,"new york, ny, united states",united states,,"october 7, 1983","118,400",hans e vestberg,,216680000000,,,communication services,"https://www.verizon.com, https://www.facebook.com/verizon, https://twitter.com/verizon, https://www.linkedin.com/company/verizon, https://en.wikipedia.org/wiki/verizon communications",
comcast,"philadelphia, pa, united states",united states,,"june 28, 1963","189,000",brian l roberts,,218900000000,,,communication services,"https://corporate.comcast.com, https://en.wikipedia.org/wiki/comcast",
accenture,"dublin, ireland",ireland,,1989,"699,000",julie t spellman sweet,,219030000000,,,technology,"https://www.accenture.com, https://www.facebook.com/accenture, https://twitter.com/accenture, https://www.linkedin.com/company/accenture, https://en.wikipedia.org/wiki/accenture",
l'oreal,"clichy, france",france,,,"85,400",nicolas hieronimus,,225240000000,,,consumer staples,https://www.loreal.com,
oracle,"redwood city, ca, united states",united states,,"june 16, 1977","132,000",safra ada catz,,228180000000,,,technology,"https://www.oracle.com, https://twitter.com/crowdtwist, https://www.linkedin.com/company/crowdtwist-inc-/, https://en.wikipedia.org/wiki/oracle corp.",
thermo fisher scientific,"waltham, ma, united states",united states,,1956,"130,000",marc n casper,,236150000000,,,healthcare,"https://www.thermofisher.com, https://en.wikipedia.org/wiki/thermo fisher scientific",
cisco,"san jose, ca, united states",united states,,"december 10, 1984","79,500",charles h robbins,,238450000000,,,technology,"https://www.cisco.com, https://www.facebook.com/cisco, https://twitter.com/cisco, https://www.linkedin.com/company/cisco, https://en.wikipedia.org/wiki/cisco systems",
pepsico,"purchase, ny, united states",united states,,"august 28, 1898","309,000",ramon luis laguarta,,241050000000,,,consumer staples,"https://www.pepsico.com, https://www.facebook.com/pepsico, https://twitter.com/pepsico, https://www.linkedin.com/company/pepsico, https://en.wikipedia.org/wiki/pepsico",
disney,"burbank, ca, united states",united states,,"october 16, 1923","152,000",robert a chapek,,247880000000,,,communication services,"https://www.thewaltdisneycompany.com, https://twitter.com/disney, https://en.wikipedia.org/wiki/the walt disney company",
