name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
apple inc,,united states,,,,,,2825000000000.0,,technology,,,,,,
microsoft corporation,,united states,,,,,,2328000000000.0,,technology,,,,,,
saudi arabian oil company,,saudi arabia,,,,,,2297000000000.0,,energy,,,,,,
alphabet inc,,united states,,,,,,1825000000000.0,,communication services,,,,,,
amazoncom inc,,united states,,,,,,1642000000000.0,,consumer discretionary,,,,,,
tesla inc,,united states,,,,,,1016000000000.0,,consumer discretionary,,,,,,
berkshire hathaway inc,,united states,,,,,,798470000000.0,,financials,,,,,,
nvidia corporation,,united states,,,,,,660380000000.0,,technology,,,,,,
meta platforinc,,united states,,,,,,617500000000.0,,communication services,,,,,,
taiwan semiconductor manufacturing company limited,,taiwan,,,,,,527890000000.0,,technology,,,,,,
unitedhealth group incorporated,,united states,,,,,,488520000000.0,,healthcare,,,,,,
visa inc,,united states,,,,,,486770000000.0,,financials,,,,,,
johnson & johnson,,united states,,,,,,475930000000.0,,healthcare,,,,,,
tencent holdings ltd,,china,,,,,,441170000000.0,,communication services,,,,,,
walmart inc,,united states,,,,,,429050000000.0,,consumer staples,,,,,,
jpmorgan chase & co,,united states,,,,,,410840000000.0,,financials,,,,,,
the procter & gamble company,,united states,,,,,,384600000000.0,,consumer staples,,,,,,
samsung electronics co ltd,,south korea,,,,,,378350000000.0,,technology,,,,,,
lvmh moet hennessy - louis vuitton se,,france,,,,,,359260000000.0,,consumer discretionary,,,,,,
mastercard incorporated,,united states,,,,,,358600000000.0,,financials,,,,,,
bank of america corporation,,united states,,,,,,350840000000.0,,financials,,,,,,
roche holding ag,,switzerland,,,,,,349500000000.0,,healthcare,,,,,,
exxon mobil corporation,,united states,,,,,,348720000000.0,,energy,,,,,,
kweichow moutai co ltd,,china,,,,,,348220000000.0,,consumer staples,,,,,,
the home depot inc,,united states,,,,,,321470000000.0,,consumer discretionary,,,,,,
chevron corporation,,united states,,,,,,315130000000.0,,energy,,,,,,
pfizer inc,,united states,,,,,,300790000000.0,,healthcare,,,,,,
abbvie inc,,united states,,,,,,294270000000.0,,healthcare,,,,,,
alibaba group holding limited,,china,,,,,,290400000000.0,,consumer discretionary,,,,,,
asml holding nv,,netherlands,,,,,,274350000000.0,,technology,,,,,,
the coca-cola company,,united states,,,,,,273200000000.0,,consumer staples,,,,,,
eli lilly and company,,united states,,,,,,273010000000.0,,healthcare,,,,,,
