name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
volkswagen group,wolfsburg,,,,1937,"665,260",,,,automotive,,,,,,public
schwarz group aka lidl kaufland,neckarsulm,,,,1930,"429,000",,,,retail,,,,,,private
bmw group,munchen,,,,1916,"134,682",,,,automotive,,,,,,public
aldi discounter nord sud,e en and mulheim an der ruhr,,,,1913,"208,000",,,,retail,,,,,,private
robert bosch group,gerlingen-schillerhohe,,,,1886,"409,881",,,,automotive,,,,,,private
continental ag,hannover,,,,1871,"245,686",,,,automotive,,,,,,public
metro group,du eldorf,,,,1963,"150,000",,,,retail,,,,,,public
merckle group phoenix ka bohrer etc,ulm,,,,1881,"37,900",,,,a et & wealth management,,,,,,private
heraeus,hanau,,,,1851,"14,903",,,,industrial manufacturing,,,,,,private
henkel ag & co kgaa,du eldorf,,,,1876,"53,000",,,,consumer products,,,,,,public
bertelsmann se & co kgaa,gutersloh,,,,1835,"117,220",,,,media and entertainment,,,,,,private
boehringer ingelheim,ingelheim am rhein,,,,1885,"50,000",,,,pharmaceuticals and life sciences,,,,,,private
merck kgaa,darmstadt,,,,1668,"52,140",,,,pharmaceuticals and life sciences,,,,,,public
rethmann group,selm,,,,1934,"70,000",,,,energy and utilities,,,,,,private
schaeffler group,herzogenaurach,,,,1883,"92,478",,,,industrial manufacturing,,,,,,public
adolf wurth group,kunzelsau,,,,1945,"77,080",,,,industrial manufacturing,,,,,,private
otto group,hamburg,,,,1949,"50,000",,,,retail,,,,,,private
marquard & bahls ag,hamburg,,,,1947,"7,561",,,,energy and utilities,,,,,,private
mahle gmbh,stuttgart,,,,1920,"79,564",,,,automotive,,,,,,private
droege international group ag,du eldorf,,,,1988,"58,500",,,,profe ional services,,,,,,private
dm-drogerie markt gmbh co kg,karlsruhe,,,,1973,"61,721",,,,retail,,,,,,private
dirk ro mann gmbh,burgwedel,,,,1972,"56,000",,,,consumer products,,,,,,private
maxingvest ag,hamburg,,,,1949,"29,712",,,,consumer products,,,,,,private
freudenberg group,weinheim,,,,1849,"49,137",,,,industrial manufacturing,,,,,,private
helm ag,hamburg,,,,1900,"1,621",,,,industrial manufacturing,,,,,,private
tengelmann warenhandelsgesellschaft kg,mulheim an der ruhr,,,,1867,"86,000",,,,industrial manufacturing,,,,,,private
globus holding gmbh & co kg,st. wendel,,,,1828,"45,500",,,,consumer products,,,,,,private
gebr knauf kg,iphofen,,,,1932,"25,679",,,,industrial manufacturing,,,,,,private
august oetker kg,bielefeld,,,,1891,"30,937",,,,industrial manufacturing,,,,,,private
hella gmbh & co kgaa,lippstadt,,,,1899,"39,327",,,,automotive,,,,,,public
b braun melsungen ag,melsungen,,,,1839,"63,751",,,,healthcare,,,,,,private
knorr-breag,munchen,,,,1905,"29,149",,,,industrial manufacturing,,,,,,public
tonnies holding aps & co kg,rheda-wiedenbruck,,,,1971,"16,500",,,,foods and beverages,,,,,,private
brose fahrzeugteile gmbh & co kg coburg,coburg,,,,1908,"26,200",,,,automotive,,,,,,private
mhk group ag,dreieich,,,,1980,"29,883",,,,retail,,,,,,private
dkv mobility services group,ratingen,,,,1934,"1,000",,,,transportation and logistics,,,,,,private
e/d/e group,wuppertal,,,,1931,"1,103",,,,industrial manufacturing,,,,,,private
dachser se,kempten,,,,1930,"30,609",,,,transportation and logistics,,,,,,private
enercon group,aurich,,,,1984,"4,510",,,,industrial manufacturing,,,,,,private
deichmann se,e en,,,,1913,"26,075",,,,retail,,,,,,private
united internet ag,montabaur,,,,1988,"9,115",,,,telecommunications,,,,,,public
bartels-langne gmbh & co kg aka bela-group,kiel,,,,1892,"18,500",,,,consumer products,,,,,,private
wacker chemie ag,munchen,,,,1914,"14,744",,,,industrial manufacturing,,,,,,public
franz haniel & cie gmbh,duisburg,,,,1756,"18,824",,,,a et & wealth management,,,,,,private
eberspacher gruppe gmbh & co kg,e lingen,,,,1865,"9,489",,,,automotive,,,,,,private
gebr heinemann se & co kg,hamburg,,,,1879,"8,000",,,,retail,,,,,,private
hornbach holding ag & co kgaa,neustadt an der weinstrae,,,,1877,"21,668",,,,retail,,,,,,public
bechtle ag,neckarsulm,,,,1983,"10,005",,,,technology,,,,,,public
fritz draxlmaier gmbh & co kg,vilsbiburg,,,,1958,"68,553",,,,automotive,,,,,,private
voith gmbh & co kgaa,heidenheim,,,,1867,"19,627",,,,industrial manufacturing,,,,,,private
miele & cie kg,gutersloh,,,,1899,"20,098",,,,consumer products,,,,,,private
mannhummel gmbh,ludwigsburg,,,,1941,"20,535",,,,industrial manufacturing,,,,,,private
egon oldendorff gmbh & co kg,lubeck,,,,1921,"1,460",,,,transportation and logistics,,,,,,private
krones ag,neutraubling,,,,1951,"16,545",,,,industrial manufacturing,,,,,,public
claas group,harsewinkel,,,,1913,"11,132",,,,industrial manufacturing,,,,,,private
muller holding ltd & co kg,ulm,,,,1953,"34,000",,,,consumer products,,,,,,private
jungheinrich ag,hamburg,,,,1953,"17,877",,,,industrial manufacturing,,,,,,public
stihl holding ag & co kg,waiblingen,,,,1926,"17,122",,,,consumer products,,,,,,private
diehl verwaltungs-stiftung,nurnberg,,,,1902,"17,298",,,,industrial manufacturing,,,,,,private
der kreis einkaufsgesellschaft fur kuche und wohnen mbh & co kg,leonberg,,,,1979,180,,,,retail,,,,,,private
gauselmann group,espelkamp,,,,1957,"13,395",,,,industrial manufacturing,,,,,,private
norma discounter group,nurnberg,,,,1964,"15,000",,,,industrial manufacturing,,,,,,public
wilh werhahn kg,neu ,,,,1841,"10,161",,,,industrial manufacturing,,,,,,private
trumpf gmbh co kg,ditzingen,,,,1923,"13,420",,,,industrial manufacturing,,,,,,private
webasto se,stockdorf,,,,1901,"13,435",,,,automotive,,,,,,private
asklepios kliniken gmbh,hamburg,,,,1985,"35,327",,,,healthcare,,,,,,private
wieland group,ulm,,,,1820,"7,000",,,,industrial manufacturing,,,,,,private
hoyer energie,vi elhovede,,,,1924,"1,700",,,,energy and utilities,,,,,,private
festo ag & co kg,e lingen,,,,1925,"21,200",,,,industrial manufacturing,,,,,,private
sew-eurodrive,bruchsal,,,,1931,"17,500",,,,industrial manufacturing,,,,,,private
fti group,munchen,,,,1983,"10,000",,,,profe ional services,,,,,,private
axel springer se,berlin,,,,1946,"16,282",,,,media and entertainment,,,,,,public
sixt se,pullach,,,,1912,"7,540",,,,transportation and logistics,,,,,,public
sgroup,du eldorf,,,,1871,"13,872",,,,industrial manufacturing,,,,,,private
aunde group se,monchengladbach,,,,1899,"24,500",,,,automotive,,,,,,private
zech group gmbh,bremen,,,,1909,"10,700",,,,industrial manufacturing,,,,,,private
goldbeck gmbh,bielefeld,,,,1969,"5,500",,,,industrial manufacturing,,,,,,private
otto fuchs kg,meinerzhagen,,,,1910,"9,359",,,,industrial manufacturing,,,,,,private
