name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
volkswagen group,wolfsburg,,,1937,"665,260",,,,,,automotive,www.volkswagenag.de,public
schwarz group aka lidl kaufland,neckarsulm,,,1930,"429,000",,,,,,retail,www.lidl.de,private
bmw group,munchen,,,1916,"134,682",,,,,,automotive,www.bmwgroup.com,public
aldi discounter nord sud,e en and mulheim an der ruhr,,,1913,"208,000",,,,,,retail,www.aldi.de,private
robert bosch group,gerlingen-schillerhohe,,,1886,"409,881",,,,,,automotive,www.bosch.de,private
continental ag,hannover,,,1871,"245,686",,,,,,automotive,www.conti-online.com,public
metro group,du eldorf,,,1963,"150,000",,,,,,retail,www.metrogroup.de,public
merckle group phoenix ka bohrer etc,ulm,,,1881,"37,900",,,,,,a et & wealth management,-,private
heraeus,hanau,,,1851,"14,903",,,,,,industrial manufacturing,www.heraeus.com,private
henkel ag & co kgaa,du eldorf,,,1876,"53,000",,,,,,consumer products,www.henkel.de,public
bertelsmann se & co kgaa,gutersloh,,,1835,"117,220",,,,,,media and entertainment,www.bertelsmann.de,private
boehringer ingelheim,ingelheim am rhein,,,1885,"50,000",,,,,,pharmaceuticals and life sciences,www.boehringer-ingelheim.de,private
merck kgaa,darmstadt,,,1668,"52,140",,,,,,pharmaceuticals and life sciences,www.merckgroup.com,public
rethmann group,selm,,,1934,"70,000",,,,,,energy and utilities,www.rethmann-gruppe.de,private
schaeffler group,herzogenaurach,,,1883,"92,478",,,,,,industrial manufacturing,www.schaeffler.com/fork,public
adolf wurth group,kunzelsau,,,1945,"77,080",,,,,,industrial manufacturing,www.wuerth.de,private
otto group,hamburg,,,1949,"50,000",,,,,,retail,www.ottogroup.com,private
marquard & bahls ag,hamburg,,,1947,"7,561",,,,,,energy and utilities,www.mbholding.de,private
mahle gmbh,stuttgart,,,1920,"79,564",,,,,,automotive,www.mahle.com,private
droege international group ag,du eldorf,,,1988,"58,500",,,,,,profe ional services,www.droege-group.com,private
dm-drogerie markt gmbh co kg,karlsruhe,,,1973,"61,721",,,,,,retail,www.dm-drogeriemarkt.de,private
dirk ro mann gmbh,burgwedel,,,1972,"56,000",,,,,,consumer products,www.ro mann.de,private
maxingvest ag,hamburg,,,1949,"29,712",,,,,,consumer products,www.maxingvest.de,private
freudenberg group,weinheim,,,1849,"49,137",,,,,,industrial manufacturing,www.freudenberg.de,private
helm ag,hamburg,,,1900,"1,621",,,,,,industrial manufacturing,www.helmag.com,private
tengelmann warenhandelsgesellschaft kg,mulheim an der ruhr,,,1867,"86,000",,,,,,industrial manufacturing,www.tengelmann.de,private
globus holding gmbh & co kg,st. wendel,,,1828,"45,500",,,,,,consumer products,www.globus.de,private
gebr knauf kg,iphofen,,,1932,"25,679",,,,,,industrial manufacturing,www.knauf.de,private
august oetker kg,bielefeld,,,1891,"30,937",,,,,,industrial manufacturing,www.oetker-gruppe.com,private
hella gmbh & co kgaa,lippstadt,,,1899,"39,327",,,,,,automotive,www.hella.com,public
b braun melsungen ag,melsungen,,,1839,"63,751",,,,,,healthcare,www.bbraun.de,private
knorr-breag,munchen,,,1905,"29,149",,,,,,industrial manufacturing,www.knorr-bremse.de,public
tonnies holding aps & co kg,rheda-wiedenbruck,,,1971,"16,500",,,,,,foods and beverages,www.toennies.de,private
brose fahrzeugteile gmbh & co kg coburg,coburg,,,1908,"26,200",,,,,,automotive,www.brose.com,private
mhk group ag,dreieich,,,1980,"29,883",,,,,,retail,www.mhk.de,private
dkv mobility services group,ratingen,,,1934,"1,000",,,,,,transportation and logistics,www.dkv-euroservice.com,private
e/d/e group,wuppertal,,,1931,"1,103",,,,,,industrial manufacturing,www.ede.de,private
dachser se,kempten,,,1930,"30,609",,,,,,transportation and logistics,www.dachser.com,private
enercon group,aurich,,,1984,"4,510",,,,,,industrial manufacturing,www.enercon.de,private
deichmann se,e en,,,1913,"26,075",,,,,,retail,www.deichmann.com,private
united internet ag,montabaur,,,1988,"9,115",,,,,,telecommunications,www.united-internet.de,public
bartels-langne gmbh & co kg aka bela-group,kiel,,,1892,"18,500",,,,,,consumer products,www.bela.de,private
wacker chemie ag,munchen,,,1914,"14,744",,,,,,industrial manufacturing,www.wacker.com,public
franz haniel & cie gmbh,duisburg,,,1756,"18,824",,,,,,a et & wealth management,www.haniel.de,private
