name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
berkshire hathaway,,"omaha, nebraska",,,1939,,,,,,276,,,,,
icbc,,"beijing, china",,,1984,,,,,,208,,,,,
saudi arabian oil company saudi aramco,,"dhahran, saudi arabia",,,1933,,,,,,400,,,,,
jpmorgan chase,,"new york, new york",,,2000,,,,,,124,,,,,
china construction bank,,"beijing, china",,,2014,,,,,,202,,,,,
amazon,,"seattle, washington",,,1994,,,,,,469,,,,,
apple,,"cupertino, california",,,1976,,,,,,378,,,,,
agricultural bank of china,,"beijing, china",,,1979,,,,,,181,,,,,
bank of america,,"charlotte, north carolina",,,1904,,,,,,96,,,,,
toyota motor,,"toyota, japan",,,1937,,,,,,281,,,,,
alphabet,,"mountain view, california",,,1998,,,,,,257,,,,,
microsoft,,"redmond, washington",,,1975,,,,,,184,,,,,
bank of china,,"beijing, china",,,1929,,,,,,152,,,,,
samsung group,,"seoul, south korea",,,1938,,,,,,244,,,,,
exxonmobil,,"irving, texas",,,1999,,,,,,280,,,,,
shell,,"london, united kingdom",,,1907,,,,,,261,,,,,
ping an insurance group,,"shenzhen, china",,,1988,,,,,,181,,,,,
wells fargo,,"san francisco, california",,,1852,,,,,,84,,,,,
verizon communications,,"new york, new york",,,1983,,,,,,134,,,,,
at&t,,"dallas, texas",,,1876,,,,,,163,,,,,
petrochina,,"beijing, china",,,1999,,,,,,380,,,,,
unitedhealth group,,"minnetonka, minnesota",,,1977,,,,,,297,,,,,
walmart,,"bentonville, arkansas",,,1962,,,,,,572,,,,,
china merchants bank,,"shenzhen, china",,,1987,,,,,,71,,,,,
volkswagen group,,"wolfsburg, germany",,,1937,,,,,,295,,,,,
chevron,,"san ramon, california",,,1879,,,,,,156,,,,,
citigroup,,"new york, new york",,,1812,,,,,,79,,,,,
tencent holdings,,"shenzhen, china",,,1998,,,,,,86,,,,,
total,,"paris, france",,,1924,,,,,,185,,,,,
postal savings bank of china psbc,,"beijing, china",,,1919,,,,,,77,,,,,
china mobile,,"hong kong, hong kong",,,1997,,,,,,131,,,,,
comcast,,"philadelphia, pennsylvania",,,1963,,,,,,116,,,,,
alibaba group,,"hangzhou, china",,,1999,,,,,,129,,,,,
meta platforms,,"menlo park, california",,,2004,,,,,,117,,,,,
allianz,,"munich, germany",,,1890,,,,,,138,,,,,
morgan stanley,,"new york, new york",,,1924,,,,,,60,,,,,
goldman sachs group,,"new york, new york",,,1869,,,,,,62,,,,,
hsbc holdings,,"london, united kingdom",,,1865,,,,,,59,,,,,
bnp paribas,,"paris, france",,,1953,,,,,,127,,,,,
johnson & johnson,,"new brunswick, new jersey",,,1886,,,,,,94,,,,,
mercedes-benz group,,"stuttgart, germany",,,1883,,,,,,178,,,,,
cvs health,,"woonsocket, rhode island",,,1963,,,,,,292,,,,,
softbank,,"tokyo, japan",,,1981,,,,,,96,,,,,
sinopec,,"beijing, china",,,2000,,,,,,384,,,,,
rbc,,"montreal, canada",,,1864,,,,,,45,,,,,
nestle,,"vevey, switzerland",,,1866,,,,,,95,,,,,
axa group,,"paris, france",,,1816,,,,,,145,,,,,
gazprom,,"st. petersburg, russia",,,1989,,,,,,117,,,,,
bp,,"london, united kingdom",,,1909,,,,,,158,,,,,
intel,,"santa clara, california",,,1968,,,,,,79,,,,,
td bank group,,"toronto, canada",,,1855,,,,,,38,,,,,
nippon telegraph & tel,,"tokyo, japan",,,1952,,,,,,110,,,,,
reliance industries,,"mumbai, india",,,1973,,,,,,86,,,,,
industrial bank,,"fuzhou, china",,,1988,,,,,,60,,,,,
sony,,"tokyo , japan",,,1960,,,,,,89,,,,,
santander,,"madrid, spain",,,1857,,,,,,78,,,,,
mitsubishi ufj financial,,"tokyo, japan",,,2005,,,,,,48,,,,,
taiwan semiconductor,,"hsinchu, taiwan",,,1987,,,,,,61,,,,,
ford motor,,"oakville, ontario",,,1903,,,,,,136,,,,,
lvmh moet hennessy louis vuitton,,"paris, france",,,1987,,,,,,75,,,,,
bank of communications,,"shanghai, china",,,1908,,,,,,76,,,,,
procter & gamble,,"cincinnati, ohio",,,1837,,,,,,79,,,,,
bmw group,,"munich, germany",,,1916,,,,,,131,,,,,
