name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
berkshire hathaway,,"omaha, nebraska",,1939,,,,,,,,,
icbc,,"beijing, china",,1984,,,,,,,,,
saudi arabian oil company saudi aramco,,"dhahran, saudi arabia",,1933,,,,,,,,,
jpmorgan chase,,"new york, new york",,2000,,,,,,,,,
china construction bank,,"beijing, china",,2014,,,,,,,,,
amazon,,"seattle, washington",,1994,,,,,,,,,
apple,,"cupertino, california",,1976,,,,,,,,,
agricultural bank of china,,"beijing, china",,1979,,,,,,,,,
bank of america,,"charlotte, north carolina",,1904,,,,,,,,,
toyota motor,,"toyota, japan",,1937,,,,,,,,,
alphabet,,"mountain view, california",,1998,,,,,,,,,
microsoft,,"redmond, washington",,1975,,,,,,,,,
bank of china,,"beijing, china",,1929,,,,,,,,,
samsung group,,"seoul, south korea",,1938,,,,,,,,,
exxonmobil,,"irving, texas",,1999,,,,,,,,,
shell,,"london, united kingdom",,1907,,,,,,,,,
ping an insurance group,,"shenzhen, china",,1988,,,,,,,,,
wells fargo,,"san francisco, california",,1852,,,,,,,,,
verizon communications,,"new york, new york",,1983,,,,,,,,,
at&t,,"dallas, texas",,1876,,,,,,,,,
petrochina,,"beijing, china",,1999,,,,,,,,,
unitedhealth group,,"minnetonka, minnesota",,1977,,,,,,,,,
walmart,,"bentonville, arkansas",,1962,,,,,,,,,
china merchants bank,,"shenzhen, china",,1987,,,,,,,,,
volkswagen group,,"wolfsburg, germany",,1937,,,,,,,,,
chevron,,"san ramon, california",,1879,,,,,,,,,
citigroup,,"new york, new york",,1812,,,,,,,,,
tencent holdings,,"shenzhen, china",,1998,,,,,,,,,
total,,"paris, france",,1924,,,,,,,,,
postal savings bank of china psbc,,"beijing, china",,1919,,,,,,,,,
china mobile,,"hong kong, hong kong",,1997,,,,,,,,,
comcast,,"philadelphia, pennsylvania",,1963,,,,,,,,,
alibaba group,,"hangzhou, china",,1999,,,,,,,,,
meta platforms,,"menlo park, california",,2004,,,,,,,,,
allianz,,"munich, germany",,1890,,,,,,,,,
morgan stanley,,"new york, new york",,1924,,,,,,,,,
goldman sachs group,,"new york, new york",,1869,,,,,,,,,
hsbc holdings,,"london, united kingdom",,1865,,,,,,,,,
bnp paribas,,"paris, france",,1953,,,,,,,,,
johnson & johnson,,"new brunswick, new jersey",,1886,,,,,,,,,
mercedes-benz group,,"stuttgart, germany",,1883,,,,,,,,,
cvs health,,"woonsocket, rhode island",,1963,,,,,,,,,
softbank,,"tokyo, japan",,1981,,,,,,,,,
sinopec,,"beijing, china",,2000,,,,,,,,,
rbc,,"montreal, canada",,1864,,,,,,,,,
nestle,,"vevey, switzerland",,1866,,,,,,,,,
axa group,,"paris, france",,1816,,,,,,,,,
gazprom,,"st. petersburg, russia",,1989,,,,,,,,,
bp,,"london, united kingdom",,1909,,,,,,,,,
intel,,"santa clara, california",,1968,,,,,,,,,
td bank group,,"toronto, canada",,1855,,,,,,,,,
nippon telegraph & tel,,"tokyo, japan",,1952,,,,,,,,,
reliance industries,,"mumbai, india",,1973,,,,,,,,,
industrial bank,,"fuzhou, china",,1988,,,,,,,,,
sony,,"tokyo , japan",,1960,,,,,,,,,
santander,,"madrid, spain",,1857,,,,,,,,,
mitsubishi ufj financial,,"tokyo, japan",,2005,,,,,,,,,
taiwan semiconductor,,"hsinchu, taiwan",,1987,,,,,,,,,
ford motor,,"oakville, ontario",,1903,,,,,,,,,
lvmh moet hennessy louis vuitton,,"paris, france",,1987,,,,,,,,,
bank of communications,,"shanghai, china",,1908,,,,,,,,,
procter & gamble,,"cincinnati, ohio",,1837,,,,,,,,,
bmw group,,"munich, germany",,1916,,,,,,,,,
petrobras,,"rio de janeiro, brazil",,1953,,,,,,,,,
deutsche telekom,,"bonn, germany",,1995,,,,,,,,,
abbvie,,"north chicago, illinois",,2013,,,,,,,,,
novartis,,"basel, switzerland",,1996,,,,,,,,,
general motors,,"detroit, michigan",,1908,,,,,,,,,
equinor,,"stavanger, norway",,1972,,,,,,,,,
china life insurance,,"beijing, china",,2003,,,,,,,,,
roche holding,,"basel, switzerland",,1896,,,,,,,,,
aia group,,"hong kong, hong kong",,1919,,,,,,,,,
metlife,,"new york, new york",,1868,,,,,,,,,
bhp group,,"melbourne, australia",,1885,,,,,,,,,
american express,,"new york, new york",,1850,,,,,,,,,
stellantis,,"amsterdam, netherlands",,2021,,,,,,,,,
zurich insurance group,,"zurich, switzerland",,1872,,,,,,,,,
rosneft,,"moscow, russia",,1993,,,,,,,,,
rio tinto,,"london, united kingdom",,1873,,,,,,,,,
brookfield asset management,,"toronto, canada",,1899,,,,,,,,,
cigna,,"bloomfield, connecticut",,1792,,,,,,,,,
prudential financial,,"newark, new jersey",,1875,,,,,,,,,
pepsico,,"purchase, new york",,1965,,,,,,,,,
merck & co,,"kenilworth, new jersey",,1891,,,,,,,,,
elevance health,,"indianapolis, indiana",,2004,,,,,,,,,
bank of nova scotia,,"toronto, canada",,1832,,,,,,,,,
american international group,,"new york, new york",,1919,,,,,,,,,
glencore international,,"baar, switzerland",,1974,,,,,,,,,
cisco systems,,"san jose, california",,1984,,,,,,,,,
anheuser-busch inbev,,"leuven, belgium",,2008,,,,,,,,,
walt disney,,"burbank, california",,1923,,,,,,,,,
