name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
swappie,,finland,,,,2016,,,,,technology,,,,,,,,,,
kilo health,,lithuania,,,,2013,,,,,health,,,,,,,,,,
oci,,uk,,,,2012,,,,,financial services,,,,,,,,,,
onlyfans,,uk,,,,2016,,,,,technology,,,,,,,,,,
enpal,,germany,,,,2017,,,,,energy,,,,,,,,,,
consulting,,germany,,,,2017,,,,,waste management & recycling,,,,,,,,,,
thriva,,uk,,,,2015,,,,,health,,,,,,,,,,
exotec,,france,,,,2015,,,,,industrial goods,,,,,,,,,,
winelivery,,italy,,,,2015,,,,,ecommerce,,,,,,,,,,
instabox,,sweden,,,,2015,,,,,technology,,,,,,,,,,
waterdrop,,austria,,,,2016,,,,,food & beverage,,,,,,,,,,
one lease,,france,,,,2016,,,,,support services,,,,,,,,,,
datlas,,italy,,,,2017,,,,,technology,,,,,,,,,,
zego,,uk,,,,2016,,,,,fintech,,,,,,,,,,
hcl-logistics,,germany,,,,2017,,,,,transport,,,,,,,,,,
popsa,,uk,,,,2016,,,,,technology,,,,,,,,,,
unit8,,switzerland,,,,2017,,,,,technology,,,,,,,,,,
luoto company,,finland,,,,2016,,,,,technology,,,,,,,,,,
journi print,,austria,,,,2014,,,,,ecommerce,,,,,,,,,,
portify,,france,,,,2017,,,,,support services,,,,,,,,,,
tibber,,norway,,,,2015,,,,,energy,,,,,,,,,,
rascal industry,,poland,,,,2013,,,,,fashion,,,,,,,,,,
pegaso security,,italy,,,,2017,,,,,support services,,,,,,,,,,
tide,,uk,,,,2016,,,,,fintech,,,,,,,,,,
euro top brand,,italy,,,,2017,,,,,retail,,,,,,,,,,
bold security group,,uk,,,,2011,,,,,support services,,,,,,,,,,
play magnus group,,norway,,,,2013,,,,,games industry,,,,,,,,,,
blue whale growth fund,,uk,,,,2016,,,,,financial services,,,,,,,,,,
kazidomi,,belgium,,,,2016,,,,,ecommerce,,,,,,,,,,
sun finance,,latvia,,,,2012,,,,,fintech,,,,,,,,,,
credimi,,italy,,,,2015,,,,,financial services,,,,,,,,,,
sirplus,,germany,,,,2017,,,,,retail,,,,,,,,,,
aihr | academy to innovate hr,,the netherlands,,,,2016,,,,,education,,,,,,,,,,
logistics capital partners lcp,,luxembourg,,,,2015,,,,,property,,,,,,,,,,
sudwest invest,,germany,,,,2017,,,,,property,,,,,,,,,,
corade plurimmo,,france,,,,2000,,,,,property,,,,,,,,,,
carranco,,spain,,,,2006,,,,,food & beverage,,,,,,,,,,
telemedi,,poland,,,,2014,,,,,health,,,,,,,,,,
inkitt,,germany,,,,2014,,,,,technology,,,,,,,,,,
hktrading,,italy,,,,2016,,,,,retail,,,,,,,,,,
attest,,uk,,,,2015,,,,,technology,,,,,,,,,,
lgm immobilier,,france,,,,2016,,,,,property,,,,,,,,,,
wolfram chain,,the netherlands,,,,2017,,,,,management consulting,,,,,,,,,,
rightnow,,germany,,,,2017,,,,,technology,,,,,,,,,,
eo charging,,uk,,,,2014,,,,,technology,,,,,,,,,,
chetariffait,,italy,,,,2013,,,,,support services,,,,,,,,,,
simply,,uk,,,,2017,,,,,financial services,,,,,,,,,,
salary finance,,uk,,,,2015,,,,,fintech,,,,,,,,,,
dbt,,sweden,,,,2017,,,,,fintech,,,,,,,,,,
tutlo,,poland,,,,2016,,,,,education,,,,,,,,,,
ponera,,france,,,,2013,,,,,ecommerce,,,,,,,,,,
active energy solutions,,greece,,,,2014,,,,,energy,,,,,,,,,,
acteam enr,,france,,,,2012,,,,,energy,,,,,,,,,,
everflow,,uk,,,,2015,,,,,technology,,,,,,,,,,
azure prism,,uk,,,,2016,,,,,retail,,,,,,,,,,
wr logistics,,germany,,,,2017,,,,,transport,,,,,,,,,,
iproov,,uk,,,,2011,,,,,technology,,,,,,,,,,
spin up,,italy,,,,2017,,,,,advertising,,,,,,,,,,
begreat,,germany,,,,2012,,,,,retail,,,,,,,,,,
tsunami nutrition,,italy,,,,2017,,,,,ecommerce,,,,,,,,,,
matt sleeps,,the netherlands,,,,2016,,,,,interiors,,,,,,,,,,
tessian,,uk,,,,2013,,,,,technology,,,,,,,,,,
solarisbank,,germany,,,,2016,,,,,financial services,,,,,,,,,,
m2dg myflexoffice,,france,,,,2016,,,,,support services,,,,,,,,,,
eukon,,italy,,,,2004,,,,,health,,,,,,,,,,
evolution adv,,italy,,,,2016,,,,,advertising,,,,,,,,,,
making science,,spain,,,,2001,,,,,technology,,,,,,,,,,
everli,,italy,,,,2014,,,,,ecommerce,,,,,,,,,,
appfollow,,finland,,,,2014,,,,,technology,,,,,,,,,,
synerise,,poland,,,,2013,,,,,technology,,,,,,,,,,
chaikola,,poland,,,,2010,,,,,food & beverage,,,,,,,,,,
scolution,,germany,,,,2015,,,,,technology,,,,,,,,,,
jl&p,,france,,,,2017,,,,,energy,,,,,,,,,,
efarmacom,,italy,,,,2017,,,,,pharmaceuticals,,,,,,,,,,
elvie,,uk,,,,2013,,,,,technology,,,,,,,,,,
farmarelax,,italy,,,,2010,,,,,personal & household goods,,,,,,,,,,
omnisend,,uk,,,,2008,,,,,technology,,,,,,,,,,
world trade group,,italy,,,,2017,,,,,fashion,,,,,,,,,,
besteam conseil,,france,,,,2016,,,,,technology,,,,,,,,,,
motorway,,uk,,,,2016,,,,,automobiles,,,,,,,,,,
iso public services,,germany,,,,2014,,,,,technology,,,,,,,,,,
octopus energy,,uk,,,,2015,,,,,energy,,,,,,,,,,
cyberiam,,uk,,,,2017,,,,,cyber security,,,,,,,,,,
cbweed,,italy,,,,2017,,,,,personal & household goods,,,,,,,,,,
catraport,,portugal,,,,2015,,,,,automobiles,,,,,,,,,,
ouihelp,,france,,,,2016,,,,,support services,,,,,,,,,,
inpay,,denmark,,,,2013,,,,,fintech,,,,,,,,,,
mgi meccaniche generali irpine,,italy,,,,2017,,,,,industrial goods,,,,,,,,,,
