name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
great deals e-commerce corp,,philippines,,2017,385,,,,,,,https://www.greatdealscorp.com/,
pcl inc,,south korea,,2008,63,,,,,,,http://www.pclchip.com/,
spolive,,south korea,,2013,47,,,,,,,https://www.spolive.com/,
workmate,,singapore,,2015,82,,,,,,,https://www.workmate.asia/,
taimed biologics,,taiwan,,2007,78,,,,,,,http://www.taimedbiologics.com/,
sci ecommerce,,singapore,,2014,164,,,,,,,https://www.sciecomm.com/,
i-cy chaya,,thailand,,2012,7,,,,,,,http://www.icychaya.co.th/,
grow finance,,australia,,2016,52,,,,,,,https://www.grow.com.au/,
sambhv steel,,india,,2017,355,,,,,,,https://sambhv.com/,
inteluck,,philippines,,2014,108,,,,,,,https://www.inteluck.com/,
carro,,singapore,,2015,400,,,,,,,https://carro.sg/,
gopizza,,south korea,,2017,101,,,,,,,https://www.gopizza.kr/,
scaler by interviewbit,,india,,2016,594,,,,,,,https://www.interviewbit.com/,
pixie dust technologies,,japan,,2017,61,,,,,,,https://pixiedusttech.com/,
kioson,,indonesia,,2015,54,,,,,,,http://www.kioson.com/,
sci ecommerce,,singapore,,2014,92,,,,,,,https://www.sciecomm.com/,
electric kiwi,,new zealand,,2014,22,,,,,,,https://www.electrickiwi.co.nz/,
swappie,,finland,,2016,218,,,,,,,https://swappie.com/,
haulio,,singapore,,2016,21,,,,,,,https://www.haulio.io/,
digio,,india,,2016,13,,,,,,,https://www.digio.in/,
skillmatics,,india,,2016,60,,,,,,,https://www.skillmatics.in/,
struggle,,japan,,2015,40,,,,,,,http://www.strgl.co.jp/,
themathcompany,,india,,2016,285,,,,,,,https://themathcompany.com/,
kilo health,,lithuania,,2013,177,,,,,,,https://kilo.health/,
oci,,uk,,2012,32,,,,,,,https://www.oci-group.co.uk/,
roinet solution,,india,,2012,202,,,,,,,https://www.roinetsolution.com/,
glints intern,,singapore,,2013,318,,,,,,,https://glints.com/,
reqrea,,japan,,2016,34,,,,,,,https://reqrea.co.jp/,
roinet solution,,india,,2014,182,,,,,,,http://www.roinetsolution.com/,
global vision multimedia,,japan,,2016,28,,,,,,,https://www.gvm-av.com/,
onlyfans,,uk,,2016,800,,,,,,,https://onlyfans.com/,
bulb energy,,uk,,2015,575,,,,,,,https://bulb.com,
amberstudent,,india,,2015,120,,,,,,,https://amberstudent.com/,
tangerine telecom,,australia,,2014,100,,,,,,,https://www.tangerinetelecom.com.au/,
omkara,,india,,2014,39,,,,,,,https://omkaraarc.com/,
roadbull logistics,,singapore,,2015,135,,,,,,,https://roadbull.com/,
ai inside,,japan,,2015,67,,,,,,,https://inside.ai/,
sgs logistics,,australia,,2015,7,,,,,,,https://www.sgslogistics.com.au/,
enpal,,germany,,2017,365,,,,,,,https://www.enpal.de/,
sun finance,,latvia,,2012,750,,,,,,,https://sunfinance.group,
marketkurly,,south korea,,2015,"1,046",,,,,,,https://www.kurly.com/,
zigma global,,india,,2015,"1,096",,,,,,,https://www.zigma.in/,
greedygame,,india,,2013,60,,,,,,,https://greedygame.com/,
ecloudvalley,,taiwan,,2013,229,,,,,,,https://www.ecloudvalley.com/,
wakefit,,india,,2016,600,,,,,,,https://www.wakefit.co/,
consulting,,germany,,2017,9,,,,,,,https://www.mrc-herford.de/,
everflow group,,uk,,2015,46,,,,,,,https://www.everflowgroup.co.uk,
sankey solutions,,india,,2017,186,,,,,,,https://sankeysolutions.com/,
carro,,singapore,,2015,974,,,,,,,https://carro.sg/,
360f,,singapore,,2016,30,,,,,,,https://www.360f.com/,
ninja van logistics,,singapore,,2014,25655,,,,,,,https://www.ninjavan.co/,
spolive,,south korea,,2013,42,,,,,,,http://www.spolivecorp.co.kr/,
carsome,,malaysia,,2014,672,,,,,,,https://www.carsome.com/,
thriva,,uk,,2015,57,,,,,,,https://thriva.co/,
glencar construction,,uk,,2015,85,,,,,,,https://glencar.com,
br metals,,singapore,,2009,26,,,,,,,https://www.brmetalsltd.com/,
bulkings distribution,,singapore,,2017,20,,,,,,,https://www.bulkings.com.sg/,
t&r biofab,,south korea,,2013,72,,,,,,,http://www.tnrbiofab.com/,
market kurly,,south korea,,2014,358,,,,,,,https://www.kurly.com/,
blue wireless,,singapore,,2015,25,,,,,,,https://www.bluewireless.com/,
exotec,,france,,2015,200,,,,,,,https://www.exotec.com/,
winelivery,,italy,,2015,10,,,,,,,https://www.winelivery.com/,
spyrosoft,,poland,,2016,376,,,,,,,https://spyro-soft.com,
blue motor finance,,united kingdom,,1992,155,,,,,,,https://blue.co.uk,
ai inside,,japan,,2015,102,,,,,,,https://inside.ai/,
flexing it,,india,,2014,25,,,,,,,https://www.flexingit.com/,
stylist in pocket technologies inc,,philippines,,2016,43,,,,,,,http://www.stylistinpocket.com/,
reddoorz,,singapore,,2015,1556,,,,,,,https://www.reddoorz.com/,
cardoc,,south korea,,2014,64,,,,,,,https://www.cardoc.co.kr/,
ethique,,new zealand,,2012,9,,,,,,,https://ethiqueworld.com/,
instabox,,sweden,,2015,117,,,,,,,https://instabox.io/se-en/,
waterdrop,,austria,,2016,180,,,,,,,https://eu.waterdrop.com/,
kolibri games,,germany,,2016,91,,,,,,,https://www.kolibrigames.com,
