name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
enel spa,,,,,,,,,,,,,,,"viale regina margherita 137, roma, 00198, roma, italy",corporation
esselunga spa,,,,,,,,,,,,,,,"via giambologna 1, pioltello, 20096, milano, italy",corporation
superit srl,,,,,,,,,,,,,,,"via vittor pisani 20, milano, 20124, milano, italy",corporation
saras spa,,,,,,,,,,,,,,,"galleria passarella 2, milano, 20122, milano, italy",corporation
unicredit spa,,,,,,,,,,,,,,,"piazza gae aulenti 3 tower a, milano, 20154, milano, italy",corporation
send to me srl,,,,,,,,,,,,,,,"viale ungheria 46, milano, 20138, milano, italy",corporation
intesa sanpaolo vita spa,,,,,,,,,,,,,,,"corso inghilterra 3, torino, 10138, torino, italy",corporation
unipolsai assicurazioni spa,,,,,,,,,,,,,,,"via stalingrado 45, bologna, 40128, bologna, italy",corporation
totalenergies petrochemicals & refining sa nv,,,,,,,,,,,,,,,"via rombon 11, milano, 20134, milano, italy",foreign company
sanastera spa,,,,,,,,,,,,,,,"piazza minghetti 4/d, bologna, 40124, bologna, italy",corporation
hera spa,,,,,,,,,,,,,,,"viale carlo berti pichat 2/4, bologna, 40127, bologna, italy",corporation
esso italiana srl,,,,,,,,,,,,,,,"viale cassala 57, milano, 20143, milano, italy",corporation
poste italiane spa,,,,,,,,,,,,,,,"viale europa 190, roma, 00144, roma, italy",corporation
a2a spa,,,,,,,,,,,,,,,"corso di porta vittoria 4, milano, 20122, milano, italy",corporation
arrow electronics emeasa srl,,,,,,,,,,,,,,,"viale dell'innovazione 3, milano, 20126, milano, italy",corporation
edison spa,,,,,,,,,,,,,,,"foro buonaparte 31, milano, 20121, milano, italy",corporation
ferrovie dello stato italiane spa,,,,,,,,,,,,,,,"piazza della croce rossa 1, roma, 00161, roma, italy",corporation
prysmian spa,,,,,,,,,,,,,,,"via chiese 6, milano, 20126, milano, italy",corporation
leonardo spa,,,,,,,,,,,,,,,"piazza monte grappa 4, roma, 00195, roma, italy",corporation
generali italia spa,,,,,,,,,,,,,,,"via marocchesa 14, mogliano veneto, 31021, treviso, italy",corporation
enel energia spa,,,,,,,,,,,,,,,"via san giovanni sul muro 9, milano, 20121, milano, italy",corporation
intesa sanpaolo spa,,,,,,,,,,,,,,,"via monte di pieta' 8, milano, 20121, milano, italy",corporation
telecom italia spa,,,,,,,,,,,,,,,"via gaetano negri 1, milano, 20123, milano, italy",corporation
poste vita spa,,,,,,,,,,,,,,,"viale europa 190, roma, 00144, roma, italy",corporation
fca italy spa in forma fiat chrysler automobiles e in forma abbreviato fiat group autom,,,,,,,,,,,,,,,"corso giovanni agnelli 200, torino, 10135, torino, italy",corporation
enel italia spa,,,,,,,,,,,,,,,"viale regina margherita 125, roma, 00198, roma, italy",corporation
gestore dei mercati energetici spa,,,,,,,,,,,,,,,"viale maresciallo pilsudski 122/124, roma, 00197, roma, italy",corporation
amazon eu sa rl,,,,,,,,,,,,,,,"viale monte grappa 3/5, milano, 20124, milano, italy",foreign company
