name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
enel spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"viale regina margherita 137, roma, 00198, roma, italy",corporation
esselunga spa,,,,,,,,,,,,retail trade,,,,,,,,"via giambologna 1, pioltello, 20096, milano, italy",corporation
superit srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via vittor pisani 20, milano, 20124, milano, italy",corporation
saras spa,,,,,,,,,,,,manufacturing,,,,,,,,"galleria passarella 2, milano, 20122, milano, italy",corporation
unicredit spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"piazza gae aulenti 3 tower a, milano, 20154, milano, italy",corporation
send to me srl,,,,,,,,,,,,services,,,,,,,,"viale ungheria 46, milano, 20138, milano, italy",corporation
intesa sanpaolo vita spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"corso inghilterra 3, torino, 10138, torino, italy",corporation
unipolsai assicurazioni spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via stalingrado 45, bologna, 40128, bologna, italy",corporation
totalenergies petrochemicals & refining sa nv,,,,,,,,,,,,wholesale trade,,,,,,,,"via rombon 11, milano, 20134, milano, italy",foreign company
sanastera spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"piazza minghetti 4/d, bologna, 40124, bologna, italy",corporation
hera spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"viale carlo berti pichat 2/4, bologna, 40127, bologna, italy",corporation
esso italiana srl,,,,,,,,,,,,wholesale trade,,,,,,,,"viale cassala 57, milano, 20143, milano, italy",corporation
poste italiane spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"viale europa 190, roma, 00144, roma, italy",corporation
a2a spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"corso di porta vittoria 4, milano, 20122, milano, italy",corporation
arrow electronics emeasa srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"viale dell'innovazione 3, milano, 20126, milano, italy",corporation
edison spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"foro buonaparte 31, milano, 20121, milano, italy",corporation
ferrovie dello stato italiane spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"piazza della croce rossa 1, roma, 00161, roma, italy",corporation
prysmian spa,,,,,,,,,,,,wholesale trade,,,,,,,,"via chiese 6, milano, 20126, milano, italy",corporation
leonardo spa,,,,,,,,,,,,manufacturing,,,,,,,,"piazza monte grappa 4, roma, 00195, roma, italy",corporation
generali italia spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via marocchesa 14, mogliano veneto, 31021, treviso, italy",corporation
enel energia spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via san giovanni sul muro 9, milano, 20121, milano, italy",corporation
intesa sanpaolo spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via monte di pieta' 8, milano, 20121, milano, italy",corporation
telecom italia spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via gaetano negri 1, milano, 20123, milano, italy",corporation
poste vita spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"viale europa 190, roma, 00144, roma, italy",corporation
fca italy spa in forma fiat chrysler automobiles e in forma abbreviato fiat group autom,,,,,,,,,,,,manufacturing,,,,,,,,"corso giovanni agnelli 200, torino, 10135, torino, italy",corporation
enel italia spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"viale regina margherita 125, roma, 00198, roma, italy",corporation
gestore dei mercati energetici spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"viale maresciallo pilsudski 122/124, roma, 00197, roma, italy",corporation
amazon eu sa rl,,,,,,,,,,,,retail trade,,,,,,,,"viale monte grappa 3/5, milano, 20124, milano, italy",foreign company
gestore dei servizi energetici - gse spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"viale maresciallo pilsudski 92, roma, 00197, roma, italy",corporation
eni spa,,,,,,,,,,,,manufacturing,,,,,,,,"piazzale enrico mattei 1, roma, 00144, roma, italy",corporation
iveco spa,,,,,,,,,,,,manufacturing,,,,,,,,"via puglia 35, torino, 10156, torino, italy",corporation
lidl italia srl,,,,,,,,,,,,wholesale trade,,,,,,,,"via augusto ruffo 36, arcole, 37040, verona, italy",corporation
webuild spa,,,,,,,,,,,,construction,,,,,,,,"centro direzionale milanofiori snc, rozzano, 20089, milano, italy",corporation
atlantia spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"piazza di san silvestro 8, roma, 00187, roma, italy",corporation
salini costruttori spa,,,,,,,,,,,,construction,,,,,,,,"via del lauro 3, milano, 20121, milano, italy",corporation
amazon web services emea sarl,,,,,,,,,,,,services,,,,,,,,"viale monte grappa 3/5, milano, 20124, milano, italy",foreign company
allianz spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"piazza tre torri 3, milano, 20145, milano, italy",corporation
mediolanum vita spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via francesco sforza, basiglio, 20079, milano, italy",corporation
engie italia spa,,,,,,,,,,,,services,,,,,,,,"viale fulvio testi 280, milano, 20126, milano, italy",corporation
enel global trading spa,,,,,,,,,,,,wholesale trade,,,,,,,,"viale regina margherita 125, roma, 00198, roma, italy",corporation
hera trading srl,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via molino rosso 8, imola, 40026, bologna, italy",corporation
alleanza assicurazioni spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"piazza fidia 1, milano, 20159, milano, italy",corporation
marco polo international italy srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via san primo 4, milano, 20121, milano, italy",corporation
fincantieri spa,,,,,,,,,,,,manufacturing,,,,,,,,"via genova 1, trieste, 34121, trieste, italy",corporation
eurospin italia spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via campalto 3/d, san martino buon albergo, 37036, verona, italy",corporation
e-distribuzione spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via carlo felice 35, sassari, 07100, sassari, italy",corporation
saipem spa,,,,,,,,,,,,construction,,,,,,,,"via martiri di cefalonia 67, san donato milanese, 20097, milano, italy",corporation
enel produzione spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"viale regina margherita 125, roma, 00198, roma, italy",corporation
guccio gucci spa,,,,,,,,,,,,manufacturing,,,,,,,,"via don lorenzo perosi 6, scandicci, 50018, firenze, italy",corporation
pirelli & c spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"viale piero e alberto pirelli 25, milano, 20126, milano, italy",corporation
unicredit allianz vita spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"piazza tre torri 3, milano, 20145, milano, italy",corporation
acquirente unico spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via guidubaldo del monte 45, roma, 00197, roma, italy",corporation
volkswagen group italia spa,,,,,,,,,,,,retail trade,,,,,,,,"viale gerard richard gumpert 1, verona, 37137, verona, italy",corporation
versalis spa,,,,,,,,,,,,manufacturing,,,,,,,,"piazza marcello boldrini 1, san donato milanese, 20097, milano, italy",corporation
a menarini industrie farmaceutiche riunite srl,,,,,,,,,,,,manufacturing,,,,,,,,"via dei sette santi 3, firenze, 50131, firenze, italy",corporation
barilla holding srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via mantova 166, parma, 43122, parma, italy",corporation
guido m barilla e flli sapa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via mantova 166, parma, 43122, parma, italy",corporation
cremonini spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via modena 53, castelvetro di modena, 41014, modena, italy",corporation
cremofin srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via modena 53, castelvetro di modena, 41014, modena, italy",corporation
societa' europea veicoli leggeri sevel spa,,,,,,,,,,,,manufacturing,,,,,,,,"viale avvocato giovanni agnelli 10, atessa, 66041, chieti, italy",corporation
ferrari - societa'per azioni esercizio fabbriche automobili e corse,,,,,,,,,,,,manufacturing,,,,,,,,"via abetone inferiore 2, maranello, 41053, modena, italy",corporation
credit agricole vita spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"strada dell'universita' 1, parma, 43121, parma, italy",corporation
sonatrach raffineria italiana srl,,,,,,,,,,,,manufacturing,,,,,,,,"contrada marcellino c.p. 88 snc, augusta, 96011, siracusa, italy",corporation
coop alleanza 30 soc coop,,,,,,,,,,,,retail trade,,,,,,,,"via villanova 29/7, castenaso, 40055, bologna, italy",corporation
chimet spa,,,,,,,,,,,,manufacturing,,,,,,,,"via dei laghi 31/33, civitella in val di chiana, 52041, arezzo, italy",corporation
riva forni elettrici spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"viale certosa 249, milano, 20151, milano, italy",corporation
nuovo pig holding spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via felice matteucci 2, firenze, 50127, firenze, italy",corporation
zeor finanziaria spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via di porta pinciana 4, roma, 00187, roma, italy",corporation
autostrade per l'italia spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via alberto bergamini 50, roma, 00159, roma, italy",corporation
trenitalia spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"piazza della croce rossa 1, roma, 00161, roma, italy",corporation
fideuram vita spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via ennio quirino visconti 80, roma, 00193, roma, italy",corporation
marcegaglia holding srl,,,,,,,,,,,,manufacturing,,,,,,,,"via bresciani 16, gazoldo degli ippoliti, 46040, mantova, italy",corporation
vodafone italia spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via guglielmo jervis 13, ivrea, 10015, torino, italy",corporation
edison energia spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"foro buonaparte 31, milano, 20121, milano, italy",corporation
italpreziosi spa,,,,,,,,,,,,manufacturing,,,,,,,,"localita' san zeno zona industriale strada a 32, arezzo, 52100, arezzo, italy",corporation
assicurazioni generali spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"piazza luigi amedeo duca degli abruzzi 2, trieste, 34132, trieste, italy",corporation
groupe psa italia spa,,,,,,,,,,,,retail trade,,,,,,,,"via plava 80, torino, 10135, torino, italy",corporation
finanziaria d'investimento fininvest spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via pietro paleocapa 3, milano, 20121, milano, italy",corporation
cassa depositi e prestiti spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via goito 4, roma, 00185, roma, italy",corporation
aurelia srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"strada statale per novi ligure 3/13, tortona, 15057, alessandria, italy",corporation
aia agricola italiana alimentare spa,,,,,,,,,,,,wholesale trade,,,,,,,,"via valpantena 18/g, verona, 37142, verona, italy",corporation
banco bpm spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"piazza nogara 2, verona, 37121, verona, italy",corporation
acea spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"piazzale ostiense 2, roma, 00154, roma, italy",corporation
b&d holding spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via giovanni da verrazzano 15, novara, 28100, novara, italy",corporation
