name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
apple,,usa,,,,tim cook,,"2,510.000 billion usd",,,,,
microsoft corporation,,usa,,,,,,"2,269.000 billion usd",,,,,
saudi arabian oil company saudi aramco,,saudi arabia,,,,he yasir othman al-rumayyan,,"1,891.600 billion usd",,,,,
alphabet,,usa,,,,john l hennessy,,"1,934.000 billion usd",,,,,
amazoncom,,usa,,,,andy jassy,,"1,758.000 billion usd",,,,,
tesla,,usa,,,,elon musk,,737020000000,,,,,
meta platforms,,usa,,,,mark zuckerberg,,"1,070.000 billion usd",,,,,
berkshire hathaway,,usa,,,,warren buffett,,646790000000,,,,,
nvidia corporation,,usa,,,,jensen huang,,557830000000,,,,,
taiwan semiconductor manufacturing company tsmc,,taiwan,,,,mark liu,,617200000000,,,,,
toyota motor corporation,,japan,,,,,,244750000000,,,,,
coca-cola company,,usa,,,,james quincey,,243070000000,,,,,
cisco systems,,usa,,,,chuck robbins,,248720000000,,,,,
broadcom,,usa,,,,henry samueli,,203990000000,,,,,
prosus,,netherlands,,,,,,283050000000,,,,,
icbc,,china,,,,chen siqing,,244010000000,,,,,
l'oreal,,france,,,,,,262430000000,,,,,
nike,,usa,,,,mark parker,,260800000000,,,,,
eli lilly and company,,usa,,,,juan r luciano,,247070000000,,,,,
adobe,,usa,,,,shantanu narayen,,316190000000,,,,,
tencent,,china,,,,ma huateng,,609440000000,,,,,
j p morgan chase & co,,usa,,,,william b harrison jr,,477960000000,,,,,
visa,,usa,,,,alfred f kelly jr,,502740000000,,,,,
johnson & johnson,,usa,,,,william c weldon,,455760000000,,,,,
samsung electronics,,south korea,,,,lee kun-hee,,444460000000,,,,,
unitedhealth group,,usa,,,,andrew witty,,392510000000,,,,,
home depot,,usa,,,,frank blake,,345210000000,,,,,
lvmh,,france,,,,bernard arnault,,380100000000,,,,,
bank of america corporation,,usa,,,,brian moynihan,,351320000000,,,,,
walmart,,usa,,,,doug mcmillon,,415000000000,,,,,
procter & gamble company,,usa,,,,jon r moeller,,345770000000,,,,,
kweichow moutai,,china,,,,li bao fang,,305700000000,,,,,
nestle ag,,switzerland,,,,suresh narayanan,,348550000000,,,,,
mastercard,,usa,,,,michael miebach,,341650000000,,,,,
roche holding ag,,switzerland,,,,christoph franz,,350650000000,,,,,
alibaba group holding,,china,,,,daniel zhang,,453300000000,,,,,
pfizer,,usa,,,,albert bourla,,258300000000,,,,,
asml holding,,netherlands,,,,gerard kleisterlee,,341360000000,,,,,
exxon mobil corporation,,usa,,,,darren w woods,,230810000000,,,,,
the walt disney company,,usa,,,,susan arnold,,329450000000,,,,,
qualcomm,,usa,,,,paul e jacobs,,165470000000,,,,,
novartis ag,,switzerland,,,,joerg reinhardt,,206760000000,,,,,
china merchants bank,,china,,,,miao jianmin,,198770000000,,,,,
mcdonald's corporation,,usa,,,,enrique hernandez,,177340000000,,,,,
contemporary amperex technology,,china,,,,ying ming wu,,170700000000,,,,,
tata consultancy services tcs,,india,,,,,,195160000000,,,,,
united parcel service ups,,usa,,,,william r johnson,,170400000000,,,,,
at&t,,usa,,,,edward whitacre jr,,195780000000,,,,,
morgan stanley,,usa,,,,james p gorman,,190540000000,,,,,
china construction bank corporation,,china,,,,tian guoli,,186030000000,,,,,
royal dutch shell,,netherlands,,,,,,155530000000,,,,,
astrazeneca,,uk,,,,,,181450000000,,,,,
the charles schwab corporation,,usa,,,,charles r schwab,,137540000000,,,,,
hermes international,,france,,,,,,155710000000,,,,,
linde ag,,uk,,,,,,162340000000,,,,,
nextera energy,,usa,,,,james l robo,,164770000000,,,,,
lowe's companies,,usa,,,,marvin ellison,,141940000000,,,,,
texas instruments,,usa,,,,thomas j engibous,,176730000000,,,,,
union pacific corporation,,usa,,,,lance m fritz,,141410000000,,,,,
bhp group,,australia,,,,,,167240000000,,,,,
chevron corporation,,usa,,,,mike wirth,,187140000000,,,,,
pepsico,,usa,,,,ramon l laguarta,,216150000000,,,,,
abbott laboratories,,usa,,,,robert ford,,224030000000,,,,,
netflix,,usa,,,,reed hastings,,251920000000,,,,,
tata group,,india,,,,ratan n tata,,,,,,,
thermo fisher scientific,,usa,,,,marc n casper,,219270000000,,,,,
abbvie,,usa,,,,richard a gonzalez,,213440000000,,,,,
costco wholesale corporation,,usa,,,,hamilton e james,,201360000000,,,,,
accenture,,ireland,,,,pierre nanterme,,213430000000,,,,,
oracle corporation,,usa,,,,larry ellison,,249740000000,,,,,
sap se,,germany,,,,hasso plattner,,178440000000,,,,,
toronto-dominion bank,,canada,,,,brian m levitt,,118220000000,,,,,
petrochina company,,china,,,,dai houliang,,128699999999,,,,,
christian dior,,france,,,,pietro beccari,,139230000000,,,,,
agricultural bank of china,,china,,,,gu shu,,160550000000,,,,,
intuit,,usa,,,,suzanne nora johnson,,154690000000,,,,,
meituan dianping,,china,,,,wang xing,,201890000000,,,,,
royal bank of canada,,canada,,,,david i mckay,,146400000000,,,,,
advanced micro devices amd,,usa,,,,hector de j ruiz,,134300000000,,,,,
sony corporation,,japan,,,,kenichiro yoshida,,129060000000,,,,,
philip morris international,,usa,,,,jacek olczak,,160530000000,,,,,
ping an insurance group company of china,,china,,,,peter ma,,145860000000,,,,,
honeywell international,,usa,,,,,,160110000000,,,,,
shopify,,canada,,,,tobias albin lutke,,190100000000,,,,,
keyence corporation,,japan,,,,yu nakata,,148070000000,,,,,
medtronic,,ireland,,,,geoff martha,,179590000000,,,,,
bristol-myers squibb company,,usa,,,,caforio,,148570000000,,,,,
siemens,,germany,,,,,,131560000000,,,,,
totalenergies se,,france,,,,,,117070000000,,,,,
cvs health corporation,,usa,,,,david w dorman,,114000000000,,,,,
novo nordisk a/s,,denmark,,,,helge lund,,229040000000,,,,,
comcast corporation,,usa,,,,brian l roberts,,278500000000,,,,,
verizon communications,,usa,,,,hans vestberg,,227710000000,,,,,
salesforcecom,,usa,,,,marc benioff,,259700000000,,,,,
reliance industries,,india,,,,,,214910000000,,,,,
paypal holdings,,usa,,,,john j donahoe,,339180000000,,,,,
wells fargo & company,,usa,,,,steven black,,187660000000,,,,,
intel corporation,,usa,,,,patrick p gelsinger,,219320000000,,,,,
