name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
apple,,usa,,,,,tim cook,2825000000000,,,,,,,,
microsoft corporation,,usa,,,,,satya nadella,2358000000000,,,,,,,,
saudi arabian oil company saudi aramco,,saudi arabia,,,,,amin h al-nasser,1889600000000,,,,,,,,
alphabet,,usa,,,,,sundar pichai,1820000000000,,,,,,,,
amazoncom,,usa,,,,,andy jassy,1649000000000,,,,,,,,
tesla,,usa,,,,,elon musk,1031000000000,,,,,,,,
meta platforms,,usa,,,,,mark zuckerberg,922960000000,,,,,,,,
berkshire hathaway,,usa,,,,,warren buffett,711750000000,,,,,,,,
nvidia corporation,,usa,,,,,jensen huang,679000000000,,,,,,,,
taiwan semiconductor manufacturing company tsmc,,taiwan,,,,,c c wei,640480000000,,,,,,,,
tencent,,china,,,,,ma huateng,545360000000,,,,,,,,
j p morgan chase & co,,usa,,,,,jamie dimon,494000000000,,,,,,,,
visa,,usa,,,,,alfred f kelly jr,471630000000,,,,,,,,
johnson & johnson,,usa,,,,,joaquin duato,457940000000,,,,,,,,
samsung electronics,,south korea,,,,,kim hyun suk koh dong-jin kim ki nam,438840000000,,,,,,,,
unitedhealth group,,usa,,,,,andrew witty,431930000000,,,,,,,,
home depot,,usa,,,,,craig menear,411020000000,,,,,,,,
lvmh,,france,,,,,bernard arnault,409480000000,,,,,,,,
bank of america corporation,,usa,,,,,brian moynihan,402490000000,,,,,,,,
walmart,,usa,,,,,doug mcmillon,401910000000,,,,,,,,
procter & gamble company,,usa,,,,,jon r moeller,393820000000,,,,,,,,
kweichow moutai,,china,,,,,li bao fang,382350000000,,,,,,,,
nestle ag,,switzerland,,,,,ulf mark schneider,372720000000,,,,,,,,
mastercard,,usa,,,,,michael miebach,363200000000,,,,,,,,
roche holding ag,,switzerland,,,,,severin schwan,356150000000,,,,,,,,
alibaba group holding,,china,,,,,daniel zhang,351900000000,,,,,,,,
pfizer,,usa,,,,,albert bourla,312750000000,,,,,,,,
asml holding,,netherlands,,,,,peter wennink,307330000000,,,,,,,,
exxon mobil corporation,,usa,,,,,darren woods,291610000000,,,,,,,,
the walt disney company,,usa,,,,,bob chapek,286880000000,,,,,,,,
toyota motor corporation,,japan,,,,,akio toyoda,276740000000,,,,,,,,
coca-cola company,,usa,,,,,james quincey,260590000000,,,,,,,,
cisco systems,,usa,,,,,chuck robbins,257820000000,,,,,,,,
broadcom,,usa,,,,,hock e tan,255630000000,,,,,,,,
prosus,,netherlands,,,,,bob van dijk,254550000000,,,,,,,,
icbc,,china,,,,,nicolas jimenez,252550000000,,,,,,,,
l'oreal,,france,,,,,jean paul agon,249140000000,,,,,,,,
nike,,usa,,,,,john donahoe,248460000000,,,,,,,,
eli lilly and company,,usa,,,,,david a ricks,248240000000,,,,,,,,
adobe,,usa,,,,,shantanu narayen,242990000000,,,,,,,,
chevron corporation,,usa,,,,,michael wirth,241020000000,,,,,,,,
pepsico,,usa,,,,,ramon laguarta,240690000000,,,,,,,,
abbott laboratories,,usa,,,,,robert ford,239710000000,,,,,,,,
netflix,,usa,,,,,ted sarandos reed hastings,239660000000,,,,,,,,
tata group,,india,,,,,,,,,,,,,,
thermo fisher scientific,,usa,,,,,marc n casper,239220000000,,,,,,,,
abbvie,,usa,,,,,richard a gonzalez,238450000000,,,,,,,,
costco wholesale corporation,,usa,,,,,w craig jelinek,237760000000,,,,,,,,
accenture,,ireland,,,,,julie sweet,234500000000,,,,,,,,
oracle corporation,,usa,,,,,safra a catz,233690000000,,,,,,,,
novo nordisk a/s,,denmark,,,,,lars fruergaard jorgensen,231350000000,,,,,,,,
comcast corporation,,usa,,,,,brian l roberts,228670000000,,,,,,,,
verizon communications,,usa,,,,,hans vestberg,227690000000,,,,,,,,
salesforcecom,,usa,,,,,marc benioff,224880000000,,,,,,,,
reliance industries,,india,,,,,mukesh ambani,220760000000,,,,,,,,
paypal holdings,,usa,,,,,daniel schulman,220420000000,,,,,,,,
wells fargo & company,,usa,,,,,charles w scharf,218380000000,,,,,,,,
intel corporation,,usa,,,,,patrick p gelsinger,217340000000,,,,,,,,
danaher corporation,,usa,,,,,rainer m blair,211280000000,,,,,,,,
merck & co,,usa,,,,,robert m davis,202830000000,,,,,,,,
qualcomm,,usa,,,,,cristiano r aman,202060000000,,,,,,,,
novartis ag,,switzerland,,,,,vasant narasimhan,201260000000,,,,,,,,
