name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
apple,,usa,,,,,"154,000",tim cook,,,,,,,,,,,,,
microsoft corporation,,usa,,,,,"220,000",satya nadella,,,,,,,,,,,,,
saudi arabian oil company saudi aramco,,saudi arabia,,,,,"79,800",amin h al-nasser,,,,,,,,,,,,,
alphabet,,usa,,,,,"156,500",sundar pichai,,,,,,,,,,,,,
amazoncom,,usa,,,,,"1,335,000",andy jassy,,,,,,,,,,,,,
tesla,,usa,,,,,"99,290",elon musk,,,,,,,,,,,,,
meta platforms,,usa,,,,,"77,805",mark zuckerberg,,,,,,,,,,,,,
berkshire hathaway,,usa,,,,,"372,000",warren buffett,,,,,,,,,,,,,
nvidia corporation,,usa,,,,,"18,975",jensen huang,,,,,,,,,,,,,
taiwan semiconductor manufacturing company tsmc,,taiwan,,,,,"65,152",c c wei,,,,,,,,,,,,,
tencent,,china,,,,,"112,771",ma huateng,,,,,,,,,,,,,
j p morgan chase & co,,usa,,,,,"271,025",jamie dimon,,,,,,,,,,,,,
visa,,usa,,,,,"21,500",alfred f kelly jr,,,,,,,,,,,,,
johnson & johnson,,usa,,,,,"141,700",joaquin duato,,,,,,,,,,,,,
samsung electronics,,south korea,,,,,"113,753",kim hyun suk koh dong-jin kim ki nam,,,,,,,,,,,,,
unitedhealth group,,usa,,,,,"350,000",andrew witty,,,,,,,,,,,,,
home depot,,usa,,,,,"500,000",craig menear,,,,,,,,,,,,,
lvmh,,france,,,,,"150,000",bernard arnault,,,,,,,,,,,,,
bank of america corporation,,usa,,,,,"208,000",brian moynihan,,,,,,,,,,,,,
walmart,,usa,,,,,"2,300,000",doug mcmillon,,,,,,,,,,,,,
procter & gamble company,,usa,,,,,"101,000",jon r moeller,,,,,,,,,,,,,
kweichow moutai,,china,,,,,"29,031",li bao fang,,,,,,,,,,,,,
nestle ag,,switzerland,,,,,"276,000",ulf mark schneider,,,,,,,,,,,,,
mastercard,,usa,,,,,"24,000",michael miebach,,,,,,,,,,,,,
roche holding ag,,switzerland,,,,,"100,920",severin schwan,,,,,,,,,,,,,
alibaba group holding,,china,,,,,"251,462",daniel zhang,,,,,,,,,,,,,
pfizer,,usa,,,,,"78,500",albert bourla,,,,,,,,,,,,,
asml holding,,netherlands,,,,,"28,000",peter wennink,,,,,,,,,,,,,
exxon mobil corporation,,usa,,,,,"64,000",darren woods,,,,,,,,,,,,,
the walt disney company,,usa,,,,,"190,000",bob chapek,,,,,,,,,,,,,
toyota motor corporation,,japan,,,,,"366,283",akio toyoda,,,,,,,,,,,,,
coca-cola company,,usa,,,,,"80,300",james quincey,,,,,,,,,,,,,
cisco systems,,usa,,,,,"79,500",chuck robbins,,,,,,,,,,,,,
broadcom,,usa,,,,,"20,000",hock e tan,,,,,,,,,,,,,
prosus,,netherlands,,,,,"23,874",bob van dijk,,,,,,,,,,,,,
icbc,,china,,,,,"434,798",nicolas jimenez,,,,,,,,,,,,,
l'oreal,,france,,,,,"85,392",jean paul agon,,,,,,,,,,,,,
nike,,usa,,,,,"73,300",john donahoe,,,,,,,,,,,,,
eli lilly and company,,usa,,,,,"35,000",david a ricks,,,,,,,,,,,,,
adobe,,usa,,,,,"25,988",shantanu narayen,,,,,,,,,,,,,
chevron corporation,,usa,,,,,"42,595",michael wirth,,,,,,,,,,,,,
pepsico,,usa,,,,,"309,000",ramon laguarta,,,,,,,,,,,,,
abbott laboratories,,usa,,,,,"113,000",robert ford,,,,,,,,,,,,,
netflix,,usa,,,,,"12,135",ted sarandos reed hastings,,,,,,,,,,,,,
tata group,,india,,,,,"750,000",,,,,,,,,,,,,,
thermo fisher scientific,,usa,,,,,"130,000",marc n casper,,,,,,,,,,,,,
abbvie,,usa,,,,,"50,000",richard a gonzalez,,,,,,,,,,,,,
costco wholesale corporation,,usa,,,,,"288,000",w craig jelinek,,,,,,,,,,,,,
accenture,,ireland,,,,,"699,000",julie sweet,,,,,,,,,,,,,
oracle corporation,,usa,,,,,"132,000",safra a catz,,,,,,,,,,,,,
novo nordisk a/s,,denmark,,,,,"45,971",lars fruergaard jorgensen,,,,,,,,,,,,,
comcast corporation,,usa,,,,,"189,000",brian l roberts,,,,,,,,,,,,,
verizon communications,,usa,,,,,"118,400",hans vestberg,,,,,,,,,,,,,
salesforcecom,,usa,,,,,"56,606",marc benioff,,,,,,,,,,,,,
reliance industries,,india,,,,,"236,330",mukesh ambani,,,,,,,,,,,,,
paypal holdings,,usa,,,,,"30,900",daniel schulman,,,,,,,,,,,,,
wells fargo & company,,usa,,,,,"253,871",charles w scharf,,,,,,,,,,,,,
intel corporation,,usa,,,,,"121,100",patrick p gelsinger,,,,,,,,,,,,,
danaher corporation,,usa,,,,,"78,000",rainer m blair,,,,,,,,,,,,,
merck & co,,usa,,,,,"68,000",robert m davis,,,,,,,,,,,,,
qualcomm,,usa,,,,,"45,000",cristiano r aman,,,,,,,,,,,,,
novartis ag,,switzerland,,,,,"104,323",vasant narasimhan,,,,,,,,,,,,,
china merchants bank,,china,,,,,"90,867",huiyu tian,,,,,,,,,,,,,
mcdonald's corporation,,usa,,,,,"200,000",chris kempczinski,,,,,,,,,,,,,
contemporary amperex technology,,china,,,,,"33,078",zeng yuqun,,,,,,,,,,,,,
tata consultancy services tcs,,india,,,,,"606,331",rajesh gopinathan,,,,,,,,,,,,,
united parcel service ups,,usa,,,,,"534,000",carol b tome,,,,,,,,,,,,,
at&t,,usa,,,,,"203,000",john t stankey,,,,,,,,,,,,,
morgan stanley,,usa,,,,,"68,097",james p gorman,,,,,,,,,,,,,
china construction bank corporation,,china,,,,,"349,671",,,,,,,,,,,,,,
royal dutch shell,,netherlands,,,,,"86,000",ben van beurden,,,,,,,,,,,,,
astrazeneca,,uk,,,,,"83,100",pascal soriot,,,,,,,,,,,,,
the charles schwab corporation,,usa,,,,,"32,000",walter w bettinger ii,,,,,,,,,,,,,
hermes international,,france,,,,,"15,417",axel dumas,,,,,,,,,,,,,
linde ag,,uk,,,,,"74,207",sanjiv lamba,,,,,,,,,,,,,
nextera energy,,usa,,,,,"9,700",james l robo,,,,,,,,,,,,,
lowe's companies,,usa,,,,,"220,000",marvin ellison,,,,,,,,,,,,,
texas instruments,,usa,,,,,"31,000",richard k templeton,,,,,,,,,,,,,
union pacific corporation,,usa,,,,,"32,124",lance m fritz,,,,,,,,,,,,,
bhp group,,australia,,,,,"80,000",mike henry,,,,,,,,,,,,,
sap se,,germany,,,,,"107,415",christian klein,,,,,,,,,,,,,
agricultural bank of china,,china,,,,,"459,000",,,,,,,,,,,,,,
