name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
lvmh,,france,,,,,bernard arnault,,,fashion and luxury goods,,,,,,
nestle ag,,switzerland,,,,,ulf mark schneider,,,consumer defensive,,,,,,
roche holding ag,,switzerland,,,,,severin schwan,,,healthcare,,,,,,
asml holding,,netherlands,,,,,peter wennink,,,technology,,,,,,
prosus,,netherlands,,,,,bob van dijk,,,communication services,,,,,,
l'oreal,,france,,,,,jean paul agon,,,consumer defensive,,,,,,
accenture,,ireland,,,,,julie sweet,,,technology,,,,,,
novo nordisk a/s,,denmark,,,,,lars fruergaard jorgensen,,,healthcare,,,,,,
novartis ag,,switzerland,,,,,vasant narasimhan,,,healthcare,,,,,,
royal dutch shell,,netherlands,,,,,ben van beurden,,,energy,,,,,,
astrazeneca,,uk,,,,,pascal soriot,,,healthcare,,,,,,
hermes international,,france,,,,,axel dumas,,,consumer cyclical,,,,,,
linde ag,,uk,,,,,sanjiv lamba,,,basic materials,,,,,,
sap se,,germany,,,,,christian klein,,,technology,,,,,,
christian dior,,france,,,,,pietro beccari,,,consumer cyclical,,,,,,
medtronic,,ireland,,,,,geoffrey s martha,,,healthcare,,,,,,
siemens,,germany,,,,,roland busch,,,industries,,,,,,
totalenergies se,,france,,,,,patrick pouyanne,,,energy,,,,,,
unilever group,,netherlands,,,,,alan jope,,,consumer defensive,,,,,,
volkswagen,,germany,,,,,herbert diess,,,consumer cyclical,,,,,,
hsbc holdings,,uk,,,,,noel quinn,,,financial services,,,,,,
sanofi,,france,,,,,paul hudson,,,healthcare,,,,,,
diageo,,uk,,,,,ivan menezes,,,consumer defensive,,,,,,
rio tinto group,,uk,,,,,jakob stausholm,,,basic materials,,,,,,
glaxosmithkline,,uk,,,,,dame emma walmsley,,,healthcare,,,,,,
anheuser-busch inbev,,belgium,,,,,michel doukeris,,,consumer defensive,,,,,,
gazprom,,russia,,,,,alexey miller,,,energy,,,,,,
schneider electric,,france,,,,,jean-pascal tricoire,,,power equipment,,,,,,
airbus,,netherlands,,,,,guillaume faury,,,industries,,,,,,
allianz se,,germany,,,,,oliver bate,,,financial services,,,,,,
merck kgaa on,,germany,,,,,belen garijo,,,healthcare,,,,,,
kering,,france,,,,,francois-henri pinault,,,consumer cyclical,,,,,,
inditex industria de diseno textil,,spain,,,,,pablo isla,,,consumer cyclical,,,,,,
bp plc,,uk,,,,,bernard looney,,,energy,,,,,,
deutsche telekom ag,,germany,,,,,timotheus hottges,,,communication services,,,,,,
bnp paribas,,france,,,,,jean-laurent bonnafe,,,financial services,,,,,,
equinor asa,,norway,,,,,anders opedal,,,energy,,,,,,
british american tobacco,,uk,,,,,jack bowles,,,consumer defensive,,,,,,
mercedec benz group ag,,germany,,,,,ola kallenius,,,consumer cyclical,,,,,,
essilor luxottica,,france,,,,,francesco milleri,,,healthcare,,,,,,
chubb,,switzerland,,,,,evan g greenberg,,,financial services,,,,,,
swatch group ag,,switzerland,,,,,nick hayek jr,,,consumer cyclical,,,,,,
compagnie financiere richemont sa,,switzerland,,,,,jerome lambert,,,consumer cyclical,,,,,,
air liquide,,france,,,,,francois jackow,,,basic materials,,,,,,
sberbank of russia,,russia,,,,,herman gref,,,financial services,,,,,,
siemens healthineers ag,,germany,,,,,bernd montag,,,healthcare,,,,,,
enel,,italy,,,,,francesco starace,,,utilities,,,,,,
deutsche post ag,,germany,,,,,frank appel,,,industries,,,,,,
atlas copco ab,,sweden,,,,,mats rahmstrom,,,industries,,,,,,
investor ab publ,,sweden,,,,,johan forssell,,,financial services,,,,,,
abb,,switzerland,,,,,bjorn rosengren,,,industries,,,,,,
rosneft oil company,,russia,,,,,igor sechin,,,energy,,,,,,
adyen,,netherlands,,,,,pieter van der,,,technology,,,,,,
axa,,france,,,,,thomas buberl,,,financial services,,,,,,
iberdrola,,spain,,,,,jose ignacio sanchez galan,,,utilities,,,,,,
dassault systemes,,france,,,,,bernard charles,,,technology,,,,,,
glencore,,switzerland,,,,,gary nagle,,,basic materials,,,,,,
bayerische motoren werke bmw,,germany,,,,,,,,consumer cyclical,,,,,,
novatek,,russia,,,,,leonid viktorovich mikhelson,,,energy,,,,,,
basf se,,germany,,,,,,,,basic materials,,,,,,
ap moller - maersk a/s,,denmark,,,,,soren skou,,,industries,,,,,,
zurich insurance group ag,,switzerland,,,,,mario greco,,,financial services,,,,,,
eaton corporation,,ireland,,,,,craig arnold,,,industries,,,,,,
ubs group ag,,switzerland,,,,,ralph hamers,,,financial services,,,,,,
stellantis nv,,netherlands,,,,,carlos tavares,,,automobile,,,,,,
ferrari,,italy,,,,,benedetto vigna,,,consumer cyclical,,,,,,
