name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
3h biomedical,uppsala,,,,2004,,,,,biotechnology,,,,,,
aarhuskarlshamn,malmo,,,,2005,,,,,food products,,,,,,
abba seafood,gothenburg,,,,1883,,,,,food products,,,,,,
abu garcia,svangsta,,,,1921,,,,,recreational products,,,,,,
acando,stockholm,,,,2001,,,,,software,,,,,,
acast,stockholm,,,,2014,,,,,software,,,,,,
acne studios,stockholm,,,,1997,,,,,clothing & accessories,,,,,,
af,stockholm,,,,1895,,,,,business support services,,,,,,
aga,lulea,,,,1904,,,,,exploration & production,,,,,,
ahlens,stockholm,,,,1899,,,,,broadline retailers,,,,,,
alfa laval,lund,,,,1883,,,,,industrial machinery,,,,,,
alfdex,landskrona,,,,2002,,,,,industrial machinery,,,,,,
ap&t,ulricehamn,,,,1989,,,,,industrial machinery,,,,,,
apoteket,stockholm,,,,1970,,,,,pharmaceuticals,,,,,,
aptilo networks,stockholm,,,,2001,,,,,mobile telecommunications,,,,,,
arcam,molndal,,,,1997,,,,,industrial suppliers,,,,,,
asea,vasteras,,,,1883,,,,,diversified industrials,,,,,,
abb,vasteras,,,,1988,,,,,industrial machinery,,,,,,
assa abloy,stockholm,,,,1994,,,,,industrial suppliers,,,,,,
astra ab,sodertalje,,,,1913,,,,,pharmaceuticals,,,,,,
atlas copco,nacka,,,,1873,,,,,diversified industrials,,,,,,
atlet,molnlycke,,,,1958,,,,,commercial vehicles & trucks,,,,,,
autoliv,stockholm,,,,1997,,,,,business support services,,,,,,
avalanche studios,stockholm,,,,2003,,,,,software,,,,,,
avanza,stockholm,,,,1999,,,,,investment services,,,,,,
axel johnson,stockholm,,,,1873,,,,,-,,,,,,
axel johnson group,stockholm,,,,1873,,,,,-,,,,,,
axfood,stockholm,,,,1964,,,,,food retailers & wholesalers,,,,,,
axis communications,lund,,,,1984,,,,,computer hardware,,,,,,
bae systems,ornskoldsvik,,,,2006,,,,,defense,,,,,,
bahco,enkoping,,,,1886,,,,,diversified industrials,,,,,,
bahnhof,stockholm,,,,1994,,,,,fixed line telecommunications,,,,,,
