name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
3h biomedical,uppsala,,,,,2004,,,,,biotechnology,health care,,,,,,,,,
aarhuskarlshamn,malmo,,,,,2005,,,,,food products,consumer goods,,,,,,,,,
abba seafood,gothenburg,,,,,1883,,,,,food products,consumer goods,,,,,,,,,
abu garcia,svangsta,,,,,1921,,,,,recreational products,consumer goods,,,,,,,,,
acando,stockholm,,,,,2001,,,,,software,technology,,,,,,,,,
acast,stockholm,,,,,2014,,,,,software,technology,,,,,,,,,
acne studios,stockholm,,,,,1997,,,,,clothing & accessories,consumer goods,,,,,,,,,
af,stockholm,,,,,1895,,,,,business support services,industrials,,,,,,,,,
aga,lulea,,,,,1904,,,,,exploration & production,oil & gas,,,,,,,,,
ahlens,stockholm,,,,,1899,,,,,broadline retailers,consumer services,,,,,,,,,
alfa laval,lund,,,,,1883,,,,,industrial machinery,industrials,,,,,,,,,
alfdex,landskrona,,,,,2002,,,,,industrial machinery,industrials,,,,,,,,,
ap&t,ulricehamn,,,,,1989,,,,,industrial machinery,industrials,,,,,,,,,
apoteket,stockholm,,,,,1970,,,,,pharmaceuticals,health care,,,,,,,,,
aptilo networks,stockholm,,,,,2001,,,,,mobile telecommunications,telecommunications,,,,,,,,,
arcam,molndal,,,,,1997,,,,,industrial suppliers,industrials,,,,,,,,,
asea,vasteras,,,,,1883,,,,,diversified industrials,industrials,,,,,,,,,
abb,vasteras,,,,,1988,,,,,industrial machinery,industrials,,,,,,,,,
assa abloy,stockholm,,,,,1994,,,,,industrial suppliers,industrials,,,,,,,,,
astra ab,sodertalje,,,,,1913,,,,,pharmaceuticals,health care,,,,,,,,,
atlas copco,nacka,,,,,1873,,,,,diversified industrials,industrials,,,,,,,,,
atlet,molnlycke,,,,,1958,,,,,commercial vehicles & trucks,industrials,,,,,,,,,
autoliv,stockholm,,,,,1997,,,,,business support services,industrials,,,,,,,,,
avalanche studios,stockholm,,,,,2003,,,,,software,technology,,,,,,,,,
avanza,stockholm,,,,,1999,,,,,investment services,financials,,,,,,,,,
axel johnson,stockholm,,,,,1873,,,,,-,conglomerates,,,,,,,,,
axel johnson group,stockholm,,,,,1873,,,,,-,conglomerates,,,,,,,,,
axfood,stockholm,,,,,1964,,,,,food retailers & wholesalers,consumer services,,,,,,,,,
axis communications,lund,,,,,1984,,,,,computer hardware,technology,,,,,,,,,
bae systems,ornskoldsvik,,,,,2006,,,,,defense,industrials,,,,,,,,,
bahco,enkoping,,,,,1886,,,,,diversified industrials,industrials,,,,,,,,,
bahnhof,stockholm,,,,,1994,,,,,fixed line telecommunications,telecommunications,,,,,,,,,
ballograf,gothenburg,,,,,1945,,,,,nondurable household products,consumer goods,,,,,,,,,
berg propulsion,gothenburg,,,,,1912,,,,,industrial machinery,industrials,,,,,,,,,
betsson,stockholm,,,,,1963,,,,,gambling,consumer services,,,,,,,,,
