name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
bp plc,"london, united kingdom",united kingdom,,,,14 april 1909 as the anglo-persian oil company,"60,000",bernard looney,96240000000,,energy,oil & gas integrated,164190000000,"https://www.bp.com, https://www.facebook.com/bpinindia/, https://twitter.com/bp plc, https://www.linkedin.com/company/bp/, https://en.wikipedia.org/wiki/bp",,,,,,,
open joint stock company omz,"moscow, russia",russia,,,,,,igor y zhilkin,47150000000,,industries,specialty industrial machinery,,https://www.omz.ru,,,,,,,
acea spa,,italy,,,,,,,,,utilities,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"piazzale ostiense 2, roma, 00154, roma, italy",corporation
public joint stock oil company bashneft,"moscow, russia",russia,,,,,,,24020000000,,energy,gold,,"https://www.polyus.com, https://www.facebook.com/pao.polyus/, https://twitter.com/pao polyus",,,,,,,
perrigo company,,ireland,,,,,,,,,healthcare,wholesale trade,,,,,,,,"piazza della vittoria 10, genova, 16121, genova, italy",corporation
altarea sca,,france,,,,,,,,,real estate,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via alberto nassetti pal.alfa snc, fiumicino, 00054, roma, italy",corporation
pirelli tyre spa,,italy,,,,,,,,,consumer cyclical,manufacturing,,,,,,,,"viale piero e alberto pirelli 25, milano, 20126, milano, italy",corporation
smurfit kappa italia spa,,ireland,,,,,,anthony smurfit,,,consumer cyclical,manufacturing,,,,,,,,"strada serravalle 65, novi ligure, 15067, alessandria, italy",corporation
swire pacific,"shanghai, china",hong kong,,,,,"110,940",,31040000000,,industries,insurancelife,,https://www.cpic.com.cn,,,,,,,
cooperativa esercenti farmacia soc coop a rl,,czech republic,,,,,,daniel benes,,,utilities,wholesale trade,,,,,,,,"via achille grandi 18, brescia, 25125, brescia, italy",cooperative
united microelectronics corporation,"hsinchu city, taiwan",taiwan,,,,,"19,500",jean-marc chery,23350000000,,technology,semiconductors,,"https://www.umc.com, https://www.linkedin.com/company/united-microelectronics-corporation-umc-",,,,,,,
national bank of greece,"montreal, qc, canada",greece,,,,november 1979,"27,804",laurent ferreira,26290000000,,financials,banks,c$8.93 billion (2021),"https://www.nbc.ca, https://www.facebook.com/nationalbanknetworks, https://twitter.com/nationalbank/, https://www.linkedin.com/company/national-bank-of-canada/, https://en.wikipedia.org/wiki/national bank of canada",,,,,,,
bank of ireland group,"beijing, china",ireland,,,,,"309,084",,141220000000,,financials,banks,,https://www.boc.cn,,,,,,,
pirelli & c spa,,italy,,,,,,,,,consumer cyclical,"finance, insurance, and real estate",,,,,,,,"viale piero e alberto pirelli 25, milano, 20126, milano, italy",corporation
simon property group inc,"indianapolis, in, united states",united states,,,,1993,"2,400",david e simon,43690000000,,real estate,reitretail,4609000000,"https://www.simon.com, https://www.facebook.com/simonpropertygroup, https://twitter.com/simonmalls, https://www.linkedin.com/company/165978, https://en.wikipedia.org/wiki/simon property group",,,,,,,
rete ferroviaria italiana spa,,spain,,,,,,ignacio madridejos fernandez,,,industries,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"piazza della croce rossa 1, roma, 00161, roma, italy",corporation
