Cluster ID,Link Score,source file,name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
183,0.67448455,0,avis budget group inc,"parsippany,nj,unitedstates",united states,,,, 2006 ," 16,000",joseph a ferraro,18120000000,,industrials,rental & leasing services,,,,,,,,,
138,0.6744846,0,telefonica brasil sa,"saopaulo,sp,brazil",brazil,,,, 1998," 34,000",christian mauad gebara,20190000000,,communication services,telecom services,,,,,,,,,
278,0.6744843,0,east japan railway company,"tokyo,japan",japan,,,,," 71,973",yuji fukasawa,22780000000,,industrials,railroads,,,,,,,,,
581,0.67448366,0,twilio inc,"sanfrancisco,ca,unitedstates",united states,,,, 2008," 7,867",jeffrey lawson,26090000000,,communication services,internet content & information,,,,,,,,,
163,0.67448455,0,delta electronics inc,"taipei,taiwan",taiwan,,,,,,ping cheng,24050000000,,technology,electronic components,,,,,,,,,
30,0.67448515,0,power corporation of canada,"montraal,qc,canada",canada,,,, 1925," 30,000",robert jeffrey orr,21480000000,,financials,insurancelife,,,,,,,,,
252,0.6744844,0,expedia group inc,"seattle,wa,unitedstates",united states,,,," october 22, 1996"," 14,800",peter maxwell kern,27910000000,,consumer discretionary,travel services,,,,,,,,,
113,0.6744846,0,croda international plc,"goole,unitedkingdom",united kingdom,,,, 1925," 4,000",,19220000000,,basic materials,specialty chemicals,,,,,,,,,
476,0.67448384,0,coupang inc,"seoul,southkorea",south korea,,,,," 68,000",bom suk kim,30530000000,,consumer discretionary,internet retail,,,,,,,,,
667,0.6744833,0,mplx lp,"findlay,oh,unitedstates",united states,,,, 1988," 1,139",michael j hennigan,35270000000,,energy,oil & gas midstream,,,,,,,,,
263,0.6744844,0,natwest group plc,"edinburgh,unitedkingdom",united kingdom,,,, 25 march 1968," 58,735",alison marie rose-slade ba,32720000000,,financials,banks,,,,,,,,,
